station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
ANT;20240101;61;58;-;852.3;0;237;-7.2;-13.7;-2.4;83.2
ANT;20240102;55;54;-;849.5;0;32;1.2;-6.2;2.5;52.3
ANT;20240103;57;56;-;846.6;9.1;245;1.7;-4;5.5;69
ANT;20240104;71;64;-;849.5;0.1;222;-1.3;-7.7;2.9;80.5
ANT;20240105;30;62;-;844.8;9.9;0;0.6;-1.7;2.7;77.3
ANT;20240106;39;76;-;844.5;1;0;-2.3;-3.3;-0.7;92.9
ANT;20240107;42;80;-;846.7;1.5;0;-3.8;-5.3;-2.9;93.7
ANT;20240108;49;80;-;851.2;0.1;0;-7.2;-8.9;-5.4;97.2
ANT;20240109;56;79;-;855.5;0;4;-2.8;-10.3;1.9;80
ANT;20240110;51;78;-;859;0;68;-2.9;-11.1;0;70.7
ANT;20240111;72;77;-;859.6;0;293;-10.4;-17.3;-1;86.4
ANT;20240112;74;77;-;861.6;0;295;-13.8;-20.6;-5.2;84.4
ANT;20240113;77;76;-;858.7;0;297;-15.6;-23.1;-5.3;78.8
ANT;20240114;52;75;-;849.7;1.2;200;-11;-21.2;-1;72.1
ANT;20240115;39;76;-;843.6;0.2;0;-4.4;-6.2;-2.4;94.7
ANT;20240116;79;75;-;845.9;0;225;-5.5;-17.8;0.9;63.6
ANT;20240117;73;71;-;839.6;0.5;137;2;-1.9;4.7;62.9
ANT;20240118;36;70;-;838.6;5.9;0;0.7;-5;3.6;89.7
ANT;20240119;69;73;-;852.5;0;103;-9.4;-19.9;-4.8;85.4
ANT;20240120;93;72;-;862.3;0;341;-11.8;-22.2;-1;53.8
ANT;20240121;75;72;-;865.7;0;109;-7.5;-14.8;0.1;56.8
ANT;20240122;56;71;-;862.6;6.1;23;3.4;-7.1;6.7;45.3
ANT;20240123;91;80;-;867.1;4;204;0.4;-0.7;2.3;84.9
ANT;20240124;110;79;-;867.2;0;230;7.4;1.1;12.5;69.7
ANT;20240125;73;66;-;866.3;0.2;19;4.6;1.1;6.5;86.3
ANT;20240126;54;60;-;866.7;4.7;37;2.9;-0.2;5.3;90.4
ANT;20240127;98;58;-;870.1;0;357;-0.8;-7.5;3.4;79.7
ANT;20240128;97;58;-;869.9;0;360;-2.3;-9.4;7.1;59.9
ANT;20240129;96;58;-;869.3;0;350;-2.8;-10.1;7.3;74.3
ANT;20240130;85;57;-;869.8;0;236;-2.1;-8.2;6.7;76.7
ANT;20240131;73;57;-;870.1;0;142;-3.1;-7.9;4.9;80.8
ANT;20240201;62;57;-;867.7;2;0;-1.1;-8.9;2.3;89.6
ANT;20240202;48;57;-;869.7;0;1;0.3;-3.9;2.4;87.7
ANT;20240203;111;57;-;868.2;0;375;-0.9;-5.8;7.2;82.3
ANT;20240204;112;57;-;866.3;0;375;-0.6;-6.1;7.3;75.9
ANT;20240205;109;57;-;864.5;0;374;-1.5;-5.9;6.9;77.1
ANT;20240206;62;57;-;859.3;0;100;-3;-7.5;3;76.3
ANT;20240207;65;57;-;852.6;3;60;-1.5;-8.4;4.6;80.2
ANT;20240208;102;57;-;846.6;0.4;179;3.8;0.2;8.7;75.4
ANT;20240209;50;56;-;838.5;3.9;0;3.5;2.1;5.6;74.3
ANT;20240210;70;55;-;832.8;3;25;3.6;1.1;5.1;70.1
ANT;20240211;103;56;-;837.5;0.6;62;0.5;-0.9;2.5;86.6
ANT;20240212;106;54;-;846.3;2.8;110;-0.4;-5;2;84.8
ANT;20240213;135;62;-;857.5;0.1;393;-2.8;-10.3;2.3;75.1
ANT;20240214;128;56;-;862.1;0;290;-0.9;-9;6.7;66.1
ANT;20240215;93;52;-;860;0;100;3.7;-5.8;11.1;57.7
ANT;20240216;114;50;-;859.5;0;251;4.6;-0.3;10.5;67.7
ANT;20240217;57;50;-;867.4;0;3;3.1;0.2;6.1;91.6
ANT;20240218;98;48;-;867.5;7;108;2;-3.5;7.5;82.5
ANT;20240219;121;46;-;865.3;8.4;66;2.2;1;3.6;88.5
ANT;20240220;114;52;-;865;0.6;141;-0.3;-5.1;2.2;86.3
ANT;20240221;129;48;-;859.8;0;256;1.6;-6.2;7.6;61.2
ANT;20240222;76;46;-;846.6;6.6;0;2.9;0.1;5.1;71.3
ANT;20240223;96;52;-;839;1.9;18;-2.3;-9;0.4;82.3
ANT;20240224;121;52;-;843.3;4.5;95;-2.1;-9.8;1.8;75.4
ANT;20240225;115;60;-;845.1;0.1;31;-0.7;-3.9;1.6;69.1
ANT;20240226;108;56;-;842.7;2.3;27;1.3;-0.7;3;66.1
ANT;20240227;101;54;-;848.1;0.9;15;0.7;-0.8;4.3;92.9
ANT;20240228;94;52;-;855.8;0;0;0.9;-2.2;3.7;94.9
ANT;20240229;101;50;-;852.2;8;24;4.5;-2.6;7.3;69.7
ANT;20240301;63;50;-;846.8;18.5;0;0.7;-0.3;5;95.6
ANT;20240302;123;62;-;845.1;11.5;32;2.5;0.4;5.4;80.7
ANT;20240303;103;56;-;843;3.9;0;1.4;0.1;2.7;85.6
ANT;20240304;137;56;-;848.6;0;236;0.5;-3.2;4.1;88.3
ANT;20240305;69;52;-;852.3;13.5;0;-0.6;-2.1;0.7;89.2
ANT;20240306;133;70;-;855.6;2.5;0;-1.9;-2.7;-1;88.2
ANT;20240307;194;70;-;854;0;446;-4;-14.7;5.6;84.2
ANT;20240308;120;64;-;849.8;0;25;1.3;-1.1;3.3;63
ANT;20240309;114;63;-;845.2;0.5;0;1.9;0.3;3.3;68.3
ANT;20240310;45;65;-;839.3;22.3;0;0.7;-2.9;3;88.3
ANT;20240311;179;79;-;846.5;1.2;270;-0.9;-9.7;3.1;76.6
ANT;20240312;136;80;-;855.1;10.3;0;0.6;-0.5;1.5;87.7
ANT;20240313;152;90;-;857.1;4.1;61;0.3;-6.3;3.4;92.3
ANT;20240314;198;80;-;856.3;0;403;0.4;-7.5;7.7;76.7
ANT;20240315;191;72;-;856.5;13.2;323;2.1;-3.1;7.7;81
ANT;20240316;202;70;-;860.1;0.5;296;2.9;0.5;6.2;87.9
ANT;20240317;129;66;-;860.5;0.7;4;2;-2.9;6.8;76.7
ANT;20240318;75;61;-;856.2;15.7;0;2.1;0.5;3.7;92.4
ANT;20240319;216;61;-;858.2;0;520;2.4;-3;8.6;79.7
ANT;20240320;227;59;-;859.9;0;525;3.1;-3.6;11.3;64.4
ANT;20240321;106;53;-;862.9;6;17;4;-1.8;7.2;81.9
ANT;20240322;209;50;-;859.7;0;363;4.5;-2.1;11.9;60.3
ANT;20240323;81;50;-;852;6.3;10;1.4;-2.5;6.8;78.4
ANT;20240324;175;54;-;849.2;1.1;30;-2;-3.8;-0.2;81.5
ANT;20240325;240;55;-;846.3;0;494;-0.5;-11.4;4.7;52.8
ANT;20240326;144;52;-;840;6;77;2.6;0.6;4.4;57
ANT;20240327;61;50;-;833;25.3;0;1;-0.9;3.5;89.2
ANT;20240328;136;52;-;839.1;0.2;14;1.5;-0.7;3.3;66.4
ANT;20240329;155;52;-;847.3;21;41;4.9;2.7;6.7;66.5
ANT;20240330;113;40;-;844.5;31.2;0;4.3;1;8.3;80.6
ANT;20240331;105;30;-;843.1;55.8;13;3.9;1.2;7.2;79.6
ANT;20240401;109;28;-;843.3;16.7;0;1.5;-0.2;3.7;91.3
ANT;20240402;251;28;-;853.3;0.1;442;1.9;-1.4;7;72.4
ANT;20240403;166;27;-;853.6;0.1;5;4.1;0.7;7.3;70.3
ANT;20240404;237;26;-;857.6;0;338;6.9;-0.4;11.6;65.3
ANT;20240405;263;24;-;860.7;0;596;8.7;0.9;12.6;58.9
ANT;20240406;275;10;-;862.4;0;584;8.9;0.8;16.5;52
ANT;20240407;184;0;-;862.2;0;33;10;1.8;16.5;49.7
ANT;20240408;240;0;-;858.4;0;506;11.6;2.4;17.4;45.2
ANT;20240409;42;0;-;857;28.7;0;4.2;-1;11.6;79.9
ANT;20240410;148;13;-;863.8;0.7;1;0;-4.2;1.6;87.1
ANT;20240411;284;0;-;869.2;0;613;2.5;-6.2;10.1;84.4
ANT;20240412;280;0;-;870.9;0;594;6.9;-1.8;16.8;68.4
ANT;20240413;276;0;-;869.3;0;614;8.4;-0.7;19.5;59.9
ANT;20240414;285;0;-;864.7;0;617;9.8;0;20.5;57.8
ANT;20240415;161;0;-;854;1.3;128;9.7;4.7;15;71.3
ANT;20240416;241;0;-;848.4;6.8;253;1.9;-1.2;5.6;68.6
ANT;20240417;203;9;-;848.1;5.1;0;-1.4;-3.1;0.6;84.7
ANT;20240418;285;9;-;852.3;1;140;-2.5;-5;-0.7;83.1
ANT;20240419;149;2;-;853.9;21.7;26;-1.8;-5.5;0.4;84.4
ANT;20240420;253;22;-;854;2.3;8;-1.7;-3.2;-0.2;84.8
ANT;20240421;260;18;-;853.5;3.3;89;-3.1;-4.3;0.3;85.7
ANT;20240422;179;20;-;851.8;2.9;0;-3.4;-4.5;-2.1;87.3
ANT;20240423;244;23;-;849.6;0.5;5;-2.8;-3.9;-1.2;88.9
ANT;20240424;281;23;-;848;1.5;142;-1.9;-3.5;0.9;82.9
ANT;20240425;339;17;-;846.6;0;611;-1;-7;3.2;71
ANT;20240426;258;12;-;848.6;0;107;3;1.2;5.2;64.9
ANT;20240427;186;10;-;852.7;1.8;1;4.2;2.7;6;68.1
ANT;20240428;198;8;-;857;0;12;6.8;4.1;8.7;63.8
ANT;20240429;178;4;-;861;0.1;95;9.7;6.9;13.5;56.2
ANT;20240430;212;0;-;858.7;4.4;271;10.5;6.2;13.6;52.2
ANT;20240501;98;0;-;850;3.2;10;8.8;6.5;12.3;71.3
ANT;20240502;160;0;-;845.8;1.9;0;7;3.7;10.1;77.4
ANT;20240503;136;0;-;853.8;6.1;0;3.7;2.3;5.7;85.8
ANT;20240504;238;0;-;855.5;0;125;7;2;10.9;69.6
ANT;20240505;225;0;-;854.9;0;122;10.1;7;13.6;63.2
ANT;20240506;177;0;-;852.5;4.5;8;8.5;5.4;11.7;68.9
ANT;20240507;88;0;-;854.9;17.8;0;4.6;3.4;5.8;91.4
ANT;20240508;132;0;-;860.6;1.2;25;5.2;3.4;7.6;90.6
ANT;20240509;340;0;-;861.6;0;669;7.6;0.3;13;79.5
ANT;20240510;345;0;-;861;0;668;8.9;0.3;15.1;71.9
ANT;20240511;340;0;-;860.5;0;673;9.5;0.1;17.5;67.1
