station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
BAS;20240101;44;0;92;976.7;1.5;128;6.2;3.4;8.6;72.3
BAS;20240102;15;0;100;969.6;10.5;0;9;3.7;12.6;72.5
BAS;20240103;58;0;79;967.6;0.6;275;11.2;9;14;62.5
BAS;20240104;39;0;79;972.6;0.5;85;7.9;4.8;10.4;73.5
BAS;20240105;11;0;96;967.9;1.4;0;5.6;4.7;6.5;89.3
BAS;20240106;22;0;96;971.6;3.2;0;5;3.9;6.2;83.8
BAS;20240107;14;0;100;976.2;3.3;0;2.6;-0.8;4.1;91.4
BAS;20240108;10;2;100;982.7;0.1;0;-1.2;-2.3;-0.7;75.1
BAS;20240109;13;2;100;986.1;3;0;-3.4;-4.9;-0.9;83.6
BAS;20240110;40;6;96;987.3;0;0;-2.9;-5;-1.5;88.5
BAS;20240111;23;5;100;989.8;0;0;-3;-4.2;-1.5;86.1
BAS;20240112;54;4;42;992;0;141;-4.4;-7.5;-2;88
BAS;20240113;31;4;96;986.9;0;0;-4.4;-6.3;-2.6;89.2
BAS;20240114;54;4;67;975.8;0;147;-4.2;-8.9;-0.6;86.9
BAS;20240115;55;4;96;972;0;119;0.6;-2.8;4.1;75.1
BAS;20240116;67;1;71;972.3;6;372;-1.7;-5;1.1;78.9
BAS;20240117;19;0;100;957.2;7.8;0;5;0.3;11.4;89.3
BAS;20240118;18;0;100;961.6;8.8;10;5.5;-0.5;12.5;82.7
BAS;20240119;52;1;38;983.5;0;74;-1.6;-4.3;1.5;84.5
BAS;20240120;83;0;63;991.3;0;432;-2.9;-5.9;0.8;81.7
BAS;20240121;69;0;46;991.7;0;253;-0.8;-4.2;3.8;72.5
BAS;20240122;16;0;88;986.3;19.8;0;3.7;-1;9;81.7
BAS;20240123;58;0;92;993.9;1.5;143;7.9;5.9;10.5;74.7
BAS;20240124;27;0;96;993.2;4.7;0;11.4;7;14.9;78.3
BAS;20240125;31;0;92;993;1.6;0;10.3;8.7;12.6;89.3
BAS;20240126;20;0;92;993.2;0.7;3;9.5;4.6;12.4;82.3
BAS;20240127;78;0;63;997.1;0;288;4;1.5;8.3;86.5
BAS;20240128;95;0;17;993.2;0;477;4.9;1.2;9.1;78.8
BAS;20240129;93;0;71;993.2;0;416;4.2;0.6;9.1;81.5
BAS;20240130;67;0;75;995;0;87;4.9;0.4;9.6;81.2
BAS;20240131;83;0;21;995.8;0;310;6.7;1.7;12.2;79.1
BAS;20240201;16;0;96;994.5;1;0;8.7;6.8;10.2;84.5
BAS;20240202;64;0;88;996.3;0;70;7.2;3;11.3;85.5
BAS;20240203;105;0;33;994.2;0;469;4.8;0.3;9.5;84.4
BAS;20240204;99;0;83;993.2;0;337;6.2;3.4;9.6;79.9
BAS;20240205;91;0;54;989.7;0;325;5.7;1.3;10.3;79.6
BAS;20240206;54;0;100;985.3;0;47;5.8;1.1;8.4;75.4
BAS;20240207;38;0;88;975.4;0.4;1;9.3;4.4;13.1;68.1
BAS;20240208;45;0;100;966.2;1.1;0;11.1;8.9;14.6;76.5
BAS;20240209;16;0;100;956.1;3.7;0;10.9;8.9;13.7;80.5
BAS;20240210;31;0;96;950.9;1.7;0;8.9;6.1;10.5;89.5
BAS;20240211;67;0;96;960.5;0.6;89;8;5.6;10.8;73.8
BAS;20240212;53;0;100;971;0;0;7.8;5.3;9.7;72.8
BAS;20240213;123;0;54;983.1;0;502;6.7;2.2;11.5;72.1
BAS;20240214;63;0;92;985.9;0;9;8.7;4.6;14.1;73.9
BAS;20240215;79;0;79;981.2;0;71;9.9;5.2;14.4;71.2
BAS;20240216;47;0;92;982.2;1.2;0;11;7.8;14.3;74.7
BAS;20240217;34;0;100;993.2;0.7;0;10.5;9.1;11.9;86.7
BAS;20240218;71;0;96;993.6;5.1;0;9.2;7.1;12.3;82.9
BAS;20240219;74;0;92;992.2;0.6;49;10.2;8.6;12.8;76.2
BAS;20240220;96;0;58;992.3;0;203;8;4.6;10.8;70.9
BAS;20240221;88;0;96;982.6;3.4;9;7.9;2.9;13.4;70.2
BAS;20240222;25;0;100;964.3;8.5;0;10.9;5;14.1;68.5
BAS;20240223;109;0;58;962.3;0.3;289;6.8;2.2;10.5;63.9
BAS;20240224;72;0;46;967.3;1.7;161;4.9;1.7;7.9;79.8
BAS;20240225;144;0;67;965.9;0.6;408;6.9;1.1;13.1;62.7
BAS;20240226;91;0;88;962.5;0;131;8.4;4.3;13.4;69.2
BAS;20240227;51;0;96;973.3;0.1;0;7.6;4.5;10.5;82.4
BAS;20240228;70;0;92;982.3;0;37;7.1;4.7;9.8;78.4
BAS;20240229;88;0;71;975.8;0.5;161;7.3;4.8;11.4;74.3
BAS;20240301;45;0;88;970.5;0;0;7;5.6;9.4;84.3
BAS;20240302;102;0;75;965.5;0;132;8.3;4.4;13.6;72.3
BAS;20240303;80;0;88;962.5;0;110;8;4.7;12;79.1
BAS;20240304;48;0;92;973.8;0;0;6.9;5.4;8.7;80
BAS;20240305;59;0;92;978.4;3;6;7.5;5.6;10.6;73.8
BAS;20240306;47;0;100;983.6;7.5;0;5.6;4.6;7.2;88.1
BAS;20240307;104;0;83;980.4;0;155;6;2.7;9.3;79
BAS;20240308;166;0;63;971.4;0;361;6.4;1.4;10.9;71.5
BAS;20240309;129;0;71;962.8;0;258;8.9;1.9;14.7;69.2
BAS;20240310;40;0;96;959.1;6.7;0;7.2;4.8;9.7;84.5
BAS;20240311;115;0;67;970.2;0.3;197;7.3;2.9;12.4;78.6
BAS;20240312;46;0;96;980.9;7.4;0;7.4;3.6;10;80.3
BAS;20240313;54;0;88;981.2;2.4;0;9.6;6.6;13.2;87.2
BAS;20240314;190;0;79;977.9;0;568;11.1;4.1;17.8;76.5
BAS;20240315;106;0;71;978.9;11.4;207;11.9;6.2;17.3;73.2
BAS;20240316;134;0;83;984.3;0.2;213;11.4;7.9;14.8;75.8
BAS;20240317;70;0;96;984.1;4.2;0;10.1;6.1;13.7;81
BAS;20240318;83;0;92;979.9;13.2;46;10.9;7.4;14.7;86
BAS;20240319;188;0;75;981.4;0;472;11.4;6.6;17.2;78.4
BAS;20240320;197;0;71;981.8;2.3;638;12.4;4.5;19.4;69.8
BAS;20240321;187;0;79;986.3;0.2;377;13.9;9.8;19.4;68.5
BAS;20240322;201;0;67;981.5;1.8;556;13.8;8.7;20.5;60
BAS;20240323;176;0;79;976.9;6.9;330;9.3;4.1;16;66.2
BAS;20240324;149;0;79;975.4;1.2;189;6.1;2.7;9.9;70
BAS;20240325;226;0;38;967.6;0;582;8.2;2.2;13;63.1
BAS;20240326;201;0;71;955.3;0;470;12;6.4;18.3;51.1
BAS;20240327;50;0;96;953.6;0.1;0;6.7;4;10.5;80.5
BAS;20240328;180;0;54;958.7;1.4;373;8.5;3.6;13.8;59
BAS;20240329;136;0;92;961;0;180;11.9;8;18.3;58.8
BAS;20240330;91;0;100;961.8;3.2;49;11.3;7.8;15.8;71.2
BAS;20240331;130;0;92;960.5;5.2;129;11;6.7;16;83.7
BAS;20240401;123;0;88;965.4;0.6;103;9.9;6.2;13.5;73.1
