station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
BER;20240101;51;0;-;949.8;0;134;4.3;1.7;7.3;79.7
BER;20240102;23;0;-;944.8;4.6;0;5.6;1.8;8.1;85.1
BER;20240103;47;0;-;942.3;5.3;141;9.4;6.5;12.4;66.5
BER;20240104;50;0;-;946.2;0.3;183;5.9;1.2;9.6;77.3
BER;20240105;10;0;-;941;9.4;0;3.8;1.3;4.8;92.2
BER;20240106;25;0;-;943.5;4.3;0;3.1;1.6;4.6;90.5
BER;20240107;29;0;-;946.9;4.8;0;1.4;-0.8;3.2;92.7
BER;20240108;16;4;-;952.5;0.2;0;-2.9;-3.9;-0.9;86.2
BER;20240109;27;4;-;956.3;0.6;0;-3.3;-4.3;-2.6;87.3
BER;20240110;59;5;-;957.9;0;111;-2.8;-4.8;-0.8;91
BER;20240111;18;4;-;959.9;0;0;-2.3;-3.3;-1.5;89.8
BER;20240112;28;4;-;962;0;0;-3;-3.8;-2;90.8
BER;20240113;32;4;-;958.4;0;0;-3.5;-4.4;-2.6;92
BER;20240114;43;4;-;948.2;0.3;0;-2.4;-5.3;1.9;90.2
BER;20240115;30;3;-;943.2;0;6;1.7;-0.9;3.4;73.6
BER;20240116;53;0;-;944;3.4;77;-1.1;-4.2;1.9;86.5
BER;20240117;22;0;-;932.1;22;0;4.4;0.1;8.8;94.5
BER;20240118;21;0;-;934.5;8.4;0;5.4;-1.3;10.5;88.3
BER;20240119;88;5;-;953.9;0.1;412;-3.2;-7.6;-1;84.4
BER;20240120;94;5;-;962.1;0;500;-6.8;-10.7;-2.6;86.6
BER;20240121;75;4;-;965;0;238;-4.2;-9.8;1.3;89.4
BER;20240122;35;4;-;960.5;15.4;1;1.6;-6.7;6.8;86.9
BER;20240123;48;0;-;967;0;65;6.7;4.9;9.1;75.6
BER;20240124;36;0;-;966.9;0;1;10.9;5.9;13.4;70.9
BER;20240125;84;0;-;965.2;0;286;11;8.2;14.1;74.7
BER;20240126;28;0;-;965.8;0.1;34;8;3.7;10.4;82.6
BER;20240127;46;0;-;968.3;0;0;4.4;2.3;6.6;93.2
BER;20240128;96;0;-;966.5;0;393;4.3;-0.4;9.7;84.9
BER;20240129;94;0;-;966.1;0;470;3.1;-2.2;11.3;83
BER;20240130;80;0;-;967.6;0;238;3.2;-1.9;9.9;85.9
