station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
CDF;20240101;34;13;-;896.9;3.6;22;1;-1.1;2;89.3
CDF;20240102;12;8;-;892.2;12.5;0;3.7;1;5.7;86.7
CDF;20240103;58;0;-;890.6;13.9;165;5.4;2.9;8.1;80.8
CDF;20240104;43;0;-;893.7;2.2;105;2.9;-0.1;5.1;84
CDF;20240105;10;0;-;888.6;5.9;0;2.4;0.7;4.2;89.6
CDF;20240106;24;1;-;891.1;4;0;-0.4;-1.2;0.9;89.7
CDF;20240107;36;7;-;893.9;0.3;0;-1.4;-4.5;-0.2;88.7
CDF;20240108;28;11;-;897.9;0;0;-6.4;-7.1;-4.5;85.5
CDF;20240109;32;11;-;901;2.8;0;-5;-6.4;-3.6;89.3
CDF;20240110;53;16;-;903.1;0;65;-1.7;-5.3;2.3;87.9
CDF;20240111;85;15;-;904.7;0;461;-3;-6.9;1.8;77.5
CDF;20240112;87;13;-;906.8;0;464;-3.9;-10.5;1.7;76.4
CDF;20240113;93;13;-;903.5;0;470;-7;-13.3;2.8;73.4
CDF;20240114;56;12;-;894.4;0.2;170;-4.2;-13.2;2.4;70.3
CDF;20240115;41;13;-;890.5;0;68;-2.6;-4.4;-1.4;83.9
CDF;20240116;87;13;-;890.2;4.1;363;-3.3;-12.8;4.1;80.6
CDF;20240117;10;6;-;880;23.6;0;5.5;3.2;7.2;90.7
CDF;20240118;13;0;-;882.8;9.8;0;2.2;-4.8;6.8;89.8
CDF;20240119;84;1;-;899.4;0;306;-5.7;-7.9;-3.6;78.3
CDF;20240120;99;1;-;906.4;0;495;-3.7;-7.7;0.4;44.7
CDF;20240121;77;1;-;909.8;0;276;0.2;-6.1;5.5;48.9
CDF;20240122;16;0;-;907;16.4;0;4.9;0.4;8.9;71.9
CDF;20240123;34;0;-;913.5;1.3;13;3.3;1.1;6;81.3
CDF;20240124;13;0;-;914.5;13.6;0;7.6;6.2;8.3;91.4
CDF;20240125;38;0;-;913;2.1;9;6.6;2.5;7.7;91.6
CDF;20240126;26;0;-;913.2;5.6;0;4.8;2.1;7.4;92
CDF;20240127;106;0;-;914.3;0;506;2.6;-3.4;9.7;76.1
CDF;20240128;102;0;-;912.5;0;458;5.5;-2.8;14.4;49.1
CDF;20240129;99;0;-;912.6;0;493;5;-1.2;13.8;59.8
CDF;20240130;70;0;-;914.2;0;148;3.3;-1.6;9.4;64.8
CDF;20240131;93;0;-;914.9;0.1;394;3.2;-2.8;11.5;79.4
CDF;20240201;19;0;-;913.8;3.8;0;4.4;1.9;5.2;94.5
CDF;20240202;75;0;-;915.3;0;157;2.6;-1;7.5;83.8
CDF;20240203;116;0;-;913.2;0;526;3.7;-2;11.4;66.1
CDF;20240204;118;0;-;911.9;0;516;3.9;-2.5;11.2;77.2
CDF;20240205;118;0;-;908.8;0;534;5.1;-1.6;13.8;60.8
CDF;20240206;66;0;-;904.7;0;77;1.4;-1;3.9;83.7
CDF;20240207;37;0;-;897.2;15.6;21;4.2;2.3;6.1;85.3
CDF;20240208;62;0;-;888.8;4.9;105;7.4;5.1;10;80.6
CDF;20240209;27;0;-;878.8;1.4;0;6.8;4.9;9.1;80.2
CDF;20240210;36;0;-;873.5;2.6;4;5.4;0.1;9;85.7
CDF;20240211;36;1;-;882.3;7.3;9;2.2;0.3;4.1;91
CDF;20240212;51;0;-;891.4;0.4;6;2;0.6;3.8;89.3
CDF;20240213;136;0;-;902.5;0;543;2.2;-2.4;7.2;79.9
CDF;20240214;44;0;-;906.3;0;0;5;-0.1;8.6;84.7
CDF;20240215;74;0;-;902.3;0;65;7.5;-1.1;14;61.8
CDF;20240216;70;0;-;903.3;0.5;79;8.5;4.6;12;75
