station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
CDF;19000101;-;-;-;-;1.2;-;-;-;-;-
CDF;19000102;-;-;-;-;0;-;-;-;-;-
CDF;19000103;-;-;-;-;27.4;-;-;-;-;-
CDF;19000104;-;-;-;-;13.7;-;-;-;-;-
CDF;19000105;-;-;-;-;2.5;-;-;-;-;-
CDF;19000106;-;-;-;-;0;-;-;-;-;-
CDF;19000107;-;-;-;-;1.1;-;-;-;-;-
CDF;19000108;-;-;-;-;3.1;-;-;-;-;-
CDF;19000109;-;-;-;-;8.6;-;-;-;-;-
CDF;19000110;-;-;-;-;10.4;-;-;-;-;-
CDF;19000111;-;-;-;-;7.6;-;-;-;-;-
CDF;19000112;-;-;-;-;1;-;-;-;-;-
CDF;19000113;-;-;-;-;0;-;-;-;-;-
CDF;19000114;-;-;-;-;0;-;-;-;-;-
CDF;19000115;-;-;-;-;10;-;-;-;-;-
CDF;19000116;-;-;-;-;22.8;-;-;-;-;-
CDF;19000117;-;-;-;-;41;-;-;-;-;-
CDF;19000118;-;-;-;-;10.6;-;-;-;-;-
CDF;19000119;-;-;-;-;1;-;-;-;-;-
CDF;19000120;-;-;-;-;0;-;-;-;-;-
CDF;19000121;-;-;-;-;5.5;-;-;-;-;-
CDF;19000122;-;-;-;-;2.1;-;-;-;-;-
CDF;19000123;-;-;-;-;0;-;-;-;-;-
CDF;19000124;-;-;-;-;21.3;-;-;-;-;-
CDF;19000125;-;-;-;-;10.5;-;-;-;-;-
CDF;19000126;-;-;-;-;0;-;-;-;-;-
CDF;19000127;-;-;-;-;14;-;-;-;-;-
CDF;19000128;-;-;-;-;0;-;-;-;-;-
CDF;19000129;-;-;-;-;1.5;-;-;-;-;-
CDF;19000130;-;-;-;-;2;-;-;-;-;-
CDF;19000131;-;-;-;-;0;-;-;-;-;-
CDF;19000201;-;-;-;-;1.8;-;-;-;-;-
CDF;19000202;-;-;-;-;2.4;-;-;-;-;-
CDF;19000203;-;-;-;-;0;-;-;-;-;-
CDF;19000204;-;-;-;-;0;-;-;-;-;-
CDF;19000205;-;-;-;-;0;-;-;-;-;-
CDF;19000206;-;-;-;-;6.8;-;-;-;-;-
CDF;19000207;-;-;-;-;0;-;-;-;-;-
CDF;19000208;-;-;-;-;0;-;-;-;-;-
CDF;19000209;-;-;-;-;2.6;-;-;-;-;-
CDF;19000210;-;-;-;-;0;-;-;-;-;-
CDF;19000211;-;-;-;-;1.6;-;-;-;-;-
CDF;19000212;-;-;-;-;24.1;-;-;-;-;-
CDF;19000213;-;-;-;-;12.9;-;-;-;-;-
CDF;19000214;-;-;-;-;18;-;-;-;-;-
CDF;19000215;-;-;-;-;0.5;-;-;-;-;-
CDF;19000216;-;-;-;-;7;-;-;-;-;-
CDF;19000217;-;-;-;-;0;-;-;-;-;-
CDF;19000218;-;-;-;-;4.9;-;-;-;-;-
CDF;19000219;-;-;-;-;14.8;-;-;-;-;-
CDF;19000220;-;-;-;-;7.3;-;-;-;-;-
CDF;19000221;-;-;-;-;8.6;-;-;-;-;-
CDF;19000222;-;-;-;-;3.5;-;-;-;-;-
CDF;19000223;-;-;-;-;1.4;-;-;-;-;-
CDF;19000224;-;-;-;-;0;-;-;-;-;-
CDF;19000225;-;-;-;-;0;-;-;-;-;-
CDF;19000226;-;-;-;-;13.2;-;-;-;-;-
CDF;19000227;-;-;-;-;2.6;-;-;-;-;-
CDF;19000228;-;-;-;-;3;-;-;-;-;-
CDF;19000301;-;-;-;-;6.4;-;-;-;-;-
CDF;19000302;-;-;-;-;1.3;-;-;-;-;-
CDF;19000303;-;-;-;-;6.4;-;-;-;-;-
CDF;19000304;-;-;-;-;3.4;-;-;-;-;-
CDF;19000305;-;-;-;-;0;-;-;-;-;-
CDF;19000306;-;-;-;-;0;-;-;-;-;-
CDF;19000307;-;-;-;-;0;-;-;-;-;-
CDF;19000308;-;-;-;-;0;-;-;-;-;-
CDF;19000309;-;-;-;-;0;-;-;-;-;-
CDF;19000310;-;-;-;-;0;-;-;-;-;-
CDF;19000311;-;-;-;-;0.8;-;-;-;-;-
CDF;19000312;-;-;-;-;0;-;-;-;-;-
CDF;19000313;-;-;-;-;1.2;-;-;-;-;-
CDF;19000314;-;-;-;-;1.9;-;-;-;-;-
CDF;19000315;-;-;-;-;0;-;-;-;-;-
CDF;19000316;-;-;-;-;0;-;-;-;-;-
CDF;19000317;-;-;-;-;2;-;-;-;-;-
CDF;19000318;-;-;-;-;0;-;-;-;-;-
CDF;19000319;-;-;-;-;0;-;-;-;-;-
CDF;19000320;-;-;-;-;1.4;-;-;-;-;-
CDF;19000321;-;-;-;-;0;-;-;-;-;-
CDF;19000322;-;-;-;-;0.5;-;-;-;-;-
CDF;19000323;-;-;-;-;14.2;-;-;-;-;-
CDF;19000324;-;-;-;-;5;-;-;-;-;-
CDF;19000325;-;-;-;-;1.1;-;-;-;-;-
CDF;19000326;-;-;-;-;0.8;-;-;-;-;-
CDF;19000327;-;-;-;-;7.6;-;-;-;-;-
CDF;19000328;-;-;-;-;0;-;-;-;-;-
CDF;19000329;-;-;-;-;1.3;-;-;-;-;-
CDF;19000330;-;-;-;-;3.2;-;-;-;-;-
CDF;19000331;-;-;-;-;1.4;-;-;-;-;-
CDF;19000401;-;-;-;-;0.7;-;-;-;-;-
CDF;19000402;-;-;-;-;2.9;-;-;-;-;-
CDF;19000403;-;-;-;-;0;-;-;-;-;-
CDF;19000404;-;-;-;-;8.6;-;-;-;-;-
CDF;19000405;-;-;-;-;4;-;-;-;-;-
CDF;19000406;-;-;-;-;0.5;-;-;-;-;-
CDF;19000407;-;-;-;-;4.6;-;-;-;-;-
CDF;19000408;-;-;-;-;9.8;-;-;-;-;-
CDF;19000409;-;-;-;-;1.2;-;-;-;-;-
CDF;19000410;-;-;-;-;0.5;-;-;-;-;-
CDF;19000411;-;-;-;-;5.4;-;-;-;-;-
CDF;19000412;-;-;-;-;7.5;-;-;-;-;-
CDF;19000413;-;-;-;-;13.2;-;-;-;-;-
CDF;19000414;-;-;-;-;0;-;-;-;-;-
CDF;19000415;-;-;-;-;0;-;-;-;-;-
CDF;19000416;-;-;-;-;9.4;-;-;-;-;-
CDF;19000417;-;-;-;-;0.3;-;-;-;-;-
CDF;19000418;-;-;-;-;0.2;-;-;-;-;-
CDF;19000419;-;-;-;-;0;-;-;-;-;-
CDF;19000420;-;-;-;-;0;-;-;-;-;-
CDF;19000421;-;-;-;-;0;-;-;-;-;-
CDF;19000422;-;-;-;-;0;-;-;-;-;-
CDF;19000423;-;-;-;-;0;-;-;-;-;-
CDF;19000424;-;-;-;-;2.9;-;-;-;-;-
CDF;19000425;-;-;-;-;0;-;-;-;-;-
CDF;19000426;-;-;-;-;0;-;-;-;-;-
CDF;19000427;-;-;-;-;7.9;-;-;-;-;-
CDF;19000428;-;-;-;-;0;-;-;-;-;-
CDF;19000429;-;-;-;-;3.3;-;-;-;-;-
CDF;19000430;-;-;-;-;0.4;-;-;-;-;-
CDF;19000501;-;-;-;-;0;-;-;-;-;-
CDF;19000502;-;-;-;-;4.5;-;-;-;-;-
CDF;19000503;-;-;-;-;1.1;-;-;-;-;-
CDF;19000504;-;-;-;-;0;-;-;-;-;-
CDF;19000505;-;-;-;-;0;-;-;-;-;-
CDF;19000506;-;-;-;-;0.1;-;-;-;-;-
CDF;19000507;-;-;-;-;16.5;-;-;-;-;-
CDF;19000508;-;-;-;-;10.5;-;-;-;-;-
CDF;19000509;-;-;-;-;0.6;-;-;-;-;-
CDF;19000510;-;-;-;-;2.8;-;-;-;-;-
CDF;19000511;-;-;-;-;0.5;-;-;-;-;-
CDF;19000512;-;-;-;-;0.3;-;-;-;-;-
CDF;19000513;-;-;-;-;6.2;-;-;-;-;-
CDF;19000514;-;-;-;-;16.4;-;-;-;-;-
CDF;19000515;-;-;-;-;1.2;-;-;-;-;-
CDF;19000516;-;-;-;-;0;-;-;-;-;-
CDF;19000517;-;-;-;-;0;-;-;-;-;-
CDF;19000518;-;-;-;-;0;-;-;-;-;-
CDF;19000519;-;-;-;-;0;-;-;-;-;-
CDF;19000520;-;-;-;-;0;-;-;-;-;-
CDF;19000521;-;-;-;-;0;-;-;-;-;-
CDF;19000522;-;-;-;-;0;-;-;-;-;-
CDF;19000523;-;-;-;-;12.9;-;-;-;-;-
CDF;19000524;-;-;-;-;1.2;-;-;-;-;-
CDF;19000525;-;-;-;-;2.7;-;-;-;-;-
CDF;19000526;-;-;-;-;1.2;-;-;-;-;-
CDF;19000527;-;-;-;-;0.1;-;-;-;-;-
CDF;19000528;-;-;-;-;0;-;-;-;-;-
CDF;19000529;-;-;-;-;0;-;-;-;-;-
CDF;19000530;-;-;-;-;3.7;-;-;-;-;-
CDF;19000531;-;-;-;-;2.3;-;-;-;-;-
CDF;19000601;-;-;-;-;0.2;-;-;-;-;-
CDF;19000602;-;-;-;-;0;-;-;-;-;-
CDF;19000603;-;-;-;-;0;-;-;-;-;-
CDF;19000604;-;-;-;-;0;-;-;-;-;-
CDF;19000605;-;-;-;-;0;-;-;-;-;-
CDF;19000606;-;-;-;-;1.2;-;-;-;-;-
CDF;19000607;-;-;-;-;0.1;-;-;-;-;-
CDF;19000608;-;-;-;-;0;-;-;-;-;-
CDF;19000609;-;-;-;-;0;-;-;-;-;-
