station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
CHD;18790101;-;-;-;-;0;-;2.3;-;-;-
CHD;18790102;-;-;-;-;1.8;-;1.6;-;-;-
CHD;18790103;-;-;-;-;1;-;4.9;-;-;-
CHD;18790104;-;-;-;-;19;-;1.5;-;-;-
CHD;18790105;-;-;-;-;12;-;-6.3;-;-;-
CHD;18790106;-;-;-;-;0;-;-13.4;-;-;-
CHD;18790107;-;-;-;-;0;-;-14;-;-;-
CHD;18790108;-;-;-;-;10;-;-12;-;-;-
CHD;18790109;-;-;-;-;9;-;-12;-;-;-
CHD;18790110;-;-;-;-;0;-;-13.9;-;-;-
CHD;18790111;-;-;-;-;6.2;-;-4;-;-;-
CHD;18790112;-;-;-;-;0;-;-5.3;-;-;-
CHD;18790113;-;-;-;-;0;-;-5.1;-;-;-
CHD;18790114;-;-;-;-;0;-;-6.4;-;-;-
CHD;18790115;-;-;-;-;3.9;-;-1.9;-;-;-
CHD;18790116;-;-;-;-;0;-;-6.7;-;-;-
CHD;18790117;-;-;-;-;3.9;-;-6.4;-;-;-
CHD;18790118;-;-;-;-;4.9;-;-8;-;-;-
CHD;18790119;-;-;-;-;1.3;-;-2.5;-;-;-
CHD;18790120;-;-;-;-;0;-;-10.7;-;-;-
CHD;18790121;-;-;-;-;0;-;-7.5;-;-;-
CHD;18790122;-;-;-;-;0;-;-1.3;-;-;-
CHD;18790123;-;-;-;-;0;-;3.2;-;-;-
CHD;18790124;-;-;-;-;0;-;1.3;-;-;-
CHD;18790125;-;-;-;-;0;-;1.1;-;-;-
CHD;18790126;-;-;-;-;0;-;0;-;-;-
CHD;18790127;-;-;-;-;0;-;-1.3;-;-;-
CHD;18790128;-;-;-;-;0;-;-2.3;-;-;-
CHD;18790129;-;-;-;-;0;-;-4.8;-;-;-
CHD;18790130;-;-;-;-;0;-;-6.4;-;-;-
CHD;18790131;-;-;-;-;0;-;-6.3;-;-;-
CHD;18790201;-;-;-;-;0;-;-2.3;-;-;-
CHD;18790202;-;-;-;-;0.5;-;0.7;-;-;-
CHD;18790203;-;-;-;-;11;-;-0.3;-;-;-
CHD;18790204;-;-;-;-;2.1;-;1.9;-;-;-
CHD;18790205;-;-;-;-;3.6;-;-0.7;-;-;-
CHD;18790206;-;-;-;-;0;-;-2.8;-;-;-
CHD;18790207;-;-;-;-;0;-;-0.2;-;-;-
CHD;18790208;-;-;-;-;0.1;-;2.5;-;-;-
CHD;18790209;-;-;-;-;0;-;2.7;-;-;-
CHD;18790210;-;-;-;-;16.9;-;5;-;-;-
CHD;18790211;-;-;-;-;14.7;-;-0.3;-;-;-
CHD;18790212;-;-;-;-;4;-;0.8;-;-;-
CHD;18790213;-;-;-;-;1;-;-0.9;-;-;-
CHD;18790214;-;-;-;-;5.3;-;-1.8;-;-;-
CHD;18790215;-;-;-;-;0.3;-;-1.8;-;-;-
