station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
CHM;20240101;44;2;-;883.8;4.6;39;0.6;-0.3;1.7;88.9
CHM;20240102;10;1;-;879.4;25.3;0;2.4;0.8;4.1;93.8
CHM;20240103;30;0;-;877.2;4.6;27;4.2;1.8;6.3;83.9
CHM;20240104;35;0;-;880.6;0.2;67;2.4;0.9;3.7;83.1
CHM;20240105;7;0;-;875.6;5.1;0;1.4;0;3.3;92.5
CHM;20240106;41;0;-;877.6;1.3;5;-1.3;-2;-0.1;92.7
CHM;20240107;32;2;-;880.3;0.2;0;-2.1;-4.7;-0.6;89
CHM;20240108;12;2;-;884.2;0.3;0;-7.2;-8.2;-4.8;92.3
CHM;20240109;18;2;-;887.8;3.2;0;-6.9;-7.6;-4.4;96
CHM;20240110;49;8;-;889.8;0.1;37;-1.6;-4.9;0.9;90.6
CHM;20240111;65;7;-;891.4;0;197;-5.1;-7.1;-2.4;90.5
CHM;20240112;84;7;-;893.5;0;464;-3;-8.1;-0.7;71.8
CHM;20240113;91;7;-;890.1;0;466;-0.3;-3.7;3.3;42.9
CHM;20240114;61;6;-;881;0;202;-0.2;-2;2.9;47.1
CHM;20240115;79;6;-;876.8;0;273;-3.2;-6.4;-0.9;79.8
CHM;20240116;82;6;-;877.1;6.7;300;-3;-6.6;3.5;84.2
CHM;20240117;6;0;-;867.6;28.1;0;4.4;0.9;7;96
CHM;20240118;12;0;-;869.6;9.2;0;1.4;-5.7;5.5;95.3
CHM;20240119;43;2;-;885.7;0;144;-6.9;-8.2;-5.3;81
CHM;20240120;95;2;-;893.1;0;486;-6;-8.9;-3.6;57.2
CHM;20240121;74;2;-;896.7;0;251;-1.6;-6.2;4.5;56.5
CHM;20240122;17;1;-;893.8;13.3;0;3.5;-2.3;7.7;71.4
CHM;20240123;41;0;-;900.1;0.1;56;2.6;0.7;5.7;79
CHM;20240124;15;0;-;901.2;3.5;0;6.9;5.6;7.6;96.6
CHM;20240125;78;0;-;899.6;0;177;6;3;7.8;92.4
CHM;20240126;21;0;-;899.7;3.2;0;4.9;1.8;7;85.5
CHM;20240127;104;0;-;901.3;0;505;2.3;0.4;4.8;88.7
CHM;20240128;103;0;-;899.9;0;477;5.9;0;9.9;43.1
CHM;20240129;96;0;-;899.8;0;472;7.1;4.8;9.9;43
CHM;20240130;73;0;-;901;0;157;6.3;4.4;8.2;49.4
CHM;20240131;93;0;-;901.6;0;335;5.8;3.9;8.5;64.8
CHM;20240201;16;0;-;900.3;1.4;0;3.8;2.4;4.8;95.7
CHM;20240202;71;0;-;901.9;0;100;4.6;0.8;8.5;60.6
CHM;20240203;115;0;-;899.8;0;526;7.7;5.1;11.5;39
CHM;20240204;118;0;-;898.4;0;499;7.4;2.8;11.8;53.8
CHM;20240205;116;0;-;895.7;0;535;8;5.3;11.6;40.3
CHM;20240206;114;0;-;890.9;0;508;3.7;-0.3;7.6;67.1
CHM;20240207;37;0;-;884.2;18.5;2;2.2;-0.3;4.5;90.9
CHM;20240208;49;0;-;876.2;4.8;38;5.3;2.9;7.7;91.1
CHM;20240209;29;0;-;866.4;1.6;0;5.2;4.2;6.5;90.4
CHM;20240210;42;0;-;860.7;0.5;1;4.6;0.1;8;87.4
CHM;20240211;61;0;-;869.3;1.8;20;1.3;-0.2;3.5;92.6
CHM;20240212;61;0;-;878.2;0;5;1.5;0.6;3.2;87.8
CHM;20240213;131;0;-;889.3;0;537;2;-0.9;4.7;76.1
CHM;20240214;68;0;-;893.1;0.1;26;5.8;2.7;9.1;75.5
CHM;20240215;79;0;-;889.7;0;70;7.4;4.9;10.4;62.3
CHM;20240216;84;0;-;890.4;0.5;81;8.4;6.2;11.7;74.3
CHM;20240217;41;0;-;899.1;1;0;6.1;4.7;7.2;95.4
CHM;20240218;73;0;-;899.6;7.8;8;5;3;7.4;88.4
