station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
DAV;20240101;51;71;-;835.2;0;119;-5.5;-9.1;-1.7;82.8
DAV;20240102;59;70;-;832;0.6;83;-2.5;-9;1.9;79.7
DAV;20240103;79;72;-;829.4;6.1;377;-1.4;-4.1;2.4;82.5
DAV;20240104;58;79;-;832.6;1.6;188;-2.3;-6.3;0.9;86.9
DAV;20240105;40;78;-;827.8;11.3;4;-1.8;-5.3;2.1;86.2
DAV;20240106;22;89;-;827;1.2;0;-3;-4.4;-1.3;91.4
DAV;20240107;42;88;-;829.3;0.5;0;-4.8;-6.9;-3.7;88.7
DAV;20240108;70;86;-;834.3;0;278;-8.8;-11.6;-5.4;82.6
DAV;20240109;42;84;-;838.4;0;0;-5;-11.5;0;88
DAV;20240110;68;84;-;842;0;344;-5.5;-9;-0.3;80.6
DAV;20240111;86;82;-;842.6;0;386;-6.8;-10.8;-0.9;78.2
DAV;20240112;87;81;-;844.2;0;388;-7.9;-11.7;-2;72.8
DAV;20240113;91;80;-;841.3;0;388;-8.4;-12.6;-1.7;61.9
DAV;20240114;92;80;-;832.4;0.3;389;-5.8;-10.7;-0.2;55.6
DAV;20240115;89;82;-;826.2;0.3;212;-5.4;-8.6;-2.9;86.8
DAV;20240116;92;83;-;829.1;0.1;393;-9.1;-15;-3.2;69
DAV;20240117;53;81;-;822.1;4.6;23;0.4;-4.9;5.3;75
DAV;20240118;53;76;-;821.3;4.2;15;0.6;-4.9;3.6;91.4
DAV;20240119;69;77;-;834.9;0.1;169;-9.9;-18.1;-5.3;80.9
DAV;20240120;99;78;-;845.3;0;400;-12.4;-18.4;-5.5;69.9
DAV;20240121;79;78;-;848.6;0;278;-6.5;-11.9;0.6;60.6
DAV;20240122;54;78;-;845.3;4.4;11;-0.8;-8.1;6;61
DAV;20240123;82;82;-;849.9;5.5;206;-1.2;-2.8;0.9;80.4
DAV;20240124;90;85;-;850.5;7.7;188;3.8;-0.9;8.3;80.9
DAV;20240125;37;73;-;849.2;11.5;22;2.8;-0.5;5.3;89.9
DAV;20240126;35;68;-;849.7;6.5;2;1.6;-0.1;4;92.4
DAV;20240127;107;64;-;853.1;0;418;-1.4;-5.4;1.3;77
DAV;20240128;108;64;-;852.9;0;420;-1.5;-6.4;6.1;50.9
DAV;20240129;103;64;-;852.4;0;424;0.6;-4.1;8.2;50.7
DAV;20240130;98;64;-;852.6;0;418;0.9;-2.5;7.5;55.4
DAV;20240131;78;64;-;852.8;0;138;0;-4.4;5.6;65.9
DAV;20240201;37;64;-;850.2;2.7;0;-0.7;-4.7;1.2;84.2
DAV;20240202;44;65;-;852.4;0.3;0;-0.3;-2.4;1.6;86.3
DAV;20240203;112;66;-;850.9;0;406;1.8;-1.8;8.7;77
DAV;20240204;120;66;-;849.3;0;425;1.5;-4.3;8.7;66
DAV;20240205;122;65;-;847.5;0;443;1.3;-2.8;9;62.2
DAV;20240206;75;65;-;842;0;8;0.3;-3.5;6.2;57
DAV;20240207;95;65;-;835.2;0.7;168;-0.8;-5.6;4;67.7
DAV;20240208;83;66;-;829.5;0;113;2.3;-1.2;6.2;77.9
DAV;20240209;51;64;-;821.4;0;0;4.8;1.8;7;60.8
DAV;20240210;89;63;-;816.1;2.7;128;3.7;1.4;7.9;65.2
