station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
ELM;20240101;29;4;-;903.9;0;0;-0.8;-4.6;1.8;83.5
ELM;20240102;34;3;-;898.8;6.8;0;2.2;-3.8;6.7;77.1
ELM;20240103;20;0;-;896.7;10;44;3.5;1.3;7.3;79.2
ELM;20240104;31;0;-;900.4;0.4;45;2.1;-0.5;5.3;82.4
ELM;20240105;32;0;-;895.5;15.7;0;2;-0.1;5.5;80.2
ELM;20240106;13;8;-;897;13.6;0;-0.6;-1.3;0;99.2
ELM;20240107;18;27;-;900;15;0;-1.7;-3.4;-1.1;97.5
ELM;20240108;32;50;-;905;0.7;0;-5.2;-6.9;-3.4;92.7
ELM;20240109;20;44;-;909;0;0;-7.5;-11.7;-4.5;84.8
ELM;20240110;25;39;-;910.9;0;48;-5.2;-8.9;-2.5;91.7
ELM;20240111;17;33;-;912.6;0;17;-7.5;-11.5;-4.6;91.9
ELM;20240112;18;30;-;914.6;0;50;-9.1;-12;-5.7;89.5
ELM;20240113;19;24;-;910.6;0;51;-7;-12.2;-2.3;75.3
ELM;20240114;19;21;-;900.8;2.3;45;-3.4;-7.4;0.5;66.7
ELM;20240115;24;25;-;896.2;1.2;1;-2.9;-4.3;-1.8;94.7
ELM;20240116;25;25;-;898;0;55;-6.2;-11.9;-1;80.9
ELM;20240117;46;22;-;887.7;2.4;17;2.4;-3.3;11.5;79.2
ELM;20240118;33;10;-;888.7;10.5;0;2.4;-2.8;7;90.6
ELM;20240119;48;12;-;906.4;0.5;76;-6.6;-13.8;-2.8;83.6
ELM;20240120;26;12;-;915.1;0;101;-9.4;-13.8;-4.9;75.7
ELM;20240121;53;11;-;917.6;0;75;-3.1;-9.6;3;66.1
ELM;20240122;41;10;-;913.5;13.4;0;1.9;-3.7;7.6;68.9
ELM;20240123;53;6;-;919.8;7.4;69;2.1;0.3;4;89.9
ELM;20240124;51;3;-;919.2;11.3;2;5.5;2.8;9.1;87.7
ELM;20240125;25;0;-;918.7;2.7;2;4.8;2.6;6.7;94.7
ELM;20240126;37;0;-;919.1;13.7;0;4.6;3;7.7;92.2
ELM;20240127;65;0;-;922.4;0;254;2.3;-0.9;5.2;78.6
ELM;20240128;71;0;-;920.7;0;274;2.6;-1.4;7;51.7
ELM;20240129;70;0;-;920.1;0;291;3.8;1.1;8;55.4
ELM;20240130;73;0;-;921.3;0;281;4;1.6;8;61.9
ELM;20240131;56;0;-;921.7;0;93;3.7;0.8;8.8;67.1
ELM;20240201;23;0;-;920.2;4.7;0;2.6;0.6;4.2;84.8
ELM;20240202;32;0;-;922;0;0;3.9;1.7;5.9;82.4
ELM;20240203;86;0;-;919.3;0;320;4.6;1.4;9.3;74.6
ELM;20240204;78;0;-;917.9;0;266;4.1;0;9.7;72.2
ELM;20240205;92;0;-;915.3;0;321;5.1;1.1;10.3;61.9
ELM;20240206;69;0;-;910.4;0;127;2.8;-0.4;6.7;68.7
ELM;20240207;69;0;-;903.6;10.8;48;2.9;-2.2;7.6;72.3
ELM;20240208;68;0;-;896;0;60;6.8;2.7;12.4;78.3
ELM;20240209;48;0;-;886.1;0;0;10.8;6.5;12.4;45
ELM;20240210;72;0;-;880.7;0;22;10.3;5.3;12.7;47.5
ELM;20240211;51;0;-;888.5;0.2;0;3.1;0.2;5.9;89.2
ELM;20240212;72;0;-;897.8;1.8;24;3.1;1.4;6;87.5
ELM;20240213;112;0;-;909.5;0;346;2.1;-0.3;6.9;72.1
ELM;20240214;83;0;-;913.2;0;185;5.2;-0.3;11;57.4
ELM;20240215;76;0;-;909.9;0;129;7.4;1.5;13.9;59.5
ELM;20240216;104;0;-;909.9;0;329;9.1;4.1;14.3;61.9
ELM;20240217;41;0;-;919;1.1;0;7.4;5.9;9.7;89.6
ELM;20240218;94;0;-;919.2;6.3;179;6;1.6;10.5;82.9
ELM;20240219;46;0;-;917.8;17.4;1;4.7;3.5;6.7;91.7
ELM;20240220;92;1;-;917.7;1;150;2.1;-0.6;6.1;87.9
ELM;20240221;108;0;-;910.4;0;258;5;-1.2;10.6;65.8
ELM;20240222;61;0;-;894.5;11.9;4;9.7;3.3;11.7;44.9
ELM;20240223;58;1;-;890.4;4.8;2;0.4;-3.9;3;87.9
ELM;20240224;76;2;-;895;0.8;110;-0.5;-4.5;3;80.4
ELM;20240225;147;1;-;895.2;0;393;3.1;-3;7.2;57.2
ELM;20240226;87;0;-;891.8;3.4;8;7;2.7;9.3;45.2
ELM;20240227;63;0;-;899.6;0.4;3;3.7;2.2;5.6;90.3
ELM;20240228;36;0;-;907.7;0;0;3.9;3.1;5.3;94.2
ELM;20240229;126;0;-;902.5;10.4;278;4.9;2.2;10.1;82.3
ELM;20240301;45;0;-;898;14.2;0;3.4;0.4;5.3;93
ELM;20240302;106;0;-;894.8;0;118;7.1;1.7;11.7;63.9
ELM;20240303;101;0;-;892;0;14;8.4;4.4;11;47
ELM;20240304;105;0;-;899.7;0;141;4.9;2.4;8.4;84.2
ELM;20240305;32;0;-;904.4;29.6;0;2.6;-0.2;5;93
ELM;20240306;64;16;-;908.5;11.9;0;-0.6;-5.2;0.3;98
ELM;20240307;175;20;-;906.2;0;423;-1.2;-6.9;4.1;85.4
ELM;20240308;170;10;-;899.3;0;397;4.4;-3.8;9.3;55
ELM;20240309;115;0;-;894;0;173;8.1;4.6;10;38.8
ELM;20240310;30;0;-;888.1;19.9;0;6.2;1.5;11.3;67.6
ELM;20240311;111;0;-;897.7;3.8;93;3.5;-0.9;9.6;76.5
ELM;20240312;71;0;-;907.3;21.7;1;3.1;1.1;5.3;92
ELM;20240313;80;3;-;908.8;12.7;10;2.4;0;6.2;92.4
ELM;20240314;173;0;-;906.5;0;434;6.6;0.6;14.6;68
ELM;20240315;164;0;-;907;17;244;8.2;3.8;14.3;69.4
ELM;20240316;75;0;-;911.7;1.1;12;6;3.7;8.7;87.1
ELM;20240317;97;0;-;911.8;2.8;63;6.1;1;10.6;77.9
ELM;20240318;26;0;-;907.9;31.8;0;4.9;2.7;6.9;90.1
ELM;20240319;203;0;-;909;0;471;7.1;2.1;13.7;72.4
ELM;20240320;198;0;-;910.2;0.6;474;8.3;1.2;16.3;56.1
ELM;20240321;56;0;-;914.1;12.4;6;8;4.6;10.3;82
ELM;20240322;200;0;-;910.1;0;465;8.8;2.5;15.4;59.7
ELM;20240323;67;0;-;903.4;12.3;34;3.9;-0.4;8.8;78.6
ELM;20240324;82;7;-;901.5;4.5;4;0.2;-1.5;2.9;89.6
ELM;20240325;226;2;-;895.9;0;486;4.2;-4.6;9.9;53.6
ELM;20240326;213;0;-;887.4;0;309;9.3;6.9;11.8;37.7
ELM;20240327;34;0;-;881.8;10.1;0;5.8;-0.5;11.8;78.1
ELM;20240328;58;0;-;888.8;3.4;0;4;-0.2;10;69.4
ELM;20240329;175;0;-;894.1;0;167;12.8;9.6;15.5;36.7
ELM;20240330;173;0;-;892;16.4;194;12.8;6;15.6;42.3
ELM;20240331;112;0;-;891;21.7;95;10.1;5.1;12.6;55.7
ELM;20240401;27;0;-;894.1;35.8;0;4.1;0.3;11.4;89.5
ELM;20240402;233;0;-;904.3;0.2;417;5.4;1.3;11;71.1
ELM;20240403;121;0;-;903.7;1;27;6.9;1.8;11.4;68.8
ELM;20240404;160;0;-;907.7;0;100;9.8;3.3;15.6;69.1
ELM;20240405;233;0;-;909.3;0;505;13;5.5;19.5;51.1
ELM;20240406;244;0;-;910.7;0;524;14.1;5.6;23.7;41.1
ELM;20240407;171;0;-;910.4;0;138;16.8;8.8;23;36.4
ELM;20240408;188;0;-;905.8;0;269;19.4;14.1;22.8;24.7
ELM;20240409;65;0;-;907.5;30.1;0;8.4;0.3;17.8;69.1
ELM;20240410;86;0;-;916.9;3.7;0;3;0.1;6.1;88.6
ELM;20240411;249;0;-;920.9;0;530;7.5;0.9;14.8;75.4
ELM;20240412;252;0;-;921.6;0;534;10.8;2.8;19.8;67.4
ELM;20240413;257;0;-;918.7;0;535;13.6;4.8;22.3;52
ELM;20240414;240;0;-;913.6;0;536;14.9;7.6;23.1;48.5
ELM;20240415;116;0;-;903.5;1.6;50;12.8;8.4;16.1;70.6
ELM;20240416;113;0;-;900.4;15.5;62;3.8;0;9;74.3
ELM;20240417;104;13;-;900.3;8;0;0.4;-1;1.4;95.8
ELM;20240418;187;8;-;904.8;0;125;0.6;-3.1;3.5;86.9
ELM;20240419;105;0;-;906;34.7;0;1;-1.6;4.6;86.4
ELM;20240420;131;32;-;906.9;4.6;5;0.2;-0.6;1.7;94.9
ELM;20240421;146;20;-;906.3;7.6;13;-0.3;-1.5;2.3;92.2
ELM;20240422;119;16;-;904.9;9.5;0;-0.8;-2.1;1.1;93.5
