station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
ENG;20240101;44;1;-;895.1;0;79;-0.2;-3;2.9;79.2
ENG;20240102;38;1;-;890;5.8;36;4.3;-3;9;73.7
ENG;20240103;48;0;-;888.4;14.4;149;6.9;3;10.6;54.9
ENG;20240104;34;0;-;891.9;0.1;37;3.2;-0.6;7.3;69.7
ENG;20240105;28;0;-;886.9;10.9;0;2.1;-0.1;5.6;77.5
ENG;20240106;18;10;-;888.6;9;0;-0.5;-1.2;0.1;96.3
ENG;20240107;23;30;-;891.3;10.6;0;-1.7;-3.2;-0.9;94.6
ENG;20240108;25;55;-;895.9;0.2;0;-6.1;-9.6;-3.1;91.1
ENG;20240109;40;49;-;899.8;0;60;-8;-11.9;-4.8;89.8
ENG;20240110;48;45;-;901.6;0;128;-4.7;-8.7;-0.2;93.7
ENG;20240111;40;43;-;903.5;0;52;-8;-10.5;-5.1;92.5
ENG;20240112;47;41;-;905.4;0;143;-8.4;-11.1;-4.9;91.5
ENG;20240113;56;36;-;901.7;0;188;-5.4;-9.1;-0.9;76.6
ENG;20240114;54;33;-;892.2;2.5;131;-2;-7.3;4.7;67.5
ENG;20240115;23;33;-;887.8;0.4;0;-2;-4.4;-0.3;92.8
ENG;20240116;49;32;-;888.9;3.1;57;-4.9;-10.2;0.3;82.4
ENG;20240117;47;28;-;878.9;12.9;41;2.6;-1.2;5.8;91.7
ENG;20240118;21;18;-;880.6;14.1;0;2.2;-3.5;6.9;91.8
ENG;20240119;44;35;-;897.6;1;40;-7;-13.4;-3.3;89.1
ENG;20240120;69;36;-;905.2;0;231;-9.7;-15.3;-6;88.4
ENG;20240121;52;26;-;908.5;0;14;-3.3;-7.8;1.2;80
ENG;20240122;41;25;-;904.9;12.5;2;2;-4.1;7;74.6
ENG;20240123;55;18;-;911.3;1.9;102;3.6;1.2;7.9;73.9
ENG;20240124;32;14;-;911.5;2.8;1;8.6;4.2;14.8;70.3
ENG;20240125;69;6;-;910.6;0.1;133;5.6;2.1;9.8;89
ENG;20240126;37;0;-;910.8;9.6;27;4.8;2.1;7.7;89.2
ENG;20240127;84;0;-;913.1;0;285;2.2;-0.4;4.8;82
ENG;20240128;86;0;-;911.4;0;301;4.2;-0.6;10.2;44.3
ENG;20240129;86;0;-;911.2;0;316;5.8;2.7;10.3;48.1
ENG;20240130;85;0;-;912.5;0;310;5.1;2.1;9.5;55.6
ENG;20240131;65;0;-;913;0;159;3.8;0.5;9;64
ENG;20240201;17;0;-;911.7;2.5;0;2.8;-0.1;4.3;83.4
ENG;20240202;29;0;-;913.3;0;0;3.4;-0.2;6.2;81.9
ENG;20240203;101;0;-;910.8;0;357;5.7;1.8;10.8;71
ENG;20240204;112;0;-;909.4;0;360;4.9;0.2;11.6;66
ENG;20240205;106;0;-;906.8;0;368;6;0.8;11.3;57.4
ENG;20240206;90;0;-;901.9;0;360;3;-1.5;8.6;62.6
ENG;20240207;71;0;-;895.3;12;88;2.8;-2.3;7.6;75.5
ENG;20240208;72;0;-;887.4;0;106;5.8;3.5;8.9;90.4
ENG;20240209;69;0;-;877.4;0;92;6.3;4.2;10.8;84.7
ENG;20240210;76;0;-;871.5;6.9;105;7.3;2.3;13.4;67.8
ENG;20240211;63;0;-;880.3;0;15;3.1;0.9;5.4;86.6
ENG;20240212;86;0;-;889.3;1.7;81;2.8;0.7;5.7;83.6
ENG;20240213;129;0;-;900.7;0;418;1.4;-1.5;5.7;75.1
ENG;20240214;115;0;-;904.5;0;298;5.7;0;11.9;55.5
ENG;20240215;90;0;-;901.1;0;209;7.3;2.1;13.2;61.2
ENG;20240216;115;0;-;901.5;0;365;8.7;4.5;13.9;65.3
ENG;20240217;51;0;-;910.4;0.7;63;7.1;5.3;10.4;88.8
ENG;20240218;107;0;-;910.7;3.4;249;5.6;1.3;10.6;86.3
ENG;20240219;64;0;-;909.7;15.3;40;4.3;2.4;6.3;91.5
ENG;20240220;114;0;-;909.1;1.9;161;2.2;-1.1;6.4;88.2
ENG;20240221;126;0;-;901.5;0.1;351;5;-1.6;9.7;65.1
ENG;20240222;38;0;-;885.9;12.5;0;6;1.4;9.1;84.7
ENG;20240223;104;0;-;881.6;0.6;154;1.5;-1.9;4.9;85.1
ENG;20240224;123;0;-;886.1;0;268;0.5;-3.1;5;73.1
ENG;20240225;159;0;-;885.3;0;449;2.8;-3.4;7.1;54.5
