station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
GRC;20240101;52;20;-;834.4;0;211;-3;-4.5;-0.5;73.1
GRC;20240102;46;20;-;832.4;2.8;19;0.3;-3.4;3.2;66.9
GRC;20240103;53;20;-;829.2;5.2;213;0.6;-1.6;3.7;78
GRC;20240104;53;28;-;831.9;0;98;0.1;-1.6;2.8;65.7
GRC;20240105;14;28;-;826.3;10;0;-0.4;-1.9;1.5;79.2
GRC;20240106;26;38;-;825.3;0;0;-3;-4.9;-0.6;97.9
GRC;20240107;39;38;-;827.1;3.6;0;-4.6;-5.6;-3.8;93.8
GRC;20240108;61;42;-;831.5;0;0;-5;-6.4;-3.8;98.3
GRC;20240109;48;42;-;836.8;0;50;-2.5;-5.7;0.7;81.4
GRC;20240110;55;41;-;839.9;0;50;-3;-5;-0.2;69.6
GRC;20240111;58;41;-;840.6;0;220;-2.8;-4.7;1.5;62.1
GRC;20240112;60;39;-;841.9;0;220;-3;-5.1;1.1;53.1
GRC;20240113;61;36;-;840.1;0;221;-3;-5.2;2.2;41.1
GRC;20240114;50;35;-;831.6;2.2;84;-1.8;-5.1;2;45
GRC;20240115;30;40;-;825.2;0.1;0;-2.1;-6.5;2.6;74.3
GRC;20240116;63;40;-;828;1.5;135;-2.9;-8.1;1.4;59.1
GRC;20240117;42;41;-;821.3;6.1;5;0.6;-2.6;3.7;87.9
GRC;20240118;27;45;-;820.8;2.7;0;0.5;-1.8;1.7;97
GRC;20240119;42;40;-;831.7;0.1;56;-6.1;-10.5;0.5;85.4
GRC;20240120;71;37;-;842.6;0;251;-6.9;-11.3;-1.2;54.1
GRC;20240121;64;37;-;847.6;0;96;-2.3;-6.3;2.3;41.5
GRC;20240122;44;37;-;845.3;4;11;1.9;-1.6;7.2;53.6
GRC;20240123;44;40;-;849.2;0.5;54;1.2;-1.9;5;58.2
GRC;20240124;96;39;-;850.8;0;208;8.7;1.3;13;50.1
GRC;20240125;81;30;-;848.2;0;281;5.4;1.2;9.4;61.2
GRC;20240126;49;29;-;848.6;0.2;65;2.1;0.5;5.7;85.8
GRC;20240127;84;27;-;851.1;0;290;1.5;-1.3;5.5;60.9
GRC;20240128;84;26;-;851.2;0;297;3.8;0.4;8.4;33.9
GRC;20240129;79;26;-;850.6;0;299;6;3.1;9.8;39.4
