station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
GRH;20240101;40;162;-;797.9;0;107;-5.6;-8.3;-3.8;77.1
GRH;20240102;45;160;-;795.7;2.8;0;-1.4;-4.4;0.3;74.6
GRH;20240103;48;158;-;793.3;25.5;152;-0.9;-3;1.1;77.8
GRH;20240104;64;182;-;795.9;1.1;125;-2.5;-4.5;0.4;75.1
GRH;20240105;30;180;-;791.1;12.4;0;-1.9;-4.4;0.4;75.1
GRH;20240106;35;190;-;790.3;18;0;-5.3;-6.3;-4;96.4
GRH;20240107;29;185;-;791.9;17.3;0;-6.7;-9.1;-4.4;94.6
GRH;20240108;40;195;-;795.4;0.1;0;-6.6;-10.9;-1;82.3
GRH;20240109;45;184;-;800.9;0;0;-2.6;-4.6;-0.7;70.8
GRH;20240110;46;184;-;804;0;46;-4.8;-6.6;-3.3;63.9
GRH;20240111;69;181;-;804.5;0;266;-3.3;-6.1;-0.4;38.1
GRH;20240112;69;179;-;806.1;0;267;-3.9;-6.5;-1.6;38.1
GRH;20240113;72;178;-;804;0;269;-4;-6.9;-1.4;21.6
GRH;20240114;40;176;-;795.8;8.6;79;-3.8;-6.5;-1.1;36.3
GRH;20240115;52;182;-;789.6;10.2;33;-6.1;-9.8;-3.8;94.9
GRH;20240116;86;176;-;791.6;0.1;250;-4.9;-11.3;-0.9;50.4
GRH;20240117;53;177;-;785.6;4;0;-0.7;-2.8;1.5;81.4
GRH;20240118;45;184;-;785.6;26.1;0;-1.5;-7.7;0.8;89.6
GRH;20240119;39;198;-;796.4;2;0;-11.1;-15.3;-6.4;73
GRH;20240120;84;192;-;805.7;0;284;-7.7;-15;-3.5;19.9
GRH;20240121;61;192;-;810.8;0;14;-3.3;-7.1;-0.6;25.8
GRH;20240122;68;188;-;808.6;18.7;81;0.9;-3.1;4.8;53.2
GRH;20240123;77;192;-;812.7;7;135;-2.7;-4.8;1.9;91.9
GRH;20240124;104;192;-;815;1.7;126;3;1.8;4.7;90
GRH;20240125;45;179;-;812.8;0.1;0;1.3;0.1;2.2;96.7
GRH;20240126;60;174;-;812.8;16.8;54;0.3;-0.7;2.4;91.5
GRH;20240127;93;180;-;815.1;0;314;-0.4;-4.6;2.7;48.1
GRH;20240128;95;179;-;815.3;0;323;2.1;-1.9;5.1;26.9
GRH;20240129;98;177;-;815.2;0;328;4.7;2.4;8.2;31.4
GRH;20240130;92;176;-;815.5;0;286;2.7;-0.3;5.5;40.3
GRH;20240131;65;176;-;815.6;0;101;0.3;-1.8;2.5;51.2
GRH;20240201;40;175;-;813.1;11.5;0;-1.6;-2.8;0;83.7
GRH;20240202;45;178;-;815;0.5;0;-0.6;-3.7;3.2;70.7
GRH;20240203;106;177;-;814.3;0;341;3;0.4;6.2;64
GRH;20240204;108;176;-;812.7;0;345;2.3;0;4.1;53.1
GRH;20240205;110;176;-;810.9;0;350;2.4;-1.2;5.3;47.5
GRH;20240206;81;175;-;805.7;0;274;0.8;-1.8;3.8;45.6
GRH;20240207;101;174;-;798.9;1.3;198;-1.7;-4.6;0.2;65.5
GRH;20240208;78;185;-;793.6;0.1;48;1;-1.9;4;77
GRH;20240209;53;181;-;785.9;2.7;0;-0.1;-0.9;0.9;84.7
GRH;20240210;67;189;-;780.3;8.5;0;0.1;-0.9;1;78.4
GRH;20240211;85;196;-;784.6;3.7;0;-3.4;-4.9;-0.9;95.1
GRH;20240212;102;197;-;792.3;4.2;124;-3.8;-6.3;-2.5;88
