station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
GSB;20240101;42;-;29;746.6;0;103;-8.1;-10.2;-6.1;60.3
GSB;20240102;59;-;96;746.1;14.9;1;-3.6;-6.5;-2.1;83.9
GSB;20240103;37;-;38;744.1;10.5;94;-4.2;-5.9;-1.9;75.3
GSB;20240104;44;-;67;745.5;0.2;39;-5;-7.2;-2.5;60
GSB;20240105;36;-;100;739.8;15.4;0;-5.5;-6.8;-2.7;81.1
GSB;20240106;59;-;100;737.7;0;0;-8.2;-10.2;-6.1;95.1
GSB;20240107;44;-;100;738.4;0.2;0;-9.9;-10.6;-9.2;95.6
GSB;20240108;34;-;100;743.1;2.9;0;-6.8;-10.9;-5.1;89.7
GSB;20240109;37;-;100;749;6.8;0;-6.8;-8.9;-5.7;90.2
GSB;20240110;40;-;100;751.3;5.1;0;-8.6;-9.6;-7.2;86.3
GSB;20240111;48;-;0;752.4;0;155;-6.6;-9.7;-3.7;56.8
GSB;20240112;48;-;0;753.8;0;171;-4.7;-6.1;-2.2;32.2
GSB;20240113;53;-;0;752.5;0;183;-3.6;-5.2;-1.1;14.9
GSB;20240114;67;-;63;745.3;1.7;93;-4.2;-6.6;-0.5;31.1
GSB;20240115;52;-;71;739.3;0.3;0;-6.4;-8.4;-4.6;70.2
GSB;20240116;68;-;46;741.7;9.3;127;-4.7;-8.1;-2.3;38.6
GSB;20240117;61;-;100;736.5;24.9;1;-2.1;-4.6;-0.1;95.5
GSB;20240118;59;-;96;735.8;14.3;0;-3.2;-8;-1.7;92.4
GSB;20240119;55;-;75;742.7;0;0;-12.3;-15.2;-7.5;82.1
GSB;20240120;65;-;0;753.1;0;245;-12.8;-15.9;-9.6;54.7
GSB;20240121;79;-;33;759.2;0;164;-4.7;-10.6;-1.3;22.3
GSB;20240122;71;-;67;758.6;10;30;-1.4;-6.3;1.4;59.2
GSB;20240123;57;-;42;761.3;0;147;-4.5;-7.8;0.9;75.7
GSB;20240124;90;-;88;764.5;0;157;0.8;-0.6;2.8;89.1
GSB;20240125;68;-;33;762;0;264;0.6;-2.9;3.7;53.9
GSB;20240126;63;-;58;761.6;0.1;64;-0.8;-4.4;2.1;83.1
GSB;20240127;78;-;0;762.9;0;273;-2;-4.8;0.6;32.9
GSB;20240128;77;-;4;764.1;0;262;-1.2;-3.8;2.7;31.8
GSB;20240129;86;-;33;764.2;0;286;2.6;1;4.6;32.8
GSB;20240130;87;-;33;764.1;0;248;0.1;-1.7;2.5;44
GSB;20240131;76;-;33;763.9;0;158;-1.8;-3.7;-0.3;57.9
GSB;20240201;72;-;100;760.9;0;0;-3.5;-5.5;0.4;78.4
GSB;20240202;82;-;4;763.1;0;49;-2.2;-6.5;1.1;55.2
GSB;20240203;111;-;0;763.5;0;361;1.1;-0.5;2.8;50
GSB;20240204;116;-;0;762.1;0;371;0.3;-1.8;1.6;46.3
GSB;20240205;118;-;4;760.1;0;372;1;-0.8;3.6;39.5
GSB;20240206;114;-;25;755.4;0;376;-0.3;-3;2.5;41.6
GSB;20240207;108;-;50;748.6;0.9;306;-2.7;-5.3;-0.3;56.2
GSB;20240208;93;-;63;743.7;25.6;112;-1.3;-4;1.7;85
GSB;20240209;49;-;100;735.1;44.5;0;-3.9;-4.2;-3;98.2
GSB;20240210;48;-;100;729.8;29.3;0;-4.1;-5.7;-3.1;99.3
GSB;20240211;117;-;92;734;0;35;-7;-8;-5.7;90.3
GSB;20240212;119;-;50;740.9;0;210;-7.2;-9.5;-4.7;79.5
GSB;20240213;147;-;0;751.4;0;403;-5.4;-8.9;-2.6;44.3
GSB;20240214;117;-;13;757.2;0;166;-1;-4.7;2.3;48.5
GSB;20240215;117;-;88;756.4;0;201;2.2;-0.6;4.4;44.1
GSB;20240216;115;-;54;755.3;0;152;0.5;-1.5;2;58.4
GSB;20240217;146;-;42;761.1;0;426;-1;-2.6;1.1;80.7
GSB;20240218;113;-;63;762.3;0.3;190;-0.1;-2.8;3;58.3
GSB;20240219;117;-;67;759.1;0.3;219;-3.9;-5.7;-2.4;89.3
GSB;20240220;118;-;50;757.6;0;129;-5.8;-6.9;-3.4;84.3
GSB;20240221;124;-;67;755;0.6;173;-1.1;-5;0.9;54.1
GSB;20240222;84;-;100;742.9;40.7;0;-3.8;-5.2;-1.3;89.4
GSB;20240223;189;-;38;734.3;0;448;-8.6;-10.3;-5.2;71.5
GSB;20240224;98;-;88;738;1.2;76;-8.9;-10.6;-7.6;79.7
GSB;20240225;108;-;96;739.5;28.1;53;-9.5;-12.3;-7.9;89.9
GSB;20240226;85;-;100;737.5;14.2;0;-7.4;-8.2;-6.6;90.9
GSB;20240227;113;-;100;741.9;6.1;6;-4.8;-7.6;-2.8;89.3
GSB;20240228;138;-;92;750.1;0;82;-2.3;-4.8;-0.7;85.1
GSB;20240229;79;-;96;748;4;0;-2.3;-3;-1.7;90.9
GSB;20240301;117;-;100;741.9;0.6;0;-4.2;-6.6;-2.8;93.5
GSB;20240302;80;-;71;740.6;20.9;0;-4.9;-7.3;-3.6;93.5
GSB;20240303;88;-;100;737.5;18.8;0;-5.3;-5.8;-4.4;98.7
GSB;20240304;196;-;46;743.4;0;517;-4;-6.2;-1.7;91.7
GSB;20240305;138;-;100;746.1;23.5;18;-6.7;-9.9;-4.2;96.5
GSB;20240306;162;-;100;747.9;2.1;0;-9.5;-11.3;-8.4;94.2
GSB;20240307;233;-;0;747.8;0;581;-7.4;-10.5;-4.3;71
GSB;20240308;86;-;100;743.9;3.6;0;-7.5;-8.4;-6.3;92.4
GSB;20240309;72;-;100;739.2;20.3;0;-6.8;-7.5;-6.1;95.6
GSB;20240310;96;-;100;734.4;25.7;0;-6.1;-8.3;-4.9;93.1
GSB;20240311;246;-;67;741;0;306;-7.3;-9.8;-5.5;88.5
GSB;20240312;209;-;100;749.3;0;110;-6.2;-7.4;-4.8;95
GSB;20240313;192;-;50;751.9;0;277;-3.3;-4.8;-1.6;90.5
GSB;20240314;219;-;0;752.5;0;447;-0.7;-3.7;1.6;69.8
GSB;20240315;217;-;79;752.5;3.1;399;-1.8;-3.1;0.2;85.9
