station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
GVE;20240101;46;0;79;967.6;2.5;110;5.5;2.8;8.4;78.4
GVE;20240102;17;0;92;963.8;14.6;0;6.5;4.1;9;85
GVE;20240103;44;0;67;961.2;5.3;96;10.5;7.3;13.9;64.6
GVE;20240104;53;0;92;963.8;1.1;125;7;2.3;11;79.5
GVE;20240105;9;0;100;957.2;5.1;0;5.3;2.9;6.7;92.7
GVE;20240106;32;0;92;959.7;0.4;34;4.8;2.9;6.7;78.5
GVE;20240107;33;0;96;962;0;0;4.5;1.8;6.6;74.4
GVE;20240108;15;0;88;968.3;0;0;-0.4;-1.5;1.9;69.9
GVE;20240109;11;0;96;972.9;13.4;0;-0.9;-1.6;0.1;83.9
GVE;20240110;25;15;96;974.4;0.7;0;-0.1;-1.6;1.2;92.7
GVE;20240111;12;9;100;976.5;0;0;-0.1;-0.8;0.4;84.2
GVE;20240112;24;7;92;978.6;0;0;-0.7;-1.6;0.3;80.5
GVE;20240113;22;6;96;975.6;0;0;-1.2;-2;-0.3;84.4
GVE;20240114;28;4;96;965.6;0;0;-1.2;-3.5;2.8;89.1
GVE;20240115;28;2;71;960.5;0;7;2.6;-1.4;5.3;82.4
GVE;20240116;61;0;88;960.6;6.4;140;2;-1.5;5.5;85.2
GVE;20240117;10;0;100;948.9;26.5;0;7.8;2.5;10;89.9
GVE;20240118;14;0;100;951.8;16;0;7.5;1.1;10.5;88.1
GVE;20240119;83;0;42;969.1;0;365;0.4;-1.2;2;69.2
GVE;20240120;94;0;17;978.8;0;477;-1.8;-6.6;1.1;68.5
GVE;20240121;75;0;63;982.4;0;285;-1.5;-6.6;6;78.7
GVE;20240122;29;0;88;979.1;10.8;2;4.6;-4.1;8.5;74.9
GVE;20240123;54;0;83;985.1;0.5;109;7.5;4.8;10.4;79.6
GVE;20240124;47;0;79;985.5;0;3;10.1;5.8;14.6;78.2
GVE;20240125;96;0;46;982.6;0;461;9.4;3.7;15.3;81.9
GVE;20240126;40;0;71;982.9;0;41;8.2;3.1;12.5;83.6
GVE;20240127;40;0;67;984.8;0;0;5.2;1.6;8.6;88.7
GVE;20240128;75;0;58;983.4;0;220;5.1;0.1;8.8;82.7
GVE;20240129;84;0;67;983.1;0;419;3.1;-1.4;9.9;88.5
GVE;20240130;82;0;79;984.5;0;234;3.5;-1.3;11.3;87.4
GVE;20240131;86;0;46;985.2;0;337;2.7;-2.1;9.1;85.1
GVE;20240201;23;0;88;984.2;0.1;1;3.9;-1.8;7.5;90.6
GVE;20240202;62;0;58;985.4;0;124;3.7;-0.4;9.1;92.9
GVE;20240203;109;0;17;982.9;0;512;4.1;-1.8;12.1;85.7
GVE;20240204;112;0;13;981.7;0;517;3.6;-1.9;10.4;85.2
GVE;20240205;114;0;17;978.6;0;522;3.3;-2.7;11.7;80.2
GVE;20240206;100;0;46;974;0;435;3.5;-2.7;10.6;78.8
GVE;20240207;82;0;83;968.1;3.9;154;5.4;-2.1;12.1;79.6
GVE;20240208;59;0;92;958.1;2.6;77;9.4;7.1;12.1;84.5
GVE;20240209;26;0;100;946.4;0.7;0;9.6;7.3;11.4;84
GVE;20240210;35;0;96;940.6;0.5;0;7.8;4.7;10.6;87.6
GVE;20240211;82;0;83;951.9;1.8;119;6.3;3.5;10.5;82.4
GVE;20240212;81;0;79;960.2;0;68;5.7;1.2;9.2;84.2
GVE;20240213;129;0;46;972.2;0;505;4.4;-1.9;11;78.8
GVE;20240214;102;0;63;975.6;0;223;6.7;1.9;13.4;72.5
GVE;20240215;88;0;83;971.5;0;127;6;0.2;12.3;77.2
GVE;20240216;72;0;88;971.7;0;44;9.2;4.7;15.9;77
GVE;20240217;82;0;71;981;0;34;9.4;3.1;14.4;81.2
GVE;20240218;86;0;92;982.7;2.1;66;10.8;8.1;14.7;75.8
GVE;20240219;111;0;88;981.9;0.1;266;9.6;6.3;13.3;77.7
GVE;20240220;134;0;71;980.8;0;382;8;2.2;11.9;71
GVE;20240221;78;0;96;973.3;6;20;7.7;0.4;12.8;68.2
GVE;20240222;13;0;100;957.9;16.5;0;8.7;6.5;11.3;82.9
GVE;20240223;119;0;29;952.5;0.1;326;6;0.3;10.2;68
GVE;20240224;126;0;42;956.9;0;291;5.6;0.9;9.2;64.1
GVE;20240225;109;0;71;955.5;9.5;242;6.6;1.4;10.9;63.9
GVE;20240226;95;0;75;951.5;0;134;7.3;2.2;12.3;84
GVE;20240227;63;0;92;959.8;0;18;7.5;1.9;10.3;72.7
GVE;20240228;62;0;88;969.3;0;7;8.9;7.7;11.1;67.2
GVE;20240229;149;0;46;964.4;1.6;430;8.8;6.2;12.9;70.6
GVE;20240301;114;0;71;959.9;0;213;7.8;3;11.6;72.7
GVE;20240302;94;0;92;954.8;0;168;7.4;2.5;11.1;72.7
GVE;20240303;75;0;92;951.5;0;45;7.2;4.4;12.2;76.9
GVE;20240304;78;0;92;962.4;0;14;7;4.6;9.6;73.5
GVE;20240305;95;0;92;968.1;0.4;76;6.5;3.8;10.8;72.4
GVE;20240306;119;0;79;972;0;198;5.3;1.5;9.9;71.9
GVE;20240307;183;0;38;968.1;0;512;5.3;0.4;10.6;71.6
GVE;20240308;58;0;96;960.1;0;1;3.8;-1.5;6.7;81.4
