station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
JUN;20240101;79;-;46;647.2;-;332;-15.8;-17.3;-11.9;73.6
JUN;20240102;38;-;100;648.1;-;0;-8.7;-11.7;-6.5;87.6
JUN;20240103;86;-;42;644.9;-;424;-11.6;-12.9;-8.6;73
JUN;20240104;37;-;71;646.7;-;0;-13;-15.5;-10.5;81.1
JUN;20240105;36;-;100;643;-;0;-11.9;-14.4;-10.8;87.5
JUN;20240106;75;-;100;640.7;-;5;-15.4;-17.7;-12.2;91.3
JUN;20240107;65;-;100;641.2;-;47;-15.1;-17.9;-11.9;83.7
JUN;20240108;43;-;71;645.8;-;0;-12.3;-14.5;-11.1;93.4
JUN;20240109;34;-;92;650.4;-;0;-13.8;-15.9;-11.8;91.9
JUN;20240110;73;-;58;652.1;-;344;-14.8;-17.3;-12.5;81.6
JUN;20240111;96;-;25;654.8;-;445;-10.6;-13.9;-7.9;43.5
JUN;20240112;100;-;4;656.5;-;446;-8.6;-11.3;-6.1;27.8
JUN;20240113;102;-;4;654.7;-;448;-11.1;-13;-8.9;22.7
JUN;20240114;58;-;71;647.2;-;187;-11.6;-13;-9.7;54.2
JUN;20240115;33;-;88;639.9;-;28;-15.6;-18.5;-11.6;72.8
JUN;20240116;75;-;75;643.7;-;74;-12.8;-17;-8.7;44.7
JUN;20240117;29;-;100;640.7;-;0;-6.6;-9.6;-5;97.1
JUN;20240118;36;-;100;639.2;-;0;-10.2;-15.2;-8.5;94.7
JUN;20240119;103;-;38;643.2;-;238;-20.3;-23;-15.4;68.1
JUN;20240120;108;-;4;654;-;462;-13.4;-19.9;-9.9;31.5
JUN;20240121;79;-;42;660.9;-;148;-9.5;-11.7;-5.2;33.7
JUN;20240122;50;-;83;659.8;-;2;-7;-13.7;-4.2;71.8
JUN;20240123;70;-;96;660.6;-;129;-11.2;-16.1;-4.4;80.6
JUN;20240124;47;-;100;665.6;-;0;-5.9;-8;-4;92.8
JUN;20240125;111;-;71;663.3;-;423;-8.2;-9.4;-6;70.4
JUN;20240126;46;-;83;663.2;-;2;-7.3;-12.9;-5.2;77.7
JUN;20240127;119;-;17;664.4;-;473;-11;-13.5;-7.6;37
JUN;20240128;116;-;8;666.9;-;472;-5.7;-7.7;-3.7;34.4
JUN;20240129;113;-;54;667.8;-;451;-2.6;-4.5;-0.7;36.7
JUN;20240130;97;-;88;666.6;-;293;-5;-7.8;-2;50.9
JUN;20240131;96;-;50;665.3;-;350;-8.8;-10.3;-7;71.3
JUN;20240201;47;-;71;662.2;-;0;-10.4;-12.4;-6.8;61
JUN;20240202;51;-;100;664.4;-;0;-8.4;-12.2;-6.1;71.4
JUN;20240203;129;-;13;665.5;-;468;-7;-8.3;-6.1;55.4
JUN;20240204;136;-;42;664;-;410;-8.1;-9.8;-7.2;68.2
JUN;20240205;130;-;33;662.7;-;490;-6.9;-7.9;-5.8;47
JUN;20240206;116;-;54;657.6;-;435;-8.4;-10.1;-7.2;62.3
JUN;20240207;101;-;83;650.2;-;174;-10.1;-11.8;-7.5;71.5
JUN;20240208;75;-;96;646.9;-;15;-7.5;-9.6;-6;93.8
JUN;20240209;42;-;100;639.3;-;0;-10.2;-11.1;-8.4;93.3
JUN;20240210;79;-;100;634.6;-;0;-10.4;-11.2;-9.2;94.5
JUN;20240211;119;-;100;636.9;-;42;-14.2;-15.5;-10.4;94.5
JUN;20240212;137;-;92;643.3;-;335;-14.7;-16;-12.6;71.2
JUN;20240213;152;-;25;653;-;501;-12.9;-16.2;-10.9;47
JUN;20240214;104;-;96;659.2;-;73;-8.9;-12;-5.7;73.7
JUN;20240215;99;-;100;660.3;-;90;-3.7;-6.1;-1.8;59.6
JUN;20240216;121;-;100;659.4;-;278;-4;-7.2;-1.6;72.5
JUN;20240217;156;-;42;663.8;-;487;-5.9;-7.8;-4.1;47.2
JUN;20240218;126;-;83;664.4;-;279;-6.3;-9.7;-4.5;31.2
JUN;20240219;115;-;100;659.6;-;103;-11.8;-13.6;-9.1;94.1
JUN;20240220;157;-;75;658.2;-;336;-13.5;-15.6;-10.1;81.2
JUN;20240221;137;-;96;656.9;-;253;-8.8;-10.6;-5.9;81.6
JUN;20240222;51;-;100;645.8;-;0;-7.2;-12.7;-4.7;92.7
JUN;20240223;159;-;50;636.7;-;355;-15.6;-17.6;-12.3;66.8
JUN;20240224;157;-;92;639.4;-;166;-17;-18.2;-15.1;82.2
JUN;20240225;171;-;67;641.1;-;353;-16.9;-19;-15.4;81.4
JUN;20240226;98;-;100;640.5;-;1;-13.9;-15.4;-11.8;90.4
JUN;20240227;88;-;100;645.6;-;0;-10.5;-13;-8.8;92.7
JUN;20240228;110;-;83;653.2;-;0;-9;-11.3;-6.7;87.2
JUN;20240229;105;-;100;650.8;-;6;-9.5;-11;-8;94.1
JUN;20240301;110;-;100;645.1;-;0;-10.1;-11.4;-9.1;93.1
JUN;20240302;108;-;100;643.2;-;2;-10.7;-12.1;-9.4;92.8
JUN;20240303;124;-;100;640.1;-;0;-11.9;-13.2;-10.8;93.4
JUN;20240304;187;-;42;646.7;-;371;-10.2;-12.2;-8.3;82.2
JUN;20240305;130;-;100;647.8;-;0;-13.1;-16.4;-9.5;86.6
JUN;20240306;175;-;96;648.7;-;144;-15.7;-17.1;-13.5;88.2
JUN;20240307;217;-;0;649.6;-;568;-12.3;-14.6;-10.1;66.7
