station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
LUG;20240101;59;0;33;978.4;0;250;4.8;2.3;8.9;83.8
LUG;20240102;60;0;83;978.9;0;221;5.2;2.1;7.9;70.5
LUG;20240103;77;0;46;973.4;0;403;6;3.6;8.8;76.7
LUG;20240104;79;0;13;974.7;0;405;6;2.9;10.7;74.3
LUG;20240105;7;0;92;972.5;40.3;0;4.7;3.6;6.9;85.2
LUG;20240106;26;0;100;964.8;0;0;7.1;3.7;11.9;76.3
LUG;20240107;33;0;100;966.7;0;0;10.8;7.4;12.5;35.3
LUG;20240108;20;0;100;976;0;0;7.6;6.6;8.8;70
LUG;20240109;10;0;100;986.9;1.1;0;5.8;3.3;7.6;76.1
LUG;20240110;24;0;100;991.1;0;0;4.4;3.2;5.3;78.7
LUG;20240111;81;0;33;988.2;0;419;4.2;1.5;6.8;78
LUG;20240112;84;0;0;987.6;0;420;3.4;0.5;8.7;78
LUG;20240113;86;0;0;986;0;422;2.7;-0.3;7.4;76.5
LUG;20240114;43;0;58;976.7;0;67;3;-0.5;6;69.4
LUG;20240115;86;0;8;966.8;0;425;4.4;1.3;8;74.5
LUG;20240116;81;0;8;973.9;0;408;3.9;0.6;8.3;66.2
LUG;20240117;13;0;88;969.3;5.8;0;3.6;1.6;4.7;84.3
LUG;20240118;50;0;75;963.2;0;67;5;3.4;7;90.3
LUG;20240119;96;0;4;975.1;0;407;6.1;1;9.8;49.5
LUG;20240120;99;0;0;993.7;0;435;1.7;-1.5;6.6;51.1
LUG;20240121;73;0;58;997.4;0;261;1;-1.9;5.2;52.6
LUG;20240122;51;0;46;994;0;54;2.4;-1.3;6.2;50.4
LUG;20240123;97;0;0;992.7;0;436;6.1;0.7;16.6;56.2
LUG;20240124;96;0;25;992.6;0;436;5.3;2.1;9.1;70.8
LUG;20240125;99;0;13;988.9;0;435;7.5;3.9;15.8;74.1
LUG;20240126;83;0;38;990.3;0;406;6.4;3.4;11;79.1
LUG;20240127;108;0;4;993.9;0;452;9.8;5.4;15.5;49.2
LUG;20240128;100;0;0;1000.4;0;447;6.3;3.2;12;58.6
LUG;20240129;97;0;25;1000.1;0;445;4.9;2.1;8.7;66.4
LUG;20240130;90;0;50;999.6;0;339;5;1.5;8.7;68.2
LUG;20240131;86;0;58;997.3;0;225;5.1;2.2;8.5;69.8
LUG;20240201;67;0;4;991.9;0;236;5.4;2.5;9.8;71.6
LUG;20240202;97;0;38;992.7;0;331;7.6;3.4;12.3;62.5
LUG;20240203;118;0;21;990.1;0;482;8.6;5.4;13.2;69.5
LUG;20240204;114;0;25;988.2;0;464;8.5;5.3;13.8;68.4
LUG;20240205;118;0;13;987.4;0;490;9.2;5.4;16.6;68.6
LUG;20240206;54;0;100;986.1;0;0;8.7;6.9;11.1;84
LUG;20240207;70;0;88;978.7;0;44;9;6.2;12;77.8
LUG;20240208;79;0;58;974.1;3.7;177;7.9;4.6;11.9;78.7
LUG;20240209;8;0;100;965.9;35.9;0;8.3;7.8;9.4;96.9
LUG;20240210;17;0;100;959.1;27.3;0;7.4;6.8;8;95.5
LUG;20240211;57;0;88;959.4;1.5;105;7.4;5;10.3;90.2
LUG;20240212;106;0;83;970.3;0;290;7.3;3.3;11.4;77
LUG;20240213;140;0;8;982.5;0;527;7.9;4.5;12.2;66.9
LUG;20240214;137;0;33;988.7;0;512;7.5;3.9;11.7;67.8
LUG;20240215;85;0;71;987.8;0;156;7.2;3.8;11;73.6
LUG;20240216;74;0;79;986.3;0;95;8.1;5.6;12.6;78
LUG;20240217;133;0;29;991.5;0;527;8.5;5.6;13.1;79.2
LUG;20240218;102;0;67;994;0;268;9.6;5.7;14.9;75.9
LUG;20240219;145;0;21;988.6;0;486;12.1;6.2;20.4;55.5
LUG;20240220;156;0;8;989.2;0;523;12.4;7.6;18.7;40.2
LUG;20240221;137;0;88;987.8;0.6;438;9.3;5.3;13.4;56
LUG;20240222;15;0;100;975.2;38.8;0;8.1;7;9.5;90.6
LUG;20240223;56;0;79;963.6;4.3;118;6.2;3.8;9.2;90.2
LUG;20240224;49;0;88;971.6;12.6;7;5.2;3.7;7.5;86.1
LUG;20240225;78;0;83;974.4;7.5;84;6.4;5;8.5;86.6
LUG;20240226;14;0;100;971.9;30.1;0;3.9;2;6.1;94.5
LUG;20240227;20;0;100;973.9;18.6;0;5.9;3.6;7.6;96.3
LUG;20240228;114;0;92;981.5;1;290;9.3;7.2;12;90.6
LUG;20240229;57;0;96;979;11.2;8;9.9;8.3;13.1;89
LUG;20240301;19;0;100;972.1;20.2;0;8.2;7.1;9.6;94.4
LUG;20240302;30;0;100;973.3;10.7;0;7.9;7;9;95.7
LUG;20240303;42;0;100;970.8;2.7;0;8.8;7.7;10.8;89.1
LUG;20240304;133;0;88;972.9;0;344;9.9;7.6;13.7;79.9
LUG;20240305;46;0;96;976.5;8.9;0;8.4;6.1;10.9;84
LUG;20240306;172;0;79;979.2;0;455;8.8;6;12.4;73
LUG;20240307;144;0;25;980.9;0.3;428;8.4;4.1;13.3;69.4
LUG;20240308;59;0;100;979.1;6.8;31;8.6;6.7;10.8;80.9
LUG;20240309;32;0;100;975.1;10.9;0;6.6;5.5;7.5;92.7
LUG;20240310;14;0;100;967;41.9;0;6.1;4.3;7.2;95.1
LUG;20240311;192;0;38;971;0;521;8.6;5.4;13.4;77.6
LUG;20240312;209;0;17;977.8;0;620;11.7;5.4;18.6;47.6
LUG;20240313;209;0;29;981.2;0;619;11.2;7.2;16.5;60.2
LUG;20240314;184;0;67;982.3;0;569;10.8;6.8;15.9;72.2
LUG;20240315;149;0;92;982;0;257;11.2;7.8;14.1;79.2
LUG;20240316;205;0;42;983.5;0;614;12.9;8.8;18.6;66.9
LUG;20240317;132;0;83;985.6;0;259;12;8.1;17.1;60.9
LUG;20240318;154;0;58;979.7;0;316;12.1;9.4;17.1;72.2
LUG;20240319;217;0;67;981.9;0;639;12.3;7.1;16.6;70.8
LUG;20240320;134;0;71;986.7;0.2;253;12.8;10.6;16.1;77.7
LUG;20240321;203;0;50;985.5;0;569;14.7;9.2;23.3;58.9
LUG;20240322;208;0;46;984.1;0;584;13.3;9;18.1;63.7
LUG;20240323;172;0;58;975.4;0.6;383;13;9.7;18.6;56
LUG;20240324;184;0;21;973.2;0;477;10.7;6.3;15.9;31.5
LUG;20240325;221;0;58;972.8;0;518;10.1;4.8;15.2;39.5
LUG;20240326;45;0;100;967.5;21.3;9;8.3;6.1;10.5;67.2
LUG;20240327;23;0;100;959.5;33.6;0;6.3;4.6;7.6;94.6
LUG;20240328;50;0;92;966.8;6.4;4;6.9;5.4;8.8;89.9
LUG;20240329;21;0;100;976.6;13.1;0;7.5;5.1;9;94.3
LUG;20240330;70;0;100;971.5;19.9;0;10.9;7.3;15.4;86.7
LUG;20240331;27;0;100;970.3;34.4;0;10.5;8;15;89
LUG;20240401;28;0;96;967.9;9.3;34;10.2;5;14.6;83
LUG;20240402;265;0;38;977.8;5.3;641;10.6;4.6;18.1;66.8
LUG;20240403;70;0;92;981.1;8.6;109;9.4;7.3;11.9;87.9
LUG;20240404;233;0;71;984.1;0;621;11.3;6.4;16.3;77.1
LUG;20240405;160;0;79;987.6;0;332;12.9;9.2;17.1;79.8
LUG;20240406;243;0;54;987.9;0;569;14.6;10;20.7;77.1
LUG;20240407;175;0;79;985.7;0;185;15.1;11.2;20.7;76.9
LUG;20240408;234;0;42;982.2;0;600;16.7;11.9;23.6;66.9
LUG;20240409;26;0;100;980.9;18.6;0;12.8;8.3;16.1;85.5
LUG;20240410;45;0;100;985.6;1.3;3;11.1;8.5;13.2;66.4
LUG;20240411;261;0;17;992.7;0;694;14.5;9.4;20.5;67.5
LUG;20240412;261;0;50;993.6;0;666;16.5;10.9;24;69.1
LUG;20240413;262;0;21;991.7;0;710;17.1;11.9;25;69.7
LUG;20240414;278;0;33;987;0;692;18.3;13;25.3;69.8
LUG;20240415;169;0;71;976.7;0;245;16.6;13.8;20;75.4
LUG;20240416;296;0;8;968.7;0;707;15.1;9.6;19.8;40.8
LUG;20240417;264;0;38;970.7;0;609;12.5;6.3;18.4;36.4
LUG;20240418;210;0;83;975.3;0;258;11.7;8.5;16.3;33.4
LUG;20240419;267;0;75;978.1;0;554;12.2;7.8;16.3;38.1
LUG;20240420;312;0;29;977;0;725;13;8.6;17.2;27.5
LUG;20240421;173;0;83;978.2;0;230;10.4;6.8;14.3;39
LUG;20240422;77;0;100;977.2;0;0;8.3;6.8;11.1;56.5
LUG;20240423;166;0;100;972.8;0;128;9;6.1;13.4;65.7
LUG;20240424;273;0;50;970.5;0;609;12.1;6.1;18;31.4
LUG;20240425;264;0;50;972.8;0;512;9.6;4.6;12.7;55.6
LUG;20240426;74;0;100;977;2.4;6;9.7;8.3;11.9;76.4
LUG;20240427;63;0;100;981.6;16.9;2;9.8;8.1;11.4;90.8
LUG;20240428;71;0;96;985.7;8;0;10.6;9.1;12.8;91.5
LUG;20240429;252;0;75;986.6;0;461;14.6;9.2;21.1;74
LUG;20240430;264;0;71;982.7;1.7;609;16.8;11.3;23.7;66.8
LUG;20240501;102;0;100;974.4;20.2;98;14.4;12.3;17.7;89.3
LUG;20240502;86;0;96;971.2;27.3;44;12.1;10.4;15.8;93.1
LUG;20240503;209;0;92;976.4;17.5;284;12.9;10.1;17.5;86
LUG;20240504;191;0;75;981.1;0;169;13.4;9.7;18.7;83.3
LUG;20240505;259;0;79;979.8;0.3;402;15.8;11.4;20.3;74.5
LUG;20240506;31;0;100;979.1;4.1;0;13;11.4;15.2;89.1
LUG;20240507;62;0;100;978.9;6.2;0;12.4;11.3;13.9;91.9
LUG;20240508;274;0;75;982.2;0;474;14.8;11.5;19.7;84.4
LUG;20240509;320;0;33;984.4;0;652;16.9;12;22.1;70.3
LUG;20240510;289;0;58;984.4;0;566;18.3;15.1;22.6;70.7
LUG;20240511;294;0;25;983.6;0;600;18.9;15;23.7;69.5
LUG;20240512;227;0;96;982.2;27.2;263;18.5;14.7;23.6;75.7
LUG;20240513;172;0;92;980.6;1.7;53;16.2;13.4;19.7;85
LUG;20240514;94;0;96;976.3;62.1;14;15.7;14;18.4;91.1
LUG;20240515;34;0;100;974.8;69.7;0;13.1;11.9;14.3;97
LUG;20240516;55;0;100;972.6;14;2;12.2;10.9;14.8;94.1
