station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
LUZ;20240101;66;0;-;961.4;0;251;3.5;-0.2;8.4;85.1
LUZ;20240102;36;0;-;955.5;2.1;31;4.7;0.2;8.4;84
LUZ;20240103;60;0;-;952.8;7.5;298;9.8;4.6;15.3;60.2
LUZ;20240104;64;0;-;957.2;0;305;7.1;2.4;11.4;69.5
LUZ;20240105;14;0;-;952.5;14.3;0;4.8;2.6;6.2;86.7
LUZ;20240106;8;0;-;955.3;14.7;0;3.1;1.6;4.2;92
LUZ;20240107;12;0;-;959.1;3.3;0;1.7;-0.4;3;91.4
LUZ;20240108;4;1;-;964.9;0;0;-1.9;-2.9;-0.4;81.1
LUZ;20240109;11;1;-;968.8;0.5;0;-2.5;-3.4;-1.6;80.9
LUZ;20240110;18;1;-;970.4;0;0;-1.9;-3.4;-0.8;88
LUZ;20240111;8;1;-;972.4;0;0;-1.4;-2.3;-0.7;89.2
LUZ;20240112;14;1;-;974.5;0;0;-1.5;-2.2;-0.6;84.7
LUZ;20240113;28;1;-;970.1;0;0;-2.2;-4.3;-1.2;86.4
LUZ;20240114;56;0;-;959.8;0.8;192;-2.6;-5.8;0.3;86.4
LUZ;20240115;6;0;-;955;0;0;0.7;-0.1;2.2;84
LUZ;20240116;63;0;-;956.1;3.6;171;-0.4;-3.8;1.8;77
LUZ;20240117;35;0;-;943.6;9.5;5;3.6;-0.3;7.2;92.1
LUZ;20240118;34;0;-;945.7;20.1;4;5.1;-0.6;11.6;90.4
LUZ;20240119;62;11;-;966.4;0;123;-2;-5.8;-0.4;85.1
LUZ;20240120;55;9;-;974.9;0;64;-5.7;-7.7;-3;85.9
LUZ;20240121;68;6;-;976.9;0;158;-3.7;-8.1;1;87.2
LUZ;20240122;37;5;-;971.7;6.6;26;0.7;-6.1;7.7;87.9
LUZ;20240123;56;0;-;978.1;0.3;138;6.8;3.8;9.9;71.7
LUZ;20240124;35;0;-;977.1;0.3;11;11.1;4.9;16.7;69.1
LUZ;20240125;49;0;-;976.4;0;52;12.1;9.7;14.9;73.6
LUZ;20240126;30;0;-;977.2;6.2;76;8.3;5.7;11.1;84.8
LUZ;20240127;83;0;-;980.5;0;238;5.9;2.3;8.6;85.1
LUZ;20240128;70;0;-;978.7;0;198;3;-0.5;6.1;86.1
LUZ;20240129;88;0;-;978;0;308;2;-1.6;6.8;90.3
LUZ;20240130;91;0;-;979.3;0;343;4.1;-0.5;10.3;79
LUZ;20240131;82;0;-;979.9;0;332;4;0.3;10.3;78.4
LUZ;20240201;17;0;-;978.7;5.7;0;4.8;0.4;7;88.6
LUZ;20240202;49;0;-;980.2;0;14;6.1;2.8;9.1;89.7
LUZ;20240203;109;0;-;977.3;0;490;5.2;0.6;11.7;82.1
LUZ;20240204;60;0;-;976.4;0;130;3.6;1.4;6.8;92
LUZ;20240205;55;0;-;973.3;0;29;2;-0.2;4.6;96
LUZ;20240206;90;0;-;968.6;0;346;1.8;-1.5;6.6;89.6
LUZ;20240207;76;0;-;960.8;3.4;151;5.2;-0.9;10.9;78.4
LUZ;20240208;72;0;-;951.9;0.4;116;8.1;5.4;12.3;86.5
LUZ;20240209;31;0;-;941.5;0.1;0;8.5;6.3;10.6;89
LUZ;20240210;69;0;-;935.2;0.1;95;8;4.8;10.9;85.4
LUZ;20240211;79;0;-;945.2;0;141;7.4;5;10.3;69.8
LUZ;20240212;49;0;-;955.1;0.9;56;6.3;4;9.1;80.1
LUZ;20240213;131;0;-;967.1;0;533;5.7;2;10.9;76.7
LUZ;20240214;102;0;-;970.3;0;247;7.3;1.5;13.3;66.4
LUZ;20240215;90;0;-;966.4;0;256;7;2;12.3;76.4
LUZ;20240216;113;0;-;966.6;0;317;10.3;4.7;16.7;72.8
LUZ;20240217;26;0;-;976.7;0.3;0;10.1;8.6;11.4;87.9
LUZ;20240218;63;0;-;977.1;2.2;3;9.7;8.1;12.3;83.9
LUZ;20240219;65;0;-;976.2;8.2;58;8.6;6.8;12;83.6
LUZ;20240220;82;0;-;976.1;1.3;103;6.4;2.1;9.5;81
LUZ;20240221;120;0;-;967.5;0.4;354;6.9;1.8;11.6;72.8
LUZ;20240222;29;0;-;950.5;15;0;8;6.3;9.5;86.7
LUZ;20240223;85;0;-;946.9;0;122;5.5;0.5;9.2;67.6
LUZ;20240224;103;0;-;951.8;0;187;4.7;0.1;9.5;73.3
LUZ;20240225;156;0;-;950.6;0;492;5;-0.7;10.6;68.7
LUZ;20240226;63;0;-;947.2;0;69;6.8;3.9;10.1;72.4
LUZ;20240227;27;0;-;956.7;0;0;6.9;4.5;8.8;75.1
LUZ;20240228;16;0;-;965.6;0;0;7;5.9;7.9;79.8
LUZ;20240229;96;0;-;959.8;1.8;219;6.7;3.7;10.4;80
LUZ;20240301;47;0;-;955;5.4;0;6.3;4;8.2;89.2
LUZ;20240302;151;0;-;950.4;0;445;6.7;1.8;11.9;82.8
LUZ;20240303;121;0;-;945.7;0;251;9.8;4.5;17.3;62.2
LUZ;20240304;52;0;-;957.2;0;0;7.7;6.3;9.4;76.6
LUZ;20240305;38;0;-;962.4;36.6;0;5.7;1.4;7.9;84.5
LUZ;20240306;49;3;-;967.6;11.5;0;1.8;0.1;3.5;93.4
LUZ;20240307;51;0;-;964.4;0;37;3.3;-0.1;5.9;85.1
LUZ;20240308;95;0;-;955.8;0;153;2.9;-0.9;7.2;85
LUZ;20240309;122;0;-;947.2;0;329;8.5;0.5;14.3;57.8
LUZ;20240310;44;0;-;943.2;10.8;16;9.2;3.7;15.4;61.6
LUZ;20240311;111;0;-;954.7;0.4;171;6.4;1.3;11.4;77.7
LUZ;20240312;61;0;-;965.2;6.7;25;6.8;3.4;10.8;80
LUZ;20240313;67;0;-;965.9;6.1;36;7;4.2;10;90.6
