station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
LUZ;18800713;-;-;-;970.6;2.6;-;17.1;-;-;-
LUZ;18800714;-;-;-;968.9;0;-;18.3;-;-;-
LUZ;18800715;-;-;-;968.4;0;-;20.9;-;-;-
LUZ;18800716;-;-;-;-;0;-;22.9;-;-;-
LUZ;18800717;-;-;-;968.3;0;-;23.8;-;-;-
LUZ;18800718;-;-;-;969.4;0;-;22.7;-;-;-
LUZ;18800719;-;-;-;970.3;2.3;-;23.3;-;-;-
LUZ;18800720;-;-;-;970.5;25.7;-;21.7;-;-;-
LUZ;18800721;-;-;-;968.3;22.4;-;19.5;-;-;-
LUZ;18800722;-;-;-;965.2;1.6;-;18;-;-;-
LUZ;18800723;-;-;-;967.1;0;-;17.5;-;-;-
LUZ;18800724;-;-;-;966.4;0;-;18.8;-;-;-
LUZ;18800725;-;-;-;966.6;1.5;-;20.5;-;-;-
LUZ;18800726;-;-;-;962.2;1.9;-;21;-;-;-
LUZ;18800727;-;-;-;966.5;0;-;19.1;-;-;-
LUZ;18800728;-;-;-;964.8;0;-;19.3;-;-;-
LUZ;18800729;-;-;-;962.2;5.7;-;21.9;-;-;-
LUZ;18800730;-;-;-;964.2;24.7;-;17.1;-;-;-
LUZ;18800731;-;-;-;964.2;0.1;-;17.3;-;-;-
LUZ;18800801;-;-;-;958.9;14;-;15.9;-;-;-
LUZ;18800802;-;-;-;957.6;4.8;-;15.1;-;-;-
LUZ;18800803;-;-;-;961.2;34;-;11.3;-;-;-
LUZ;18800804;-;-;-;965.6;0;-;13.4;-;-;-
LUZ;18800805;-;-;-;963.3;0;-;15.1;-;-;-
LUZ;18800806;-;-;-;959.5;20.6;-;16.9;-;-;-
LUZ;18800807;-;-;-;958.6;4.1;-;15;-;-;-
LUZ;18800808;-;-;-;959.9;1.3;-;14.4;-;-;-
LUZ;18800809;-;-;-;969;3.1;-;13.7;-;-;-
LUZ;18800810;-;-;-;973.7;0;-;15.6;-;-;-
LUZ;18800811;-;-;-;967.4;0;-;14.6;-;-;-
LUZ;18800812;-;-;-;964.5;0;-;16.5;-;-;-
LUZ;18800813;-;-;-;963.5;4.6;-;17.1;-;-;-
LUZ;18800814;-;-;-;962.8;4.2;-;17.8;-;-;-
LUZ;18800815;-;-;-;963.5;0;-;18.5;-;-;-
LUZ;18800816;-;-;-;963.9;0;-;18.3;-;-;-
LUZ;18800817;-;-;-;965.2;1.2;-;18.5;-;-;-
LUZ;18800818;-;-;-;966.1;12.2;-;17;-;-;-
LUZ;18800819;-;-;-;965.5;0;-;17.5;-;-;-
LUZ;18800820;-;-;-;965.9;11;-;18.1;-;-;-
LUZ;18800821;-;-;-;965.6;9.2;-;18.7;-;-;-
LUZ;18800822;-;-;-;964.2;54.4;-;16.6;-;-;-
LUZ;18800823;-;-;-;965.2;0;-;17.5;-;-;-
LUZ;18800824;-;-;-;965.8;8;-;16.6;-;-;-
LUZ;18800825;-;-;-;966.9;0;-;17.3;-;-;-
LUZ;18800826;-;-;-;965;31.5;-;17.7;-;-;-
LUZ;18800827;-;-;-;969.3;0;-;16.9;-;-;-
LUZ;18800828;-;-;-;969.4;0;-;16.3;-;-;-
LUZ;18800829;-;-;-;963.7;0;-;16.3;-;-;-
LUZ;18800830;-;-;-;961.8;0;-;15.4;-;-;-
LUZ;18800831;-;-;-;967.7;0;-;17.5;-;-;-
LUZ;18800901;-;-;-;974.2;0;-;17.9;-;-;-
LUZ;18800902;-;-;-;976.5;0;-;17.9;-;-;-
LUZ;18800903;-;-;-;975.2;0;-;18.3;-;-;-
LUZ;18800904;-;-;-;973.7;0;-;19;-;-;-
LUZ;18800905;-;-;-;974.5;5.5;-;20;-;-;-
LUZ;18800906;-;-;-;973.2;0;-;18.6;-;-;-
LUZ;18800907;-;-;-;968.8;5.2;-;19.1;-;-;-
LUZ;18800908;-;-;-;966.2;17.3;-;17.9;-;-;-
LUZ;18800909;-;-;-;965.4;0;-;17.7;-;-;-
LUZ;18800910;-;-;-;964.6;0.1;-;17;-;-;-
LUZ;18800911;-;-;-;957.8;0;-;19.5;-;-;-
LUZ;18800912;-;-;-;961.4;8.4;-;16.5;-;-;-
LUZ;18800913;-;-;-;962.6;2.5;-;14.3;-;-;-
LUZ;18800914;-;-;-;963.6;0;-;14.1;-;-;-
LUZ;18800915;-;-;-;957.4;12.6;-;13.4;-;-;-
LUZ;18800916;-;-;-;957.3;0;-;12.1;-;-;-
LUZ;18800917;-;-;-;962.2;1;-;11.4;-;-;-
LUZ;18800918;-;-;-;969.2;1.5;-;12.5;-;-;-
LUZ;18800919;-;-;-;965.1;13;-;13.1;-;-;-
LUZ;18800920;-;-;-;963.1;6.9;-;10.4;-;-;-
LUZ;18800921;-;-;-;967.6;15.2;-;10;-;-;-
LUZ;18800922;-;-;-;970.2;0;-;13.3;-;-;-
LUZ;18800923;-;-;-;969.3;0;-;14.4;-;-;-
LUZ;18800924;-;-;-;967.8;0;-;13.5;-;-;-
LUZ;18800925;-;-;-;967.7;0;-;12.6;-;-;-
LUZ;18800926;-;-;-;969.5;0;-;11.6;-;-;-
LUZ;18800927;-;-;-;971.3;0;-;11.4;-;-;-
LUZ;18800928;-;-;-;974.9;0;-;10.2;-;-;-
LUZ;18800929;-;-;-;975.7;0;-;10.7;-;-;-
LUZ;18800930;-;-;-;975.9;0;-;8.9;-;-;-
LUZ;18801001;-;-;-;973.6;0;-;9.1;-;-;-
LUZ;18801002;-;-;-;966.2;0;-;10;-;-;-
LUZ;18801003;-;-;-;960.5;28.3;-;10.8;-;-;-
LUZ;18801004;-;-;-;959.9;4;-;9.7;-;-;-
LUZ;18801005;-;-;-;957.9;3.5;-;13.3;-;-;-
LUZ;18801006;-;-;-;955.9;0.2;-;14.8;-;-;-
LUZ;18801007;-;-;-;957.8;0.7;-;15;-;-;-
LUZ;18801008;-;-;-;961.1;6;-;10;-;-;-
LUZ;18801009;-;-;-;963.6;0;-;8.8;-;-;-
LUZ;18801010;-;-;-;967.6;0.2;-;9.5;-;-;-
LUZ;18801011;-;-;-;966.2;4.5;-;7.8;-;-;-
LUZ;18801012;-;-;-;961.4;8.4;-;8.1;-;-;-
LUZ;18801013;-;-;-;966.6;0;-;8.1;-;-;-
LUZ;18801014;-;-;-;973.1;0;-;8.1;-;-;-
LUZ;18801015;-;-;-;971;0;-;7;-;-;-
LUZ;18801016;-;-;-;967;0.1;-;7.6;-;-;-
LUZ;18801017;-;-;-;966.9;12.1;-;10.8;-;-;-
LUZ;18801018;-;-;-;965.2;4.6;-;11.7;-;-;-
LUZ;18801019;-;-;-;963.6;0.8;-;9.4;-;-;-
LUZ;18801020;-;-;-;955.4;5.1;-;10.4;-;-;-
LUZ;18801021;-;-;-;955.6;30.6;-;7.5;-;-;-
LUZ;18801022;-;-;-;954.7;24.1;-;9.1;-;-;-
LUZ;18801023;-;-;-;958.3;12.6;-;13;-;-;-
LUZ;18801024;-;-;-;965.7;12.1;-;4.1;-;-;-
LUZ;18801025;-;-;-;969.7;0;-;2.9;-;-;-
LUZ;18801026;-;-;-;961.9;15.4;-;5.5;-;-;-
LUZ;18801027;-;-;-;956.8;30.9;-;10.9;-;-;-
LUZ;18801028;-;-;-;951.8;4.2;-;12.1;-;-;-
LUZ;18801029;-;-;-;953.7;4;-;8.1;-;-;-
LUZ;18801030;-;-;-;965.5;0;-;3.2;-;-;-
LUZ;18801031;-;-;-;968.6;0;-;0.8;-;-;-
LUZ;18801101;-;-;-;971;0;-;2.8;-;-;-
LUZ;18801102;-;-;-;963.4;0;-;2.7;-;-;-
LUZ;18801103;-;-;-;956;2.6;-;2.8;-;-;-
LUZ;18801104;-;-;-;961;1.8;-;2.6;-;-;-
LUZ;18801105;-;-;-;968;0;-;1.6;-;-;-
LUZ;18801106;-;-;-;973.5;0;-;2.3;-;-;-
LUZ;18801107;-;-;-;973.9;0;-;2.9;-;-;-
LUZ;18801108;-;-;-;970.2;2.6;-;3.6;-;-;-
LUZ;18801109;-;-;-;967.4;0;-;4.1;-;-;-
LUZ;18801110;-;-;-;968.8;0;-;4.9;-;-;-
LUZ;18801111;-;-;-;971;0;-;3.7;-;-;-
LUZ;18801112;-;-;-;972;0;-;4;-;-;-
LUZ;18801113;-;-;-;969.9;0.4;-;6;-;-;-
LUZ;18801114;-;-;-;962.2;0;-;5.3;-;-;-
LUZ;18801115;-;-;-;960.3;0;-;11;-;-;-
LUZ;18801116;-;-;-;950.1;3.9;-;8.4;-;-;-
LUZ;18801117;-;-;-;943.8;7;-;6.3;-;-;-
LUZ;18801118;-;-;-;946.4;2.9;-;4.6;-;-;-
LUZ;18801119;-;-;-;949.4;2.3;-;8.9;-;-;-
LUZ;18801120;-;-;-;960.8;0;-;5.8;-;-;-
LUZ;18801121;-;-;-;962.8;0.5;-;2.5;-;-;-
LUZ;18801122;-;-;-;962.8;0;-;1.6;-;-;-
