station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
MER;20240101;40;0;-;946.3;0;95;0.6;-2.2;4.3;91.7
MER;20240102;37;0;-;941.1;4.2;1;2.7;-2;6.3;87.2
MER;20240103;33;0;-;938.4;9.7;114;5;0.5;9.2;82
MER;20240104;32;0;-;942.5;0.1;19;4.1;-0.3;7.1;87.4
MER;20240105;27;0;-;937.1;8.9;0;3;0.3;5.8;88.7
MER;20240106;12;0;-;939.2;1.7;0;1.6;0.4;2.9;92.8
MER;20240107;28;0;-;941.9;0.3;0;2.1;0.2;3;78.3
MER;20240108;18;0;-;947.6;0;0;-1.8;-2.5;0.3;73.9
MER;20240109;50;0;-;951.8;0;26;-2;-3;-0.6;75.7
MER;20240110;42;0;-;953.4;0;179;-2.2;-4.4;0.5;87.9
MER;20240111;30;0;-;955.5;0;0;-1;-3.6;-0.3;82.7
MER;20240112;55;0;-;957.5;0;237;-3.7;-6.1;-0.2;86.5
MER;20240113;49;0;-;954.1;0;119;-5.1;-7.7;-1.2;88.9
MER;20240114;57;0;-;944;3.6;240;-3.2;-8.5;0.4;82.5
MER;20240115;16;4;-;938.7;0;0;0.8;-0.7;3.1;85.8
MER;20240116;70;2;-;940;1.4;166;-1.5;-6.2;0.6;78.8
MER;20240117;52;2;-;928.6;17.1;52;2.5;-0.9;5.7;92.5
MER;20240118;19;0;-;930.5;7.7;0;4;0;7.2;91.9
MER;20240119;52;5;-;949.3;0;119;-2.4;-6.5;0.2;73.2
MER;20240120;67;5;-;958;0;249;-6.9;-9.9;-2.8;82.6
MER;20240121;54;4;-;961.1;0;30;-5.6;-9.9;-0.9;89.2
MER;20240122;49;4;-;956.7;9.5;25;-0.6;-6.9;3.2;89.7
MER;20240123;56;0;-;963;0.7;110;5;2.1;7.5;80.4
MER;20240124;43;0;-;962.8;3.7;6;5.5;2.3;8.4;93.4
MER;20240125;51;0;-;961.2;0.2;89;7.1;4.6;11.4;92
MER;20240126;44;0;-;962;7.8;77;6.1;2.2;8.6;92.3
MER;20240127;74;0;-;964.1;0;271;4.1;-1.9;7.7;87.8
MER;20240128;75;0;-;962.6;0;273;-0.2;-3;5;84.1
MER;20240129;79;0;-;962.1;0;274;1;-3.3;6.8;81.2
MER;20240130;76;0;-;963.6;0;241;2.1;-2.5;7;82.7
MER;20240131;59;0;-;964.2;0;140;1.5;-2;7.5;83.5
MER;20240201;18;0;-;963.3;1.1;1;2;-1.6;4.7;91.1
MER;20240202;30;0;-;964.8;0;0;3.4;0;6.6;93.4
MER;20240203;82;0;-;961.8;0;294;2.5;-1.4;9.2;87.8
MER;20240204;91;0;-;960.3;0;300;2.9;-2.2;9.7;82.5
MER;20240205;90;0;-;957.4;0;304;2.7;-2;9.4;80.2
MER;20240206;75;0;-;952.6;0;265;1.6;-2.3;7.7;79
MER;20240207;75;0;-;946.4;7.8;149;3.1;-2.1;8.5;81.3
MER;20240208;73;0;-;937.1;0;59;6.3;2.8;10.5;90.4
MER;20240209;44;0;-;925.8;0;0;8.1;5.7;13.1;85.2
MER;20240210;97;0;-;919.3;1.8;151;9.8;5.1;15.9;66.6
MER;20240211;70;0;-;930.1;0.3;23;5.7;3.7;8.5;80.2
MER;20240212;102;0;-;939.3;0.5;158;5.5;2.1;9.1;80.2
MER;20240213;106;0;21;951.3;0;334;4.1;-1.3;8.6;73.3
MER;20240214;106;0;46;955;0;258;5.5;-0.6;11.9;65.8
MER;20240215;85;0;92;951;0;165;5.8;-0.8;11.8;73.1
MER;20240216;91;0;71;951.2;0;220;8.1;2.4;12.6;73
MER;20240217;82;0;96;960.5;0;56;9.7;6.4;14;79.7
MER;20240218;110;0;88;961.4;3.1;211;8.2;2.9;12;78.9
MER;20240219;44;0;100;960.6;20.5;0;7.4;5.8;9.7;87.5
