station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
NEU;20240101;41;0;-;957.9;1.5;72;5.6;4.5;7.6;77.2
NEU;20240102;10;0;-;952.9;18.9;0;6.8;5;8.6;85.7
NEU;20240103;37;0;-;950;3.1;72;9.7;7.2;12.2;68.5
NEU;20240104;39;0;-;954;0.1;112;7;4.3;9.2;76.8
NEU;20240105;9;0;-;948.9;5.1;0;4.3;3.3;4.8;94.1
NEU;20240106;44;0;-;951.4;0.2;32;4.4;2.7;5.8;75.6
NEU;20240107;36;0;-;954.8;0.2;0;3;0.3;5.6;83
NEU;20240108;11;1;-;960.7;0.8;0;-1.9;-2.7;0.2;81.8
NEU;20240109;22;1;-;964.5;2.2;0;-2.3;-3;-1.3;84.2
NEU;20240110;41;4;-;966.2;0;0;-1.8;-3.3;0;88.9
NEU;20240111;19;3;-;968.2;0;0;-1.3;-2.7;-0.5;87.2
NEU;20240112;62;2;-;970.4;0;258;-2.2;-3.3;-0.3;83.5
NEU;20240113;20;1;-;966.7;0;0;-2.6;-3.9;-1;89.1
NEU;20240114;28;1;-;956.2;0;0;-0.6;-3.9;4.8;82.3
NEU;20240115;58;1;-;951.2;0;258;3;0.6;5.3;57.7
NEU;20240116;73;0;-;952.1;5.4;258;-0.1;-2.7;1.6;77.1
NEU;20240117;6;0;-;939.8;27.8;0;4.8;0.1;8.9;95.6
NEU;20240118;14;0;-;942.3;6.8;0;6;-0.6;9.3;87.3
NEU;20240119;88;1;-;961.9;0;386;-0.7;-2;1;64.6
NEU;20240120;93;0;-;970.3;0;512;-2.5;-4.8;0.2;71.4
NEU;20240121;71;0;-;973.2;0;261;-1.6;-5.7;3.7;83.2
NEU;20240122;19;0;-;968.5;8.7;0;4.8;-2.3;7.6;78.4
NEU;20240123;51;0;-;975.1;0.6;132;7.5;5.3;10.1;73.2
NEU;20240124;15;0;-;975.2;0.1;0;10.7;7.7;12.9;74.2
NEU;20240125;101;0;-;973.2;0;386;11.4;8.2;15.1;70.6
NEU;20240126;24;0;-;973.8;0.8;22;8.7;5.1;11.9;79
NEU;20240127;92;0;-;976.4;0;456;5.7;3.6;8.5;82.9
NEU;20240128;88;0;-;974.7;0;325;5;2.1;7.8;79.3
NEU;20240129;78;0;-;974.2;0;280;3.9;0.6;7.6;85.9
NEU;20240130;60;0;-;975.7;0;60;3.8;0.5;6.6;89.1
NEU;20240131;82;0;-;976.3;0;329;3.7;0.8;6.8;89
NEU;20240201;22;0;-;975.1;0.3;0;5.8;2.8;8.4;90.9
NEU;20240202;58;0;-;976.7;0;27;4.6;2.6;7.8;88.2
NEU;20240203;93;0;-;973.7;0;335;5.4;1.1;11.1;79.1
NEU;20240204;112;0;-;972.3;0;519;6.3;2;11.1;80.4
NEU;20240205;109;0;-;969.3;0;480;6.1;2.9;9.4;76.7
NEU;20240206;110;0;-;964.5;0;502;8;3.9;12.6;57.7
NEU;20240207;51;0;-;958.1;8.3;35;6.6;3.9;10.2;78.3
NEU;20240208;37;0;-;948.7;4.9;19;8.5;6.9;10.6;89.1
NEU;20240209;30;0;-;937.8;1.6;0;8.9;7.3;10.5;89.3
NEU;20240210;43;0;-;931.8;0.7;7;8.1;5.3;10.8;85.8
NEU;20240211;69;0;-;942.2;2.2;99;6.3;4.7;9;82.2
NEU;20240212;76;0;-;951.5;0.3;78;6.8;5.3;8.7;75.5
NEU;20240213;131;0;-;963.4;0;561;6.3;2.8;10.1;68.2
NEU;20240214;68;0;-;966.7;0;35;8.2;5.5;12.7;66.9
NEU;20240215;80;0;-;962.9;0;116;6.8;3.7;9.9;80.8
NEU;20240216;87;0;-;963;0;172;9.3;5.5;14.7;77.3
NEU;20240217;69;0;-;972.8;0.3;23;9.9;7.3;13.1;84.3
NEU;20240218;74;0;-;973.7;4.9;38;9.8;7.5;12.5;78.5
NEU;20240219;66;0;-;972.9;2.7;75;8.7;7.1;11.3;82.2
NEU;20240220;130;0;-;972.2;0;326;7.5;4.5;10.4;72.2
NEU;20240221;82;0;-;964;7.2;46;7;2.6;10.9;72.6
NEU;20240222;15;0;-;947.4;14.3;0;8;5.6;10.2;85.1
NEU;20240223;97;0;-;943.3;1;281;5.7;1.8;8.5;68.1
NEU;20240224;126;0;-;947.7;0;358;5.8;3.2;10.4;64.4
NEU;20240225;146;0;-;946.9;3.9;468;5.8;1.5;9.6;66.7
NEU;20240226;95;0;-;943.4;0;172;6.9;5;10.4;79.7
NEU;20240227;38;0;-;952.7;0;0;7.7;4.6;9.6;69.7
NEU;20240228;75;0;-;961.5;0;77;8.5;7.4;10.9;65.7
NEU;20240229;135;0;-;955.9;1.2;376;8.1;6.3;11;69.8
NEU;20240301;89;0;-;951.1;0;42;7.2;3.8;9.8;78.8
NEU;20240302;111;0;-;946.6;0;268;6.7;2.1;10.7;74.9
NEU;20240303;113;0;-;942.5;0;225;8.1;5.6;13.3;75.4
NEU;20240304;65;0;-;953.5;0.2;15;7.5;6.3;9.6;71
NEU;20240305;109;0;-;958.7;1.8;148;7;4.8;10.6;74.3
NEU;20240306;87;0;-;963.3;0;101;5.8;4.1;7.6;71.1
NEU;20240307;114;0;-;960.1;0;243;4.9;2.2;8.1;77.2
NEU;20240308;69;0;-;951.9;0;43;4.1;1;7.1;82.3
NEU;20240309;111;0;-;943.5;0;190;6.4;2.1;9.9;76.2
NEU;20240310;33;0;-;939.9;3.7;0;6.7;4.5;10.1;82.7
NEU;20240311;89;0;-;951.2;1.3;36;6.1;3.7;9.6;84.6
NEU;20240312;50;0;-;961.9;2.2;7;6.8;5.4;8.4;82.4
NEU;20240313;86;0;-;962;0;116;9;6;13.8;78.2
NEU;20240314;132;0;-;959.3;0;224;8.2;4;13.1;85.9
NEU;20240315;117;0;-;960.2;5.9;253;11.8;8.6;15.5;69.2
NEU;20240316;89;0;-;965.2;1.2;124;10.4;8.1;14.8;76.2
NEU;20240317;85;0;-;964.9;14.5;4;8.3;5.4;11.5;82.2
NEU;20240318;82;0;-;960.6;13.3;59;9.7;7.8;14.3;90.5
NEU;20240319;113;0;-;962;0;257;8.6;6.2;12.8;88.4
NEU;20240320;169;0;-;962.9;0.3;407;9.7;4.5;16;83.3
NEU;20240321;150;0;-;967.2;1;338;13;9.1;18.8;69.7
NEU;20240322;206;0;-;962.8;0.6;585;12.9;8.1;19;62.5
NEU;20240323;149;0;-;958;1.9;249;9.2;5;13.3;57.7
NEU;20240324;166;0;-;956.4;0.6;289;6.2;2.3;9;63.6
NEU;20240325;212;0;-;947.7;0;560;7.9;2;11.9;56.7
NEU;20240326;192;0;-;936.3;0;457;10.9;6.1;15;53.6
NEU;20240327;31;0;-;934.7;6;0;6.1;3.3;10.8;82.1
NEU;20240328;171;0;-;940.4;3;383;7.8;2.9;12.4;66.6
NEU;20240329;133;0;-;942.4;0;152;10.5;5.3;16;60
NEU;20240330;51;0;-;942.1;0.6;0;11.4;8.4;15.3;61.8
NEU;20240331;153;0;-;940.9;7.6;176;10.6;7;14.3;75.5
NEU;20240401;133;0;-;947.1;3.6;161;8.6;6.3;12.1;77.8
NEU;20240402;199;0;-;957.9;0.6;420;8.9;6.3;13;67.5
NEU;20240403;48;0;-;957.2;1.5;0;9;6.4;11.1;80.1
NEU;20240404;116;0;-;960.4;0;119;12.8;8.9;16.1;70
NEU;20240405;189;0;-;960.8;0;407;15;9.1;20.8;59.3
NEU;20240406;234;0;-;962;0;532;16.7;9.5;23;50.4
NEU;20240407;202;0;-;960.6;0;458;16.8;10;23;53.9
NEU;20240408;167;0;-;954.3;0;244;17.6;12;23.4;54.3
NEU;20240409;33;0;-;961.7;3.1;0;9.1;5;20.1;74
NEU;20240410;140;0;-;971;0;194;8.2;3.4;12.6;63.7
NEU;20240411;251;0;-;974.7;0;660;11.5;5.1;16.8;58.6
NEU;20240412;258;0;-;974.7;0;720;13.6;7.2;19.9;65.4
NEU;20240413;269;0;-;971;0;733;15.6;9.3;21.9;59.7
NEU;20240414;273;0;-;965.2;0;720;18.9;11.1;26.6;53.9
NEU;20240415;159;0;-;956.8;1.4;262;16.9;10.7;20.8;48.9
NEU;20240416;213;0;-;956;7;300;7.3;4.1;11.7;67.5
NEU;20240417;104;0;-;955.5;5;43;5.4;3.2;10;75.3
