station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
OTL;20240101;58;0;33;969.9;0;263;5.3;3;9.7;69.6
OTL;20240102;66;0;96;970;0;254;4.9;2.3;8.3;62.9
OTL;20240103;78;0;13;964.7;0;413;6.4;3.7;10.4;65.1
OTL;20240104;79;0;13;966;0;414;7.5;4.3;12.4;61.7
OTL;20240105;5;0;100;963.9;40;0;3.6;1.2;6.4;82.6
OTL;20240106;32;0;96;956.8;0;0;7.1;1.8;11.5;63.9
OTL;20240107;33;0;100;958.6;0;0;9.8;7.8;11.9;32
OTL;20240108;21;0;100;967.3;0;0;7.4;6.6;9;54.7
OTL;20240109;7;0;100;977.6;2.9;0;4.7;2.8;7.1;82.4
OTL;20240110;35;0;96;981.9;0;8;3.4;2.6;5;83.4
OTL;20240111;86;0;33;979.3;0;405;3.7;1.6;7.8;78.9
OTL;20240112;86;0;0;978.5;0;425;3.6;1.2;8;74.3
OTL;20240113;88;0;0;977;0;425;2.4;-0.2;6.6;70.9
OTL;20240114;45;0;33;967.8;0;28;2;-0.4;5;61.8
OTL;20240115;89;0;21;958.2;0;396;4.5;0.7;8.1;57.6
OTL;20240116;85;0;13;965;0;428;4.2;1.8;7.6;58
OTL;20240117;15;0;100;960.4;6.2;0;2.8;1.6;4.3;79.7
OTL;20240118;57;0;75;954.5;0;171;4.1;1.6;6.5;90.2
OTL;20240119;98;0;4;967;0;440;6.3;0.5;9.8;31
OTL;20240120;100;0;0;984.8;0;443;1.4;-1.9;6.2;41.1
OTL;20240121;74;0;38;988.3;0;262;1.4;-1.1;4.9;41.3
OTL;20240122;46;0;75;984.9;0;51;2.4;-0.3;4.3;48.5
OTL;20240123;99;0;8;984;0;451;8.1;2.3;16.2;44.4
OTL;20240124;100;0;21;983.6;0;444;7.2;3.7;11.1;58.8
OTL;20240125;100;0;13;980.2;0;453;12.5;6.7;21.4;50.3
OTL;20240126;95;0;46;981.4;0;435;8.7;5.9;12.9;61.4
OTL;20240127;109;0;8;985.3;0;456;12.9;7.5;19;26.7
OTL;20240128;102;0;0;991.5;0;460;7.5;4;12.7;51.5
OTL;20240129;98;0;54;991;0;463;6;3.2;9.8;53.5
OTL;20240130;88;0;50;990.5;0;302;5.9;2.4;9.9;56.9
OTL;20240131;67;0;33;988.3;0;108;5.9;3.4;8.5;59.7
OTL;20240201;75;0;42;982.9;0;272;7.4;4.3;11.7;57.2
OTL;20240202;105;0;50;984.1;0;341;11.5;7.3;15.1;37.6
OTL;20240203;118;0;17;981.4;0;464;14;9.5;18.9;39.4
OTL;20240204;117;0;38;979.6;0;473;14.9;12.1;19.4;28.9
OTL;20240205;119;0;21;978.6;0;483;12.8;9.2;16.3;44.1
OTL;20240206;76;0;96;977.2;0;101;8.6;6.5;11.7;73.2
OTL;20240207;64;0;83;970;0;79;9.1;6.6;12.1;63.1
OTL;20240208;81;0;63;965.2;7.6;232;7.9;4.6;10.7;70.6
OTL;20240209;6;0;100;957.2;36.7;0;7.1;6.4;7.6;97.5
OTL;20240210;24;0;100;950.8;23.3;0;6.4;5.9;7;96.4
OTL;20240211;68;0;83;951;0.5;143;8.2;5.8;13.3;74.4
OTL;20240212;94;0;67;961.7;0;226;7.8;4.7;11.3;61
OTL;20240213;140;0;8;974;0;532;9.3;5.3;15.7;46.5
OTL;20240214;139;0;29;979.9;0;505;8.9;4.6;14.3;47.8
OTL;20240215;84;0;63;978.9;0;179;8.2;5.8;10.7;58.6
OTL;20240216;97;0;75;977.3;0;231;9.1;5.7;12;61.8
OTL;20240217;138;0;17;982.5;0;541;10.8;6.8;15.6;59.7
OTL;20240218;108;0;71;985;0;292;11.2;7.7;14;61.4
OTL;20240219;148;0;42;980;0;503;13.6;8.2;20.8;43
OTL;20240220;158;0;33;980.7;0;549;12.6;8.3;18.2;31.9
OTL;20240221;136;0;63;978.9;0;484;10.2;5.9;14.9;42.6
OTL;20240222;13;0;100;966.4;30.2;0;7.6;6.1;10.2;85.1
OTL;20240223;70;0;71;955.1;2.9;181;5.6;3.7;9.5;84.4
OTL;20240224;26;0;96;962.9;18.6;0;3.6;1.8;4.7;88.3
OTL;20240225;53;0;100;965.6;10.9;26;4.8;3;8;92.8
OTL;20240226;15;0;100;963.1;26;0;3.1;1.7;4.8;95.7
OTL;20240227;22;0;100;965.6;18.8;0;5.4;2.8;7.2;93
OTL;20240228;96;0;75;972.9;0.4;219;9.2;6.4;13.7;84
OTL;20240229;47;0;96;970.4;9.3;2;9.5;7.4;12;81
OTL;20240301;13;0;100;964;43.2;0;7.2;6.1;8.8;94.9
OTL;20240302;26;0;100;964.7;20.7;0;6.7;6.1;7.6;95
OTL;20240303;26;0;100;962.3;4.5;0;7.2;6.3;8.4;92.7
OTL;20240304;155;0;71;964.3;0;413;9.6;6.5;13.6;78.5
OTL;20240305;32;0;96;968.1;13.1;0;8;5.6;10;82.3
OTL;20240306;156;0;71;970.6;0;341;9.5;5.9;14.9;54.7
OTL;20240307;197;0;29;971.9;0;592;9.4;4.1;14.6;51.5
OTL;20240308;23;0;100;970.2;9;0;7.1;5.4;9.5;83.3
OTL;20240309;40;0;100;966.3;15.2;0;5.5;4.3;6.9;92.6
OTL;20240310;7;0;100;958.6;43.7;0;3.6;1;6.2;96.7
OTL;20240311;191;0;58;962.6;0;528;7.9;3.1;14.3;71.4
OTL;20240312;208;0;17;969.6;0;624;11.7;6.1;18.6;40.7
OTL;20240313;206;0;46;972.6;0;613;12.4;7.9;18;47.4
OTL;20240314;192;0;46;973.5;0;587;11.6;6.8;16.4;59.6
OTL;20240315;177;0;88;973.1;0;433;11.8;7.9;16;68.2
OTL;20240316;220;0;17;974.9;0;640;13.9;8.9;19.6;53.3
OTL;20240317;136;0;92;976.8;0;256;12.9;9.4;16.6;45.5
OTL;20240318;144;0;67;971.1;0;289;13;10.3;17.1;55.7
OTL;20240319;215;0;33;973.1;0;664;14.1;10.4;19.2;50.1
OTL;20240320;193;0;63;977.8;0;450;13.1;9.9;16.7;67.9
OTL;20240321;201;0;54;977;0;558;15.5;10.3;22.2;48.4
OTL;20240322;207;0;67;975.3;0;611;14.7;9.5;19.6;48.2
OTL;20240323;157;0;54;967.1;0;339;13.2;9.3;18.8;45.9
OTL;20240324;216;0;25;964.8;0;578;10.4;6.3;16.7;28.8
OTL;20240325;227;0;63;964.2;0;527;10.4;4.7;16.6;29.2
