station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
OTL;19001001;-;-;-;-;0;-;-;-;-;-
OTL;19001002;-;-;-;-;25;-;-;-;-;-
OTL;19001003;-;-;-;-;4;-;-;-;-;-
OTL;19001004;-;-;-;-;0;-;-;-;-;-
OTL;19001005;-;-;-;-;0;-;-;-;-;-
OTL;19001006;-;-;-;-;0;-;-;-;-;-
OTL;19001007;-;-;-;-;0;-;-;-;-;-
OTL;19001008;-;-;-;-;0;-;-;-;-;-
OTL;19001009;-;-;-;-;0;-;-;-;-;-
OTL;19001010;-;-;-;-;0;-;-;-;-;-
OTL;19001011;-;-;-;-;1;-;-;-;-;-
OTL;19001012;-;-;-;-;9;-;-;-;-;-
OTL;19001013;-;-;-;-;0;-;-;-;-;-
OTL;19001014;-;-;-;-;0;-;-;-;-;-
OTL;19001015;-;-;-;-;0;-;-;-;-;-
OTL;19001016;-;-;-;-;0;-;-;-;-;-
OTL;19001017;-;-;-;-;0;-;-;-;-;-
OTL;19001018;-;-;-;-;0.3;-;-;-;-;-
OTL;19001019;-;-;-;-;0;-;-;-;-;-
OTL;19001020;-;-;-;-;4;-;-;-;-;-
OTL;19001021;-;-;-;-;1;-;-;-;-;-
OTL;19001022;-;-;-;-;2;-;-;-;-;-
OTL;19001023;-;-;-;-;0;-;-;-;-;-
OTL;19001024;-;-;-;-;0;-;-;-;-;-
OTL;19001025;-;-;-;-;0;-;-;-;-;-
OTL;19001026;-;-;-;-;0;-;-;-;-;-
OTL;19001027;-;-;-;-;0;-;-;-;-;-
OTL;19001028;-;-;-;-;0;-;-;-;-;-
OTL;19001029;-;-;-;-;0;-;-;-;-;-
OTL;19001030;-;-;-;-;0;-;-;-;-;-
OTL;19001031;-;-;-;-;0;-;-;-;-;-
OTL;19001101;-;-;-;-;0;-;-;-;-;-
OTL;19001102;-;-;-;-;18;-;-;-;-;-
OTL;19001103;-;-;-;-;2;-;-;-;-;-
OTL;19001104;-;-;-;-;0;-;-;-;-;-
OTL;19001105;-;-;-;-;0;-;-;-;-;-
OTL;19001106;-;-;-;-;13;-;-;-;-;-
OTL;19001107;-;-;-;-;43;-;-;-;-;-
OTL;19001108;-;-;-;-;1;-;-;-;-;-
OTL;19001109;-;-;-;-;2;-;-;-;-;-
OTL;19001110;-;-;-;-;60;-;-;-;-;-
OTL;19001111;-;-;-;-;0;-;-;-;-;-
OTL;19001112;-;-;-;-;0;-;-;-;-;-
OTL;19001113;-;-;-;-;0;-;-;-;-;-
OTL;19001114;-;-;-;-;0;-;-;-;-;-
OTL;19001115;-;-;-;-;0;-;-;-;-;-
OTL;19001116;-;-;-;-;6;-;-;-;-;-
OTL;19001117;-;-;-;-;15;-;-;-;-;-
OTL;19001118;-;-;-;-;12;-;-;-;-;-
OTL;19001119;-;-;-;-;15;-;-;-;-;-
OTL;19001120;-;-;-;-;32;-;-;-;-;-
OTL;19001121;-;-;-;-;39;-;-;-;-;-
OTL;19001122;-;-;-;-;10;-;-;-;-;-
OTL;19001123;-;-;-;-;8;-;-;-;-;-
OTL;19001124;-;-;-;-;0;-;-;-;-;-
OTL;19001125;-;-;-;-;0;-;-;-;-;-
OTL;19001126;-;-;-;-;0;-;-;-;-;-
OTL;19001127;-;-;-;-;0;-;-;-;-;-
OTL;19001128;-;-;-;-;18;-;-;-;-;-
OTL;19001129;-;-;-;-;63;-;-;-;-;-
OTL;19001130;-;-;-;-;0;-;-;-;-;-
OTL;19001201;-;-;-;-;0;-;-;-;-;-
OTL;19001202;-;-;-;-;1;-;-;-;-;-
OTL;19001203;-;-;-;-;0.3;-;-;-;-;-
OTL;19001204;-;-;-;-;0;-;-;-;-;-
OTL;19001205;-;-;-;-;0;-;-;-;-;-
OTL;19001206;-;-;-;-;0;-;-;-;-;-
OTL;19001207;-;-;-;-;0;-;-;-;-;-
OTL;19001208;-;-;-;-;0;-;-;-;-;-
OTL;19001209;-;-;-;-;0;-;-;-;-;-
OTL;19001210;-;-;-;-;0;-;-;-;-;-
OTL;19001211;-;-;-;-;0;-;-;-;-;-
OTL;19001212;-;-;-;-;0;-;-;-;-;-
OTL;19001213;-;-;-;-;0;-;-;-;-;-
OTL;19001214;-;-;-;-;0;-;-;-;-;-
OTL;19001215;-;-;-;-;0;-;-;-;-;-
OTL;19001216;-;-;-;-;0;-;-;-;-;-
OTL;19001217;-;-;-;-;0;-;-;-;-;-
OTL;19001218;-;-;-;-;0;-;-;-;-;-
OTL;19001219;-;-;-;-;0;-;-;-;-;-
OTL;19001220;-;-;-;-;0;-;-;-;-;-
OTL;19001221;-;-;-;-;0;-;-;-;-;-
OTL;19001222;-;-;-;-;0;-;-;-;-;-
OTL;19001223;-;-;-;-;0;-;-;-;-;-
OTL;19001224;-;-;-;-;0;-;-;-;-;-
OTL;19001225;-;-;-;-;0;-;-;-;-;-
OTL;19001226;-;-;-;-;0;-;-;-;-;-
OTL;19001227;-;-;-;-;0;-;-;-;-;-
OTL;19001228;-;-;-;-;0;-;-;-;-;-
OTL;19001229;-;-;-;-;0;-;-;-;-;-
OTL;19001230;-;-;-;-;0;-;-;-;-;-
OTL;19001231;-;-;-;-;20;-;-;-;-;-
OTL;19010101;-;-;-;-;0;-;-;-;-;-
OTL;19010102;-;-;-;-;0;-;-;-;-;-
OTL;19010103;-;-;-;-;0;-;-;-;-;-
OTL;19010104;-;-;-;-;0;-;-;-;-;-
OTL;19010105;-;-;-;-;0;-;-;-;-;-
OTL;19010106;-;-;-;-;0;-;-;-;-;-
OTL;19010107;-;-;-;-;0;-;-;-;-;-
OTL;19010108;-;-;-;-;0;-;-;-;-;-
OTL;19010109;-;-;-;-;0;-;-;-;-;-
OTL;19010110;-;-;-;-;0;-;-;-;-;-
OTL;19010111;-;-;-;-;0;-;-;-;-;-
OTL;19010112;-;-;-;-;0;-;-;-;-;-
OTL;19010113;-;-;-;-;0;-;-;-;-;-
OTL;19010114;-;-;-;-;0;-;-;-;-;-
OTL;19010115;-;-;-;-;0;-;-;-;-;-
OTL;19010116;-;-;-;-;0;-;-;-;-;-
OTL;19010117;-;-;-;-;0;-;-;-;-;-
OTL;19010118;-;-;-;-;0;-;-;-;-;-
OTL;19010119;-;-;-;-;0;-;-;-;-;-
OTL;19010120;-;-;-;-;0;-;-;-;-;-
OTL;19010121;-;-;-;-;0;-;-;-;-;-
OTL;19010122;-;-;-;-;0;-;-;-;-;-
OTL;19010123;-;-;-;-;0;-;-;-;-;-
OTL;19010124;-;-;-;-;0;-;-;-;-;-
OTL;19010125;-;-;-;-;0;-;-;-;-;-
OTL;19010126;-;-;-;-;0;-;-;-;-;-
OTL;19010127;-;-;-;-;0;-;-;-;-;-
OTL;19010128;-;-;-;-;0;-;-;-;-;-
OTL;19010129;-;-;-;-;0;-;-;-;-;-
OTL;19010130;-;-;-;-;0;-;-;-;-;-
OTL;19010131;-;-;-;-;0;-;-;-;-;-
OTL;19010201;-;-;-;-;16;-;-;-;-;-
OTL;19010202;-;-;-;-;0;-;-;-;-;-
OTL;19010203;-;-;-;-;3.5;-;-;-;-;-
OTL;19010204;-;-;-;-;23;-;-;-;-;-
OTL;19010205;-;-;-;-;9.2;-;-;-;-;-
OTL;19010206;-;-;-;-;0;-;-;-;-;-
OTL;19010207;-;-;-;-;0;-;-;-;-;-
OTL;19010208;-;-;-;-;0;-;-;-;-;-
OTL;19010209;-;-;-;-;0;-;-;-;-;-
OTL;19010210;-;-;-;-;0;-;-;-;-;-
OTL;19010211;-;-;-;-;0;-;-;-;-;-
OTL;19010212;-;-;-;-;0;-;-;-;-;-
OTL;19010213;-;-;-;-;0;-;-;-;-;-
OTL;19010214;-;-;-;-;0;-;-;-;-;-
OTL;19010215;-;-;-;-;0;-;-;-;-;-
OTL;19010216;-;-;-;-;0;-;-;-;-;-
OTL;19010217;-;-;-;-;0.3;-;-;-;-;-
OTL;19010218;-;-;-;-;0;-;-;-;-;-
OTL;19010219;-;-;-;-;0;-;-;-;-;-
OTL;19010220;-;-;-;-;0;-;-;-;-;-
OTL;19010221;-;-;-;-;0;-;-;-;-;-
OTL;19010222;-;-;-;-;0;-;-;-;-;-
OTL;19010223;-;-;-;-;0;-;-;-;-;-
OTL;19010224;-;-;-;-;0;-;-;-;-;-
OTL;19010225;-;-;-;-;0;-;-;-;-;-
OTL;19010226;-;-;-;-;0;-;-;-;-;-
OTL;19010227;-;-;-;-;0;-;-;-;-;-
OTL;19010228;-;-;-;-;0;-;-;-;-;-
OTL;19010301;-;-;-;-;2.1;-;-;-;-;-
OTL;19010302;-;-;-;-;3;-;-;-;-;-
OTL;19010303;-;-;-;-;0;-;-;-;-;-
OTL;19010304;-;-;-;-;0;-;-;-;-;-
OTL;19010305;-;-;-;-;0;-;-;-;-;-
OTL;19010306;-;-;-;-;11.5;-;-;-;-;-
OTL;19010307;-;-;-;-;0;-;-;-;-;-
OTL;19010308;-;-;-;-;0;-;-;-;-;-
OTL;19010309;-;-;-;-;5;-;-;-;-;-
OTL;19010310;-;-;-;-;47.6;-;-;-;-;-
OTL;19010311;-;-;-;-;14.3;-;-;-;-;-
OTL;19010312;-;-;-;-;0;-;-;-;-;-
OTL;19010313;-;-;-;-;0.5;-;-;-;-;-
OTL;19010314;-;-;-;-;12;-;-;-;-;-
OTL;19010315;-;-;-;-;52;-;-;-;-;-
OTL;19010316;-;-;-;-;4.1;-;-;-;-;-
OTL;19010317;-;-;-;-;35.6;-;-;-;-;-
OTL;19010318;-;-;-;-;39.1;-;-;-;-;-
OTL;19010319;-;-;-;-;57.9;-;-;-;-;-
OTL;19010320;-;-;-;-;17.5;-;-;-;-;-
OTL;19010321;-;-;-;-;0;-;-;-;-;-
OTL;19010322;-;-;-;-;0;-;-;-;-;-
OTL;19010323;-;-;-;-;0;-;-;-;-;-
OTL;19010324;-;-;-;-;0;-;-;-;-;-
OTL;19010325;-;-;-;-;0;-;-;-;-;-
OTL;19010326;-;-;-;-;0;-;-;-;-;-
OTL;19010327;-;-;-;-;0;-;-;-;-;-
OTL;19010328;-;-;-;-;0;-;-;-;-;-
OTL;19010329;-;-;-;-;0;-;-;-;-;-
OTL;19010330;-;-;-;-;1;-;-;-;-;-
OTL;19010331;-;-;-;-;12;-;-;-;-;-
OTL;19010401;-;-;-;-;20.6;-;-;-;-;-
OTL;19010402;-;-;-;-;2.7;-;-;-;-;-
OTL;19010403;-;-;-;-;1;-;-;-;-;-
OTL;19010404;-;-;-;-;0;-;-;-;-;-
OTL;19010405;-;-;-;-;2.2;-;-;-;-;-
OTL;19010406;-;-;-;-;0;-;-;-;-;-
OTL;19010407;-;-;-;-;0.2;-;-;-;-;-
OTL;19010408;-;-;-;-;0;-;-;-;-;-
OTL;19010409;-;-;-;-;23.6;-;-;-;-;-
OTL;19010410;-;-;-;-;40.2;-;-;-;-;-
OTL;19010411;-;-;-;-;5;-;-;-;-;-
OTL;19010412;-;-;-;-;45.2;-;-;-;-;-
OTL;19010413;-;-;-;-;0;-;-;-;-;-
OTL;19010414;-;-;-;-;0;-;-;-;-;-
OTL;19010415;-;-;-;-;0;-;-;-;-;-
OTL;19010416;-;-;-;-;0;-;-;-;-;-
OTL;19010417;-;-;-;-;0;-;-;-;-;-
OTL;19010418;-;-;-;-;0;-;-;-;-;-
OTL;19010419;-;-;-;-;0;-;-;-;-;-
OTL;19010420;-;-;-;-;0;-;-;-;-;-
OTL;19010421;-;-;-;-;0;-;-;-;-;-
OTL;19010422;-;-;-;-;0;-;-;-;-;-
OTL;19010423;-;-;-;-;0;-;-;-;-;-
OTL;19010424;-;-;-;-;0;-;-;-;-;-
OTL;19010425;-;-;-;-;0;-;-;-;-;-
OTL;19010426;-;-;-;-;24.8;-;-;-;-;-
OTL;19010427;-;-;-;-;35.7;-;-;-;-;-
OTL;19010428;-;-;-;-;13;-;-;-;-;-
OTL;19010429;-;-;-;-;19.4;-;-;-;-;-
OTL;19010430;-;-;-;-;3.7;-;-;-;-;-
OTL;19010501;-;-;-;-;0;-;-;-;-;-
OTL;19010502;-;-;-;-;0;-;-;-;-;-
OTL;19010503;-;-;-;-;0;-;-;-;-;-
OTL;19010504;-;-;-;-;0;-;-;-;-;-
OTL;19010505;-;-;-;-;0;-;-;-;-;-
OTL;19010506;-;-;-;-;26.5;-;-;-;-;-
OTL;19010507;-;-;-;-;2.6;-;-;-;-;-
OTL;19010508;-;-;-;-;26.2;-;-;-;-;-
OTL;19010509;-;-;-;-;0;-;-;-;-;-
OTL;19010510;-;-;-;-;0.8;-;-;-;-;-
OTL;19010511;-;-;-;-;0;-;-;-;-;-
OTL;19010512;-;-;-;-;0;-;-;-;-;-
OTL;19010513;-;-;-;-;0;-;-;-;-;-
OTL;19010514;-;-;-;-;0;-;-;-;-;-
OTL;19010515;-;-;-;-;0;-;-;-;-;-
OTL;19010516;-;-;-;-;0.4;-;-;-;-;-
OTL;19010517;-;-;-;-;0.2;-;-;-;-;-
OTL;19010518;-;-;-;-;0;-;-;-;-;-
OTL;19010519;-;-;-;-;0;-;-;-;-;-
OTL;19010520;-;-;-;-;0.6;-;-;-;-;-
OTL;19010521;-;-;-;-;0;-;-;-;-;-
OTL;19010522;-;-;-;-;5.8;-;-;-;-;-
OTL;19010523;-;-;-;-;2;-;-;-;-;-
OTL;19010524;-;-;-;-;0;-;-;-;-;-
OTL;19010525;-;-;-;-;2.3;-;-;-;-;-
OTL;19010526;-;-;-;-;1.3;-;-;-;-;-
OTL;19010527;-;-;-;-;0;-;-;-;-;-
OTL;19010528;-;-;-;-;0;-;-;-;-;-
OTL;19010529;-;-;-;-;2;-;-;-;-;-
OTL;19010530;-;-;-;-;0;-;-;-;-;-
OTL;19010531;-;-;-;-;0;-;-;-;-;-
OTL;19010601;-;-;-;-;0;-;-;-;-;-
OTL;19010602;-;-;-;-;4.7;-;-;-;-;-
OTL;19010603;-;-;-;-;0.8;-;-;-;-;-
OTL;19010604;-;-;-;-;0;-;-;-;-;-
OTL;19010605;-;-;-;-;0;-;-;-;-;-
OTL;19010606;-;-;-;-;0;-;-;-;-;-
OTL;19010607;-;-;-;-;2;-;-;-;-;-
OTL;19010608;-;-;-;-;2.4;-;-;-;-;-
OTL;19010609;-;-;-;-;2.1;-;-;-;-;-
OTL;19010610;-;-;-;-;0;-;-;-;-;-
OTL;19010611;-;-;-;-;0;-;-;-;-;-
OTL;19010612;-;-;-;-;25.3;-;-;-;-;-
OTL;19010613;-;-;-;-;32.6;-;-;-;-;-
OTL;19010614;-;-;-;-;107;-;-;-;-;-
OTL;19010615;-;-;-;-;88.1;-;-;-;-;-
OTL;19010616;-;-;-;-;0;-;-;-;-;-
OTL;19010617;-;-;-;-;0;-;-;-;-;-
OTL;19010618;-;-;-;-;0;-;-;-;-;-
OTL;19010619;-;-;-;-;0;-;-;-;-;-
OTL;19010620;-;-;-;-;0;-;-;-;-;-
OTL;19010621;-;-;-;-;0;-;-;-;-;-
OTL;19010622;-;-;-;-;0;-;-;-;-;-
OTL;19010623;-;-;-;-;0;-;-;-;-;-
OTL;19010624;-;-;-;-;6.4;-;-;-;-;-
OTL;19010625;-;-;-;-;0;-;-;-;-;-
OTL;19010626;-;-;-;-;0;-;-;-;-;-
OTL;19010627;-;-;-;-;0;-;-;-;-;-
OTL;19010628;-;-;-;-;0;-;-;-;-;-
