station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
PAY;20240101;56;-;-;957.5;0.2;262;5.1;3.3;8.4;76.5
PAY;20240102;20;-;-;952.6;11.6;0;6.3;3.6;8.3;83.7
PAY;20240103;53;-;-;950;4.6;163;9.5;6.8;12.4;67.8
PAY;20240104;57;-;-;953.8;0;169;6.5;2.3;9.6;75.5
PAY;20240105;9;-;-;948.4;7;0;3.6;2.1;4.6;94.4
PAY;20240106;31;-;-;951;1.5;0;3.7;2.4;5.3;83
PAY;20240107;33;-;-;954.1;1;1;2.3;-0.4;4.1;86.1
PAY;20240108;20;-;-;959.8;0.2;0;-2.3;-3;-0.4;81.4
PAY;20240109;28;-;-;963.9;1.3;0;-2.6;-4.2;-1.6;86.2
PAY;20240110;50;-;-;965.6;0;0;-2.5;-5.3;-0.7;91.3
PAY;20240111;15;-;-;967.6;0;0;-1.8;-2.5;-1.1;88.5
PAY;20240112;23;-;-;969.7;0;0;-2.6;-3.3;-1.6;87.3
PAY;20240113;29;-;-;966.2;0;0;-2.4;-3.5;-0.9;88.7
PAY;20240114;34;-;-;955.8;0;0;-1.1;-3.3;3.2;87.7
PAY;20240115;43;-;-;950.9;0;66;2.4;-0.6;5.4;71.3
PAY;20240116;57;-;-;951.5;3.3;107;-0.2;-2.5;1.6;83.3
PAY;20240117;12;-;-;939.4;25.2;0;5.1;0.3;9.5;94.5
PAY;20240118;28;-;-;942;8.8;5;6.1;-1;10.7;85.7
PAY;20240119;91;-;-;961.2;0;408;-2.1;-5;-0.5;78.8
PAY;20240120;98;-;-;969.9;0;478;-5.5;-8.6;-2.1;80.7
PAY;20240121;78;-;-;972.7;0;260;-4.1;-8.7;1.4;85.5
PAY;20240122;33;-;-;968.1;9.9;18;3.6;-5;8.1;76.8
PAY;20240123;57;-;-;974.8;0.3;110;7.4;5.3;9.3;72.1
PAY;20240124;33;-;-;974.9;0;0;11.6;8.8;13.6;67
PAY;20240125;94;-;-;972.9;0;417;11;7.1;14.2;73.5
PAY;20240126;30;-;-;973.4;0.4;31;8.4;4.5;11.5;80.6
PAY;20240127;46;-;-;975.9;0;72;4.6;1.8;7.7;90.4
PAY;20240128;92;-;-;974.2;0;366;3.8;-0.3;8.6;87
PAY;20240129;82;-;-;973.7;0;447;2.7;-1.2;8.6;88.6
PAY;20240130;79;-;-;975.2;0;232;2.7;-1.3;8.1;90.1
PAY;20240131;92;-;-;975.8;0;418;2.6;-1.6;8.4;87
PAY;20240201;20;-;-;974.6;1;0;4.9;-0.4;8.5;87
PAY;20240202;55;-;-;976.1;0;29;3.8;0.8;7.8;94.5
PAY;20240203;112;-;-;973.2;0;508;4.7;-0.9;12.3;83.7
PAY;20240204;112;-;-;971.8;0;512;4.8;-0.6;12.1;82.7
PAY;20240205;112;-;-;968.8;0;513;4.3;-1;11;81.4
PAY;20240206;106;-;-;964.2;0;500;6.2;1;12.2;65.2
PAY;20240207;83;-;-;957.7;7.4;152;6.4;2.1;11.4;76
PAY;20240208;56;-;-;948.2;2.3;82;8.8;6.6;12.2;84
PAY;20240209;31;-;-;937.3;0.2;0;9.1;6.7;11.3;84.5
PAY;20240210;36;-;-;931.5;0.1;0;7.2;5;9.3;89.7
PAY;20240211;81;-;-;941.9;0.6;166;6.4;4.4;9.2;76.7
PAY;20240212;76;-;-;951;0;42;6.3;4.2;9;76.8
PAY;20240213;133;-;-;962.9;0;542;5.1;0.6;10.8;75.9
PAY;20240214;75;-;-;966.2;0;74;7.2;2.9;13.4;71.1
PAY;20240215;88;-;-;962.4;0;151;5.8;0.9;11.1;80.9
PAY;20240216;96;-;-;962.5;0;272;8.8;3.5;14.7;77.9
PAY;20240217;74;-;-;972.2;0.1;95;9.1;4.7;13.4;85.9
PAY;20240218;74;-;-;973.3;3.5;30;9.6;7.5;13.2;81.9
PAY;20240219;82;-;-;972.5;3.4;139;8.9;6.9;11.7;79.7
PAY;20240220;105;-;-;971.8;0.1;249;6.5;1.9;10.1;79.1
PAY;20240221;85;-;-;963.5;3.2;75;6.7;0.1;12.2;71.4
PAY;20240222;28;-;-;947.1;14.9;0;8.1;4.5;10.9;83.4
PAY;20240223;129;-;-;942.9;0.6;352;5.3;0.7;9.1;69.6
PAY;20240224;144;-;-;947.3;0;460;5;0.8;8.7;67.5
PAY;20240225;142;-;-;946.3;1.9;442;5;-0.8;10.1;70.5
PAY;20240226;103;-;-;942.9;0;149;6.2;2.6;10.4;84.8
PAY;20240227;53;-;-;952;0;28;6.1;2.1;9.5;79.8
PAY;20240228;40;-;-;960.9;0;0;7.3;5.7;8.7;75.8
PAY;20240229;142;-;-;955.4;0.4;375;6.9;3.8;11.3;81.2
PAY;20240301;62;-;-;950.6;0.1;21;6.5;1.6;9.5;80.2
PAY;20240302;122;-;-;946.1;0;276;4.9;-0.6;10.6;82.4
PAY;20240303;112;-;-;942.3;0;165;7.2;3.5;12.2;79.1
PAY;20240304;82;-;-;953;0;72;7.1;5.4;9.3;75.3
PAY;20240305;93;-;-;958.4;3.7;94;6.5;3.8;10.3;73.9
PAY;20240306;79;-;-;962.8;0;57;5.1;2.9;7.3;74.9
PAY;20240307;118;-;-;959.5;0;278;4.1;-0.8;8.2;81.9
PAY;20240308;84;-;-;951.3;0;54;2.8;-2;6.2;87
PAY;20240309;107;-;-;943;0;149;4.5;-0.9;9.4;85
PAY;20240310;35;-;-;939.5;1.7;11;5.8;2.4;9.2;84.3
PAY;20240311;136;-;-;950.8;1.7;211;5;-0.3;10.1;86.4
PAY;20240312;49;-;-;961.5;0.9;2;6.7;4.3;8.7;80.1
PAY;20240313;143;-;-;961.5;0.1;279;9.1;4.5;13.8;75.3
PAY;20240314;138;-;-;958.8;0;274;8.3;3.8;15.4;87.3
PAY;20240315;109;-;-;959.8;6.7;136;11.8;7.4;15.7;69
PAY;20240316;98;-;-;964.9;0.5;111;10.1;5.4;14.3;76.3
PAY;20240317;89;-;-;964.4;11.1;3;7.6;2.5;12;85.5
PAY;20240318;71;-;-;960.1;13.6;17;9.8;6.5;14.5;89
PAY;20240319;117;-;-;961.5;0;233;7.8;4.4;12.5;93.1
PAY;20240320;194;-;-;962.4;1.3;636;9.1;2.3;16.5;85.6
PAY;20240321;151;-;-;966.7;1.2;320;12.4;7.4;18.9;73.1
PAY;20240322;204;-;-;962.3;0.7;522;11.8;5.4;19.5;65.8
PAY;20240323;169;-;-;957.9;1.3;299;9;4.9;13;57.1
PAY;20240324;186;-;-;956.2;0;351;5.8;3.5;9.1;65.8
PAY;20240325;209;-;-;947.2;0;534;6.2;-1.3;11.9;69.8
PAY;20240326;188;-;-;935.8;0;393;9.5;2.2;15.2;66.1
PAY;20240327;39;-;-;934.4;7.3;51;4.5;-0.3;9.6;87.6
PAY;20240328;177;-;-;939.9;2.5;354;6;-0.6;12.4;70
PAY;20240329;142;-;-;941.8;0;132;8.5;1.3;16.3;72.8
PAY;20240330;51;-;-;941.6;0.1;0;9.5;5.4;14;73.5
PAY;20240331;156;-;-;940.5;5.7;185;9.5;4.5;15.5;82.3
PAY;20240401;149;-;-;946.9;0.5;197;8.7;6;12;74.1
PAY;20240402;222;-;-;957.5;0.1;487;8.4;3.2;13.6;67.2
PAY;20240403;134;-;-;956.9;0.8;104;9.1;3.9;12.1;77.4
PAY;20240404;146;-;-;960;0;176;12.9;7.9;17.5;66.4
PAY;20240405;191;-;-;960.3;0;390;14.7;5.9;21;59.9
PAY;20240406;238;-;-;961.5;0;552;15.9;7.3;24.7;56.5
PAY;20240407;203;-;-;960.1;0;409;15.3;7.8;23.3;65.8
PAY;20240408;188;-;-;953.8;0;319;16.1;9.6;22.7;66.1
PAY;20240409;42;-;-;961.4;4.3;0;8.9;4.9;18.7;74.6
PAY;20240410;142;-;-;970.4;0;183;6.9;2;11.6;73.8
PAY;20240411;258;-;-;974.1;0;657;9.3;1.6;16.4;70.1
PAY;20240412;265;-;-;974.2;0;708;11.9;3.3;20.1;73.7
PAY;20240413;274;-;-;970.4;0;721;14.5;6.1;23.5;71.2
PAY;20240414;279;-;-;964.7;0;723;17.9;7.3;27.5;57.4
PAY;20240415;167;-;-;956.9;5.6;292;16.1;10.7;19.8;54
PAY;20240416;207;-;-;955.9;3;316;7.5;4.1;11.7;64.9
PAY;20240417;153;-;-;955.2;3.3;158;5.2;3.3;9.7;79.1
PAY;20240418;162;-;-;959.6;0;196;4;-0.3;8.7;74.6
PAY;20240419;64;-;-;961.2;4.6;0;4.9;-0.8;8.5;74
PAY;20240420;240;-;-;961.9;2;358;5.3;1;10.4;75.7
PAY;20240421;163;-;-;961.2;0.1;193;3;-1.1;7.6;79.8
PAY;20240422;72;-;-;959.6;0.4;0;2.6;-0.2;5;81.9
PAY;20240423;100;-;-;957;0;16;3.9;0.6;6.9;73.7
PAY;20240424;157;-;-;955;0;119;4.6;-1.3;8.7;67.9
PAY;20240425;226;-;-;951.4;0;387;6.2;1.9;12.1;60.2
PAY;20240426;137;-;-;950.1;0;115;8.4;3.4;12.7;73.2
PAY;20240427;274;-;-;950.5;0;631;10.5;1.3;18;69.2
PAY;20240428;59;-;-;957.7;5.1;0;9.4;8.2;12;85.1
PAY;20240429;241;-;-;961.7;0;391;12.3;7.6;18.6;78.3
PAY;20240430;222;-;-;956.7;0;424;13.4;5.6;20.3;74.7
PAY;20240501;128;-;-;947.4;0.5;41;13;7.1;18.5;77.2
PAY;20240502;93;-;-;948.3;5.4;0;10.8;7.8;13.4;83
PAY;20240503;158;-;-;958.6;0.1;111;9.4;4.3;14.6;78.3
PAY;20240504;254;-;-;957.5;2.2;432;11.2;2.3;17.9;70.4
PAY;20240505;219;-;-;955.4;7;265;15.2;11;21.3;76.2
PAY;20240506;85;-;-;954.6;9.1;0;11.9;9.9;13.6;85.2
PAY;20240507;69;-;-;959.4;6.2;0;9.7;8.7;10.7;91.2
PAY;20240508;157;-;-;964.8;0;196;12.1;9.1;15.8;77.2
