station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
RAG;20240101;45;-;-;957.1;0;125;3.7;1.8;6.8;79.8
RAG;20240102;34;-;-;951.1;1.9;21;6.7;1.8;10.5;52.7
RAG;20240103;67;-;-;948.6;8.2;363;6.9;4.1;10.6;74
RAG;20240104;50;-;-;952.9;0.1;132;5.6;4.1;9.9;80.4
RAG;20240105;20;-;-;947.9;12.8;0;4.7;2.7;7.1;76
RAG;20240106;9;-;-;949.6;5.4;0;2.9;2;3.7;90.3
RAG;20240107;16;-;-;953.2;3.9;0;1.5;0.2;2.6;88
RAG;20240108;12;-;-;960;0;0;-1.6;-3;0.3;77.5
RAG;20240109;18;-;-;964;0;0;-1.9;-2.6;-0.9;78.9
RAG;20240110;56;-;-;965.7;0;336;-2;-4.3;1.1;87.6
RAG;20240111;19;-;-;967.6;0;0;-1.8;-3.8;-0.5;91.5
RAG;20240112;64;-;-;969.8;0;251;-1.5;-3.9;0.5;84.8
RAG;20240113;74;-;-;965;0;377;-1.2;-3.9;2.7;75.5
RAG;20240114;75;-;-;954.3;1.9;378;-0.1;-2.6;4;66.6
RAG;20240115;21;-;-;949.3;0.6;0;0.8;0;3;83.7
RAG;20240116;75;-;-;951.7;0;367;-0.4;-4.6;2.6;71.4
RAG;20240117;62;-;-;939.2;2.7;137;7.4;1.8;13;56.5
RAG;20240118;24;-;-;940.4;3.9;0;5.7;0.2;9.6;83.7
RAG;20240119;64;-;-;960.9;0;209;-1.3;-4.6;0.8;70.8
RAG;20240120;83;-;-;970.4;0;388;-1.6;-4.7;1.6;52.5
RAG;20240121;64;-;-;971.8;0;185;0.8;-3;5;49.9
RAG;20240122;35;-;-;966.5;8.5;0;4.5;-0.3;10.9;58
RAG;20240123;52;-;-;973.3;3.7;98;5.4;3.7;8.9;83.3
RAG;20240124;61;-;-;971.2;0.2;81;8.8;4.4;14.6;76.5
RAG;20240125;23;-;-;971.1;3.6;1;8.9;6.8;11.9;88.3
RAG;20240126;36;-;-;972.1;7.5;67;8;6.6;9.5;88.5
RAG;20240127;86;-;-;976.2;0;364;6.5;4;10.9;77
RAG;20240128;91;-;-;974.2;0;404;5.6;1.5;12;56.8
