station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
SAE;20240101;26;345;-;743.6;1.7;225;-9;-9.5;-8.6;91.4
SAE;20240102;27;345;-;740.9;23.9;60;-4.4;-9.1;-2.1;96.2
SAE;20240103;44;350;-;738.9;48.4;355;-5.3;-6.5;-2.9;95.3
SAE;20240104;20;360;-;741.4;6.2;270;-6.6;-8.1;-4.1;88.8
SAE;20240105;27;360;-;739.1;14.5;30;-5.1;-6.5;-3.4;79.5
SAE;20240106;40;388;-;738.2;2.6;0;-8.9;-10.8;-6.2;99.5
SAE;20240107;37;394;-;739.7;3.2;0;-11;-12.7;-8.5;96.9
SAE;20240108;73;398;-;742.9;0;386;-8.2;-12.9;-3.9;81.3
SAE;20240109;71;398;-;748;0.1;348;-5.6;-8.2;-3.3;77
SAE;20240110;74;398;-;750.5;0;483;-7.1;-9.3;-4.6;69.7
SAE;20240111;78;398;-;752.1;0;520;-5;-6.8;-2.7;46.6
SAE;20240112;81;398;-;753.4;0;523;-6.4;-8;-4.8;36.2
SAE;20240113;85;395;-;750.6;0;525;-5.1;-6.6;-3.3;12
SAE;20240114;84;395;-;741.8;11.7;462;-6.6;-8.1;-5.2;41.9
SAE;20240115;26;400;-;734.7;5.5;0;-11.8;-14;-5.4;98.2
SAE;20240116;75;410;-;737.7;7.9;459;-9.6;-13.6;-3.2;62.5
SAE;20240117;19;417;-;733.5;21.8;0;-2;-5.3;-0.1;97.1
SAE;20240118;22;423;-;732.7;26.2;0;-4.5;-12;-0.1;98.8
SAE;20240119;99;437;-;742.7;0;382;-15.6;-17.4;-11.9;56.4
SAE;20240120;88;438;-;752.2;0;537;-10;-16.6;-3.5;22.5
SAE;20240121;73;438;-;757.1;0;376;-4.2;-6;-1;19.3
SAE;20240122;39;438;-;754.6;55.2;35;-1.3;-5.7;2.1;62.1
SAE;20240123;19;450;-;756.9;8.8;0;-5.7;-7.9;0.7;97.5
SAE;20240124;26;450;-;759.2;34.6;0;-0.1;-1.3;1.3;99.4
SAE;20240125;28;453;-;759.2;30.1;0;-1.9;-3.2;-0.8;99.9
SAE;20240126;21;460;-;758.8;36.6;0;-3.4;-5.2;-2.6;99.7
SAE;20240127;133;470;-;761.8;0;329;-4.2;-8.1;-0.6;45.5
SAE;20240128;93;460;-;762.7;0;394;1.1;-1;2.9;9.8
SAE;20240129;89;460;-;763.3;0;505;3.6;2.1;5.2;22
SAE;20240130;84;460;-;763;0;439;0.5;-1.9;3;38.6
SAE;20240131;75;460;-;762.1;0.2;302;-2.4;-3.2;-1.6;75.2
SAE;20240201;33;460;-;758.9;26.7;0;-4.3;-5.9;-1.1;97.9
SAE;20240202;59;473;-;761.1;0;8;-4.8;-7.3;-0.9;65.6
