station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
SAM;20240101;59;43;79;823.5;0;195;-9.3;-18;-2.7;88.7
SAM;20240102;62;43;67;821.7;0;147;-6;-16.8;0.3;71
SAM;20240103;81;42;4;817.7;0.1;391;-1.3;-8.8;4.4;70.3
SAM;20240104;69;43;50;820.6;0;268;-3.3;-12.1;2.5;69.3
SAM;20240105;26;42;92;816.8;18;0;-4.4;-12.1;-1.2;86.5
SAM;20240106;22;67;100;814;0.4;0;-2.4;-4.3;-0.3;82.2
SAM;20240107;42;68;100;816.2;0;0;-4.3;-5.6;-3;77.8
SAM;20240108;67;68;71;822.1;0;216;-7.8;-13.1;-5.3;81.1
SAM;20240109;40;66;92;827.3;0;0;-5.1;-8.9;-1.5;82.8
SAM;20240110;49;67;79;830.7;0;0;-6.5;-16;-2.1;82.7
SAM;20240111;87;66;0;831.1;0;396;-13.4;-19.8;-4.2;84.3
SAM;20240112;88;65;0;831.9;0;397;-14.2;-20.4;-4.4;83.8
SAM;20240113;92;64;0;829.4;0;398;-15.9;-23.5;-4.7;81.2
SAM;20240114;87;64;42;820.5;0;339;-12.1;-23.4;-2.7;76.2
SAM;20240115;92;62;25;812.9;0;400;-6;-14;1.8;65.3
SAM;20240116;91;61;21;817.7;0;387;-12.8;-22.2;-0.6;67.1
SAM;20240117;35;61;79;812.4;4.1;0;-2.4;-11.6;2.2;78.9
SAM;20240118;55;62;75;809.3;0;21;0.2;-3.1;4.3;86.9
SAM;20240119;83;61;25;821.4;0;250;-9.3;-23.7;0;60.5
SAM;20240120;100;61;4;834.1;0;404;-19;-27;-8.4;67.9
SAM;20240121;81;61;33;837.6;0;244;-14.4;-22.3;-3.1;70.2
SAM;20240122;60;60;75;834.7;0;8;-6.7;-17.9;3.8;57.3
SAM;20240123;99;60;63;836.7;0.7;372;-1.2;-8.4;2.4;57.4
SAM;20240124;94;60;71;837.4;0;284;6.8;-4.2;11.1;55.7
SAM;20240125;90;51;67;836.2;0;277;2.8;-6.6;7.4;71.7
SAM;20240126;60;42;88;836.8;0;122;-0.6;-7.5;6;76.8
SAM;20240127;108;36;0;840.4;0;415;-4.2;-11.2;3.9;61.9
SAM;20240128;107;31;0;842.1;0;416;-6.7;-12.6;4.4;62.9
SAM;20240129;106;31;21;841.6;0;417;-5.7;-13.5;5.9;69.4
SAM;20240130;103;31;46;841.2;0;402;-4.3;-11;6.7;71.1
SAM;20240131;78;30;46;840.9;0;137;-4.6;-11;4.5;75
SAM;20240201;52;30;79;837.6;0;26;-4.1;-12.3;4.1;79
