station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
SBE;20240101;62;40;-;830.2;0;321;-4;-8.9;-0.4;70.1
SBE;20240102;44;38;-;829.8;0;0;-4;-8.5;0.2;80.9
SBE;20240103;75;37;-;825.8;0.8;328;-2.1;-6.2;4.1;81.5
SBE;20240104;74;38;-;827.8;0;313;-1.9;-5.1;4.4;74.2
SBE;20240105;14;36;-;824.1;31.8;0;-2.1;-5.4;0.3;88.8
SBE;20240106;38;76;-;821.2;0.2;0;-1.6;-3.5;0.1;79
SBE;20240107;33;68;-;823.2;1.7;0;-3.8;-4.9;-3;76.7
SBE;20240108;47;67;-;828.2;0;16;-4.6;-6.1;-3;79.4
SBE;20240109;21;66;-;835;3.2;0;-3.5;-4.3;-2.5;92.1
SBE;20240110;37;67;-;838.2;0.1;0;-5.2;-9.5;-2.7;94.3
SBE;20240111;81;66;-;837.4;0;334;-3.5;-10;2.2;67.6
SBE;20240112;82;65;-;838.3;0;337;-0.8;-3.1;2.2;41
SBE;20240113;87;60;-;835.4;0;338;-0.3;-5;4.8;24.2
SBE;20240114;59;58;-;827.4;0;259;-2.5;-5.2;3.6;40
SBE;20240115;81;52;-;820.1;0;319;-3.4;-7.3;0.7;63.5
SBE;20240116;87;52;-;824.9;0;341;-6.5;-10.4;-0.5;57.3
SBE;20240117;22;52;-;820.4;14.3;0;-3.2;-7.8;-0.4;89.7
SBE;20240118;47;65;-;816.9;0.2;0;-0.4;-3.6;2;94.2
SBE;20240119;90;65;-;828.6;0;248;-7.3;-12.2;-0.9;61.9
SBE;20240120;94;60;-;840.5;0;346;-9;-12.8;-2.6;36.8
SBE;20240121;68;59;-;844.5;0;151;-6.8;-12.8;1.3;48.1
SBE;20240122;53;59;-;842.4;0.1;2;-3.1;-8.5;3;56.3
SBE;20240123;95;60;-;843.8;0.2;352;0.6;-2.8;4.2;58
SBE;20240124;100;58;-;844.6;0;334;7.2;-0.5;13.5;56
SBE;20240125;104;50;-;843.4;0;326;4.8;1.7;7.8;69.2
SBE;20240126;68;44;-;843.6;0;189;4;2.1;6.8;65.6
SBE;20240127;102;40;-;847.3;0;360;1.7;-1.1;4.9;47
SBE;20240128;101;40;-;849.2;0;362;-1.5;-4.5;4.9;50.2
SBE;20240129;99;41;-;848.6;0;364;-1.1;-5.2;6.1;63
SBE;20240130;92;40;-;848.3;0;302;0.8;-4;6.8;56.8
SBE;20240131;79;40;-;847.6;0;40;4.1;0;7.4;45.8
SBE;20240201;63;40;-;844.3;0;147;2.4;0;5;59.3
SBE;20240202;71;40;-;846.2;0.2;49;2.1;-0.6;5.5;62.4
SBE;20240203;114;40;-;845.2;0;358;6.8;4.2;9.8;48
SBE;20240204;111;40;-;843.6;0;377;5.9;3.3;9.4;44.7
SBE;20240205;116;38;-;842;0;382;5.8;-0.8;9.8;41.3
SBE;20240206;72;36;-;837.4;0;0;1.1;-3.1;7.9;58
SBE;20240207;88;34;-;830.8;0;106;-1.5;-5.8;3;80
SBE;20240208;90;34;-;826.5;8.8;176;0.1;-3.6;6.2;81.4
SBE;20240209;17;39;-;819.3;34.2;0;0.2;-0.4;0.8;96.8
SBE;20240210;34;56;-;813.5;16.8;0;-0.3;-1.1;0.4;97.8
SBE;20240211;90;75;-;815.2;0.2;27;-0.5;-2.3;1.2;81.7
SBE;20240212;116;70;-;824.2;0;183;-1;-4;2;73.5
SBE;20240213;135;68;-;835.2;0;398;-1.5;-5.2;2;71.6
SBE;20240214;135;66;-;840.3;0;402;0.1;-4.8;7.1;69.8
SBE;20240215;102;62;-;839.8;0;175;1.1;-2.9;8.3;74.2
