station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
SIA;20240101;56;50;-;813.6;0;186;-8.3;-15.3;-3.9;85
SIA;20240102;65;47;-;812.3;0;165;-4.5;-14.3;-0.8;67.8
SIA;20240103;76;46;-;808.7;0.1;349;-1.2;-4.6;3.1;71.9
SIA;20240104;83;46;-;811;0;342;-2.9;-8.6;1.9;65
SIA;20240105;21;45;-;807.2;23;0;-3.2;-8.1;-0.9;83.9
SIA;20240106;27;84;-;804.2;1.6;0;-2.5;-4.6;-1.1;82.6
SIA;20240107;48;75;-;806.3;0;0;-4.7;-6.1;-3.6;77.7
SIA;20240108;76;68;-;811.9;0;210;-7.1;-8.4;-4.9;79.2
SIA;20240109;36;67;-;817.6;0.2;0;-5.3;-8.3;-3.3;86.9
SIA;20240110;53;65;-;820.8;0;11;-6.1;-11.4;-2.9;87.3
SIA;20240111;84;65;-;820.9;0;373;-8.4;-15.6;-2.2;77.3
SIA;20240112;84;63;-;821.6;0;374;-7.4;-12.6;-0.8;67.1
SIA;20240113;89;63;-;819.3;0;377;-9.8;-15.7;-2;60.8
SIA;20240114;75;63;-;810.7;0;300;-7.9;-15.1;-1.5;63
SIA;20240115;87;62;-;803.4;0;380;-5.5;-11.6;1.5;57.9
SIA;20240116;93;60;-;808;0;375;-10;-16.5;-1.8;58.4
SIA;20240117;30;59;-;803.1;9.6;0;-2.2;-9.6;0.6;82
SIA;20240118;62;67;-;800.2;4.5;0;-1.1;-5.6;3.1;91.4
SIA;20240119;98;69;-;811.3;0;364;-9.2;-16.8;-2.4;60.7
SIA;20240120;97;65;-;823.6;0;384;-15.4;-20.9;-7;61.1
SIA;20240121;75;65;-;827.5;0;176;-12.5;-21.7;-2.3;69
SIA;20240122;54;64;-;825.1;0;0;-6.8;-17.1;1.4;58.6
SIA;20240123;103;63;-;826.9;0;386;-1.9;-7.5;1.5;57
SIA;20240124;87;60;-;827.9;0.1;241;5.5;-1.2;10.3;60.6
SIA;20240125;81;51;-;826.6;0;245;2.8;-4.2;7;70.8
SIA;20240126;72;49;-;827;0;137;0.3;-7.3;5.2;69.8
SIA;20240127;105;48;-;830.3;0;402;-2.2;-7.8;4.6;48.3
SIA;20240128;104;47;-;832.2;0;405;-4.9;-10.2;3;51.9
SIA;20240129;103;47;-;831.7;0;401;-3.5;-9.4;5.4;61.6
SIA;20240130;97;47;-;831.4;0;371;-3;-10;4.7;67.8
SIA;20240131;76;47;-;831.1;0;91;-2.5;-7.7;5.7;67.3
SIA;20240201;66;46;-;827.6;0;76;-2;-8.9;3.7;67.8
SIA;20240202;60;46;-;829.3;0;28;-1.3;-8.8;3.6;68.7
SIA;20240203;115;46;-;828.9;0;368;0.1;-5.2;8.4;70.9
SIA;20240204;112;46;-;827.1;0;431;-0.4;-6.7;8.6;62.9
SIA;20240205;118;46;-;825.8;0;435;-1.4;-7.3;8.1;65.3
SIA;20240206;88;45;-;820.7;0;0;-2.7;-8.6;5.6;65.1
SIA;20240207;104;45;-;813.6;0;247;-3.7;-11.3;1.9;81.8
SIA;20240208;88;45;-;809.4;2.1;130;-0.5;-4.3;4.6;78.6
SIA;20240209;40;48;-;802.4;9.3;0;-0.3;-1.5;0.8;92.5
SIA;20240210;57;61;-;796.7;4.1;0;-0.8;-2.1;0.8;93.2
SIA;20240211;78;63;-;798.7;2.7;0;-1.3;-3.5;0.1;83.4
SIA;20240212;123;63;-;807.3;0.1;254;-3.2;-8.2;1.2;73.4
SIA;20240213;138;61;-;818.4;0;455;-4.9;-12.5;0.7;67.3
SIA;20240214;136;60;-;823.7;0;451;-3.5;-14.6;6.1;67.4
SIA;20240215;104;59;-;823.2;0;219;-2.2;-9.9;6.1;75.8
SIA;20240216;127;58;-;821.7;0;324;0.5;-4.8;7.2;73.1
SIA;20240217;143;55;-;828;0;421;1.9;-5.1;8.3;72.6
SIA;20240218;128;54;-;828.7;0;275;0;-7.4;6.7;79.7
SIA;20240219;117;53;-;825.2;0;166;1.2;-2.4;4.8;65
SIA;20240220;147;51;-;824.9;0;399;-1.8;-6.3;2.7;59.8
SIA;20240221;131;50;-;822;0.1;257;-2.3;-9.2;3.8;57.9
SIA;20240222;70;49;-;809.7;17.8;0;-0.9;-2.1;0.8;88.9
SIA;20240223;37;92;-;800.2;9.8;0;-4.2;-13.4;-1.5;89.8
SIA;20240224;84;100;-;805.9;14.4;1;-6.9;-16.9;-2.3;88.3
SIA;20240225;125;107;-;807.8;0.9;99;-4.2;-7;-2.4;88.2
SIA;20240226;79;102;-;805.5;12;22;-3.5;-5.4;-2;91.8
SIA;20240227;81;112;-;809.8;8.2;9;-0.6;-2.4;2.3;90.5
SIA;20240228;156;111;-;817.5;0;298;0.5;-2.6;5.4;88.7
SIA;20240229;139;97;-;815.3;7.2;208;-0.4;-5.9;4.4;89.8
SIA;20240301;55;98;-;808.2;10.8;0;-0.1;-2.4;0.8;96.2
SIA;20240302;113;93;-;808.5;5.5;25;-0.4;-2.1;1.7;92.7
SIA;20240303;111;94;-;806.8;0.3;15;-0.3;-2.8;2.2;79.7
SIA;20240304;123;88;-;810;0;205;-1.3;-8.9;3.1;70
SIA;20240305;123;86;-;812.7;14.7;68;-2.5;-9.7;3.3;82.2
SIA;20240306;132;109;-;815;1.2;76;-2.7;-8.9;1.2;76.2
SIA;20240307;210;99;-;815.7;0;477;-4.2;-12.7;2.2;74.5
SIA;20240308;96;92;-;812.4;0.5;1;-2.7;-5.1;-1.1;84.9
SIA;20240309;172;93;-;808.7;0;169;-1.9;-3.7;-0.1;89.1
