station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
SIA;18631201;-;-;-;-;0;-;-6.1;-;-;-
SIA;18631202;-;-;-;-;0;-;-6.4;-;-;-
SIA;18631203;-;-;-;-;0.8;-;-4.8;-;-;-
SIA;18631204;-;-;-;-;0.6;-;-7.3;-;-;-
SIA;18631205;-;-;-;-;0;-;-7.2;-;-;-
SIA;18631206;-;-;-;-;0;-;-4;-;-;-
SIA;18631207;-;-;-;-;0;-;-5.2;-;-;-
SIA;18631208;-;-;-;-;0;-;-6.3;-;-;-
SIA;18631209;-;-;-;-;0;-;-3.3;-;-;-
SIA;18631210;-;-;-;-;0;-;-3.8;-;-;-
SIA;18631211;-;-;-;-;0;-;-0.6;-;-;-
SIA;18631212;-;-;-;-;5.5;-;4.4;-;-;-
SIA;18631213;-;-;-;-;0;-;2.3;-;-;-
SIA;18631214;-;-;-;-;0;-;-0.1;-;-;-
SIA;18631215;-;-;-;-;0;-;-3.2;-;-;-
SIA;18631216;-;-;-;-;0;-;-3.6;-;-;-
SIA;18631217;-;-;-;-;2.7;-;-3.3;-;-;-
SIA;18631218;-;-;-;-;9.6;-;-6.1;-;-;-
SIA;18631219;-;-;-;-;0;-;-6.8;-;-;-
SIA;18631220;-;-;-;-;0;-;-6.8;-;-;-
SIA;18631221;-;-;-;-;0;-;-7.3;-;-;-
SIA;18631222;-;-;-;-;0;-;-4.6;-;-;-
SIA;18631223;-;-;-;-;4.3;-;-9.1;-;-;-
SIA;18631224;-;-;-;-;0;-;-1.5;-;-;-
SIA;18631225;-;-;-;-;0;-;-7.2;-;-;-
SIA;18631226;-;-;-;-;0;-;-7.1;-;-;-
SIA;18631227;-;-;-;-;0;-;-2.1;-;-;-
SIA;18631228;-;-;-;-;0;-;-7.6;-;-;-
SIA;18631229;-;-;-;-;0;-;-2.3;-;-;-
SIA;18631230;-;-;-;-;0;-;-1.9;-;-;-
SIA;18631231;-;-;-;-;0;-;-6.9;-;-;-
SIA;18640101;-;-;67;803.9;3.8;-;-7.8;-;-;89.3
SIA;18640102;-;-;50;803.5;0;-;-12.6;-;-;81.3
SIA;18640103;-;-;0;806.9;0;-;-20.3;-;-;82.7
SIA;18640104;-;-;57;811.5;0;-;-12.4;-;-;86.3
SIA;18640105;-;-;20;815.3;0;-;-12.4;-;-;81
SIA;18640106;-;-;0;815.9;0;-;-12.3;-;-;75
SIA;18640107;-;-;0;816.3;0;-;-12.4;-;-;72
SIA;18640108;-;-;0;818.1;0;-;-12.4;-;-;78
SIA;18640109;-;-;10;817.2;0;-;-13.1;-;-;75.3
SIA;18640110;-;-;0;816.5;0;-;-11.4;-;-;67.3
SIA;18640111;-;-;0;818.9;0;-;-10.9;-;-;77.3
SIA;18640112;-;-;0;821.4;0;-;-12.1;-;-;80.7
SIA;18640113;-;-;0;820.9;0;-;-9.7;-;-;83
SIA;18640114;-;-;0;818.5;0;-;-10.5;-;-;75.7
