station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
SIO;20240101;57;0;-;959.7;0;241;2;-1.6;6.7;86.5
SIO;20240102;38;0;-;956.4;5;5;3;-0.5;6.4;79.4
SIO;20240103;55;0;-;952.2;5;199;6.1;0.8;13;78.8
SIO;20240104;57;0;-;955.7;0;125;5.8;1.8;9.7;80.3
SIO;20240105;14;0;-;949.6;5;0;3.9;1.3;6;87
SIO;20240106;35;0;-;949.5;0;0;4.6;3.3;6.2;77
SIO;20240107;56;0;-;951.9;0;128;3.3;1;6.5;75.8
SIO;20240108;43;0;-;958.2;0;0;1.1;-0.5;3.2;72.6
SIO;20240109;41;0;-;963.8;0;14;0.4;-1;3;76.3
SIO;20240110;42;0;-;965.7;0;0;0.5;-3.3;5.1;84.7
SIO;20240111;65;0;-;967.2;0;262;-0.4;-3.8;4.3;83.9
SIO;20240112;58;0;-;969.8;0;188;-0.9;-4.3;1.6;80.7
SIO;20240113;69;0;-;967;0;268;-2.5;-7.2;3.6;77.6
SIO;20240114;44;0;-;957.1;0.4;69;-1.4;-6.9;2.4;71.7
SIO;20240115;22;1;-;950.5;0.1;2;1.9;-1.3;4.9;81.7
SIO;20240116;53;0;-;952.9;3.1;81;0.1;-4.7;3.3;75.7
SIO;20240117;35;0;-;943.2;18.4;3;4.2;0.5;6.6;87.2
SIO;20240118;28;0;-;943.2;8.5;0;5.5;2.5;7.5;90.8
SIO;20240119;73;0;-;958.8;0;221;0.8;-3.9;3.6;71.9
SIO;20240120;79;0;-;971;0;286;-2;-5.6;3;62.4
SIO;20240121;61;0;-;975;0;103;-1.4;-6.8;4.5;68.7
SIO;20240122;51;0;-;971;5.7;45;1.7;-4.7;7.2;74.7
SIO;20240123;59;0;-;976.2;0.1;122;5.4;1.6;9;81.7
SIO;20240124;63;0;-;976.2;0;29;8.4;4;13.5;79.4
SIO;20240125;85;0;-;973.1;0;302;8.6;3.2;15.7;75.9
SIO;20240126;49;0;-;974;1.1;62;6;0.8;10.3;83.8
SIO;20240127;91;0;-;976.3;0;314;5.4;-0.4;12.3;78.4
SIO;20240128;92;0;-;975.8;0;326;3.7;-1.8;12.4;64.1
SIO;20240129;83;0;-;974.9;0;330;3.8;-1.2;10.8;68.1
SIO;20240130;81;0;-;976.3;0;214;3.2;-1.6;10.6;76.7
SIO;20240131;66;0;-;977.1;0;140;2.9;-2.2;10;75.7
SIO;20240201;36;0;-;975.5;0;0;2.6;-1.2;7.6;81.9
SIO;20240202;48;0;-;977.5;0;6;3.1;-1.8;9.1;82.1
SIO;20240203;104;0;-;974.9;0;372;4.1;-2.2;12.4;74.8
SIO;20240204;108;0;-;973.1;0;385;3.7;-2;12.4;76.7
SIO;20240205;108;0;-;970.5;0;399;4.2;-1.6;13.1;73
SIO;20240206;106;0;-;965.6;0;410;3.7;-2.1;12.3;70.5
SIO;20240207;104;0;-;959.9;1.4;360;4.5;-1.5;9.6;75.3
SIO;20240208;85;0;-;950.7;1.3;156;8;4.4;12.3;78.7
SIO;20240209;47;0;-;939.5;0.2;43;9.5;6.7;12.6;74.8
SIO;20240210;69;0;-;932.1;0;55;10;4.2;16.3;61.5
SIO;20240211;75;0;-;942.6;0;94;7.5;4.2;11.3;67.5
SIO;20240212;93;0;-;951.3;0;124;5.9;-0.2;11.3;70.5
SIO;20240213;131;0;-;963.7;0;470;5.7;-0.2;12.1;63.1
SIO;20240214;102;0;-;968.1;0;222;6.4;0;12.9;57.8
SIO;20240215;90;0;-;963.8;0;141;7.8;0.1;15.9;61.7
SIO;20240216;92;0;-;963.3;0;242;8.3;2.2;15.7;69.8
SIO;20240217;128;0;-;972.4;0;458;8.5;2.8;16.5;74.9
SIO;20240218;109;0;-;973.8;0.1;246;9.4;3.9;14.3;68.3
SIO;20240219;124;0;-;971.9;1.3;336;10.4;5.1;15.5;65.2
SIO;20240220;136;0;-;971.7;0;394;7.6;1;13.1;73.4
SIO;20240221;108;0;-;965.4;0.2;183;7.1;1;13.3;63.5
SIO;20240222;20;0;-;951.3;34.1;0;6.9;5.2;8.3;84.1
SIO;20240223;163;0;-;943.8;0;497;6.1;2.1;11.3;65.5
SIO;20240224;155;0;-;948.5;0;433;5.2;0.6;11.3;59.3
SIO;20240225;151;0;-;949.4;0;405;5.5;-1.1;12.4;53.6
SIO;20240226;72;0;-;945.3;0;16;7.8;4.3;12.3;54.8
SIO;20240227;95;0;-;951.3;0;88;8.2;4.3;12.1;64.8
SIO;20240228;99;0;-;960.3;0;59;8.6;5.6;12.4;70.4
SIO;20240229;162;0;-;955.8;3.7;530;7.7;1.3;14.8;71.9
