station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
SMA;20240101;45;0;71;949;0;90;4.9;2.5;7.9;74.5
SMA;20240102;17;0;100;943;5.7;0;6.4;2.6;8.5;77.8
SMA;20240103;46;0;71;940.4;3.3;156;9.7;7;13.1;62.4
SMA;20240104;50;0;75;945;0.2;158;6.3;3.7;9.1;76.3
SMA;20240105;15;0;96;940.4;13.6;0;5.2;3.4;7;84.4
SMA;20240106;8;0;100;943.1;11.1;0;2.4;1.1;4.5;94.7
SMA;20240107;12;0;100;947.1;3.6;0;0.8;-1.6;2.3;93.6
SMA;20240108;9;1;100;953;0;0;-3.2;-4.2;-1.5;83
SMA;20240109;11;0;100;956.6;1.5;0;-4.2;-4.9;-3;83.6
SMA;20240110;28;2;100;958;0;0;-3.2;-5;-1.7;91.6
SMA;20240111;12;2;100;960.1;0;0;-3.2;-4.1;-2.2;93.1
SMA;20240112;28;2;100;962.2;0;0;-3.3;-4.2;-2.4;89.7
SMA;20240113;37;2;96;957.4;0;83;-3.2;-4.3;-1.4;90.3
SMA;20240114;72;2;67;946.9;0;273;-1.7;-4.4;2.7;84.7
SMA;20240115;15;1;96;942.8;0;0;-0.1;-2;1.4;75.8
SMA;20240116;73;1;54;943.9;7.5;302;-0.9;-3.3;1.8;73.5
SMA;20240117;18;0;100;931.3;14.3;0;4.4;-0.3;8.9;92
SMA;20240118;26;0;100;933.5;15.8;7;5.3;-1.8;11.3;85.5
SMA;20240119;80;13;50;954.1;0;356;-3.2;-6.8;-1.1;82.6
SMA;20240120;94;10;8;962.2;0;482;-5.2;-7.6;-1.8;83.9
SMA;20240121;70;8;42;963.9;0;299;-1.7;-6.2;3.5;81.1
SMA;20240122;35;7;96;958.8;14.5;21;4.2;-1.5;7.6;73.3
SMA;20240123;56;0;92;965.5;0.3;166;6.5;5.1;8.6;72.9
SMA;20240124;20;0;100;964.8;9;0;10.9;5.9;13.1;73.9
SMA;20240125;39;0;88;964.6;3.1;32;9.4;8.2;11.3;92.3
SMA;20240126;31;0;96;964.9;2.9;44;8.4;5.1;10.2;82.2
SMA;20240127;70;0;46;968.4;0;284;4.6;1.3;8.9;84.5
SMA;20240128;77;0;50;966.3;0;284;2.3;0.3;6.3;89.1
