station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
STG;20240101;51;0;-;923.7;0.1;146;3.7;1.5;6.6;69.5
STG;20240102;31;0;-;917.8;4.1;0;6.6;2.1;9.1;63.4
STG;20240103;61;0;-;915.5;2.4;238;8.1;5.4;11.2;63
STG;20240104;52;0;-;919.7;0.2;226;5.3;3;7.4;70.9
STG;20240105;15;0;-;915.5;15.3;0;4.9;1;7.6;75.4
STG;20240106;15;2;-;917.7;18.1;0;0.4;-0.5;1.1;96.8
STG;20240107;10;13;-;921.5;23.3;0;-1.3;-3.4;-0.4;99.1
STG;20240108;10;31;-;927.1;0.1;0;-5.1;-6.3;-3.4;91.6
STG;20240109;10;29;-;930.5;0.2;0;-6.3;-6.9;-5.1;95.2
STG;20240110;33;30;-;932.1;0;0;-4.4;-6.2;-3.3;99.2
STG;20240111;22;29;-;934;0;0;-5.1;-5.6;-3.6;99.9
STG;20240112;35;27;-;935.9;0;0;-4.8;-5.8;-4;99.1
STG;20240113;64;26;-;931;0;188;-5.4;-8.8;0.4;94.5
STG;20240114;83;26;-;920.6;0.1;387;-1.1;-6.5;3.2;72.7
STG;20240115;10;25;-;916.9;0;0;-1.3;-3;1.9;78.1
STG;20240116;70;23;-;918.3;4.8;314;-2.7;-5.3;0.7;74.3
STG;20240117;18;19;-;906.6;10.9;1;6.2;-0.3;11.1;79.8
STG;20240118;25;0;-;908.6;20.5;4;4.5;-3.3;9.3;82.6
STG;20240119;65;16;-;928.1;0.8;193;-4.9;-7.9;-3.3;84.3
STG;20240120;91;15;-;935.9;0;419;-7.2;-10.1;-4.3;82.6
STG;20240121;67;14;-;937.6;0;188;-0.1;-7;5.8;50
STG;20240122;35;11;-;933;8.6;10;5.4;0.3;10.6;53.5
STG;20240123;38;0;-;939.5;1.9;32;5.2;2.9;9.3;73.3
STG;20240124;19;0;-;938.6;15.3;0;10.6;8;12.4;72.1
STG;20240125;18;0;-;939.2;13.3;0;7.2;5.5;8.1;94.6
STG;20240126;27;0;-;939.2;9.1;10;7.4;4.4;9.9;80.1
STG;20240127;86;0;-;943;0;388;3.1;0.5;5.2;90.7
STG;20240128;99;0;-;940.4;0;436;3.8;0.2;7.8;62.5
STG;20240129;96;0;-;940;0;432;6.8;2.5;9.5;38.9
STG;20240130;88;0;-;941.3;0;344;7.4;4.7;10;46.5
STG;20240131;73;0;-;941.8;0;224;6.9;4.5;9;54.3
STG;20240201;13;0;-;940.4;10.3;0;6;4.8;7.3;82.2
STG;20240202;51;0;-;941.9;0;28;6.4;3.5;9.4;68.4
STG;20240203;107;0;-;939.1;0;462;8.7;4.2;13.1;45.8
STG;20240204;97;0;-;937.8;0;367;6.5;0.8;10.5;68.8
STG;20240205;100;0;-;934.9;0;461;8.1;1.4;11.5;56.3
STG;20240206;94;0;-;930.2;0;459;6;1.9;11.4;63.7
STG;20240207;62;0;-;922.7;2.1;68;6.5;3;8.9;64.2
STG;20240208;40;0;-;915.1;0.2;5;8.7;6.4;10.3;72.5
STG;20240209;40;0;-;905.5;0;1;8.1;6.7;10.1;82.4
STG;20240210;59;0;-;899.4;4.9;77;9.3;5.2;15;68
STG;20240211;44;0;-;908.1;1.1;3;4.9;2.5;7.4;78
STG;20240212;43;0;-;917.9;0.2;2;4.8;3.7;6.1;77.4
STG;20240213;104;0;-;929.6;0;381;4.6;3;6.9;73.8
STG;20240214;76;0;-;933;0;95;8.6;4.5;12.3;51.5
STG;20240215;116;0;-;929.5;0;381;9.6;6.9;12.9;60.2
STG;20240216;94;0;-;929.6;1.1;199;11.6;8.4;14.9;62
STG;20240217;17;0;-;939.5;7.1;0;7.8;6.2;9.4;94.6
STG;20240218;75;0;-;939.4;7.5;140;6.9;3.5;8.9;90.2
STG;20240219;54;0;-;938;17.7;29;6.7;4.7;8.8;82.6
STG;20240220;76;0;-;938.1;0;79;4.4;2.7;7.2;79.8
STG;20240221;115;0;-;930;0.6;331;7.1;2.5;12;60.3
STG;20240222;31;0;-;913.5;14.7;0;8;3.5;10.6;75.7
STG;20240223;44;0;-;910.3;0;1;3.1;0.9;4.7;64.5
STG;20240224;84;0;-;914.9;0.1;141;3.1;0.6;6.1;65.4
